estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/04/2019,5.23,4.33
AC,01/05/2019,4.9,4.28
AC,02/01/2019,4.77,4.07
AC,03/01/2019,5.15,4.36
AC,03/04/2019,4.76,4.08
AC,03/06/2019,5.57,4.54
AC,04/04/2019,4.75,4.05
AC,05/03/2019,5.02,4.15
AC,06/03/2019,4.79,NA
AC,06/05/2019,5.57,4.62
AC,06/06/2019,5.04,4.31
AC,07/02/2019,4.77,3.93
AC,07/03/2019,4.68,3.93
AC,08/04/2019,5.23,4.46
AC,09/01/2019,5.08,4.36
AC,09/04/2019,4.79,4.21
AC,09/05/2019,5,4.33
AC,10/01/2019,4.75,3.98
AC,10/06/2019,5.5,4.54
AC,11/02/2019,5.03,4.04
AC,11/03/2019,4.76,4.01
AC,12/02/2019,4.99,4.11
AC,12/03/2019,5.19,4.26
AC,12/06/2019,4.86,4.28
AC,13/02/2019,4.63,3.88
AC,13/03/2019,4.59,NA
AC,13/05/2019,5.57,4.6
AC,13/06/2019,5.01,4.22
AC,14/01/2019,4.85,4.01
AC,14/02/2019,4.69,3.82
AC,15/04/2019,5.23,4.46
AC,15/05/2019,5,4.38
AC,16/01/2019,4.76,3.96
AC,17/04/2019,4.82,4.21
AC,17/06/2019,5.32,4.35
AC,18/02/2019,5.03,4.04
AC,18/03/2019,5.34,4.26
AC,18/06/2019,4.97,4.21
AC,19/02/2019,4.99,4.11
AC,19/03/2019,5.25,4.26
AC,19/06/2019,4.97,4.24
AC,20/02/2019,4.61,3.88
AC,20/03/2019,4.73,4.05
AC,20/05/2019,5.57,4.57
AC,21/01/2019,5.01,4.08
AC,22/05/2019,5.01,4.35
AC,23/01/2019,4.86,4
AC,23/04/2019,5.22,4.44
AC,24/01/2019,4.72,3.91
AC,24/06/2019,5.31,4.37
AC,25/02/2019,4.59,3.92
AC,25/03/2019,5.23,4.33
AC,25/04/2019,4.89,4.21
AC,26/02/2019,4.76,3.96
AC,27/03/2019,4.75,4.08
AC,27/05/2019,5.57,4.56
AC,27/06/2019,4.96,4.17
AC,28/01/2019,4.68,3.88
AC,29/01/2019,4.59,4.02
AC,30/04/2019,5.22,4.44
AC,30/05/2019,5.04,4.35
AC,31/01/2019,5.06,4.07
AL,01/05/2019,4.7,4.11
AL,02/01/2019,4.63,3.96
AL,02/04/2019,4.66,4.01
AL,02/05/2019,4.56,4.11
AL,03/04/2019,4.59,3.98
AL,03/06/2019,4.75,4.22
AL,04/02/2019,4.08,3.72
AL,04/03/2019,4.72,3.87
AL,04/04/2019,4.43,3.97
AL,04/06/2019,4.47,NA
AL,05/02/2019,4.5,3.86
AL,05/03/2019,4.38,3.84
AL,05/06/2019,4.73,4.13
AL,06/02/2019,4.33,3.85
AL,06/03/2019,4.41,3.7
AL,06/05/2019,4.76,4.3
AL,07/01/2019,4.48,3.91
AL,08/01/2019,4.74,4
AL,08/04/2019,4.66,NA
AL,08/05/2019,4.77,4.19
AL,09/04/2019,4.93,4.07
AL,09/05/2019,4.59,4.25
AL,10/01/2019,4.4,3.81
AL,10/04/2019,4.55,4.01
AL,10/06/2019,4.75,4.21
AL,11/02/2019,4.39,3.81
AL,11/06/2019,4.47,NA
AL,12/03/2019,4.4,3.92
AL,12/06/2019,4.72,4.11
AL,13/02/2019,4.37,3.79
AL,13/03/2019,4.77,3.96
AL,13/05/2019,4.78,4.3
AL,14/01/2019,4.45,3.88
AL,14/03/2019,4.39,3.98
AL,15/04/2019,4.66,NA
AL,15/05/2019,4.77,4.15
AL,16/01/2019,4.61,3.87
AL,16/04/2019,4.66,4.07
AL,16/05/2019,4.56,4.25
AL,17/04/2019,4.56,4.02
AL,17/06/2019,4.71,4.15
AL,18/02/2019,4.38,3.78
AL,18/04/2019,4.68,4.04
AL,18/06/2019,4.73,4.02
AL,19/02/2019,4.33,3.76
AL,19/03/2019,4.4,3.92
AL,20/02/2019,4.57,3.81
AL,20/03/2019,4.42,3.96
AL,20/05/2019,4.81,4.25
AL,21/01/2019,4.67,3.92
AL,21/03/2019,4.29,NA
AL,22/04/2019,4.56,4.13
AL,22/05/2019,4.71,4.26
AL,23/01/2019,4.42,3.87
AL,23/04/2019,4.75,4.1
AL,24/04/2019,4.66,4.1
AL,24/06/2019,4.73,4.15
AL,25/02/2019,4.71,3.87
AL,25/06/2019,5.02,4.06
AL,26/02/2019,4.39,3.84
AL,26/03/2019,4.51,4.01
AL,26/06/2019,4.48,4.01
AL,27/02/2019,4.35,3.7
