estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2021,5.27,NA
AC,01/06/2021,6.3,NA
AC,02/02/2021,5.25,NA
AC,02/03/2021,5.79,NA
AC,02/05/2021,6.15,NA
AC,02/06/2021,6.59,NA
AC,03/03/2021,5.87,NA
AC,03/05/2021,6.16,NA
AC,04/01/2021,5.05,NA
AC,05/01/2021,5.08,NA
AC,05/04/2021,6.13,NA
AC,05/05/2021,6.88,NA
AC,06/01/2021,5.06,NA
AC,07/04/2021,6.33,NA
AC,08/06/2021,6.38,NA
AC,09/02/2021,5.24,NA
AC,09/03/2021,5.98,NA
AC,09/06/2021,6.52,NA
AC,10/02/2021,5.36,NA
AC,10/03/2021,6.25,NA
AC,11/01/2021,5.12,NA
AC,11/05/2021,6.14,NA
AC,12/01/2021,5.09,NA
AC,12/05/2021,6.68,NA
AC,13/01/2021,5.06,NA
AC,13/04/2021,6.34,NA
AC,14/04/2021,6.14,NA
AC,15/02/2021,5.6,NA
AC,15/06/2021,6.5,NA
AC,16/02/2021,6,NA
AC,16/06/2021,6.28,NA
AC,17/02/2021,5.45,NA
AC,17/03/2021,6.69,NA
AC,17/05/2021,6.27,NA
AC,18/01/2021,5.08,NA
AC,18/05/2021,6.47,NA
AC,19/01/2021,5.39,NA
AC,19/04/2021,6.11,NA
AC,20/01/2021,5.06,NA
AC,20/04/2021,6.3,NA
AC,21/06/2021,6.28,NA
AC,22/02/2021,5.91,NA
AC,22/04/2021,6.13,NA
AC,22/06/2021,6.28,NA
AC,23/02/2021,5.78,NA
AC,23/03/2021,6.5,NA
AC,23/06/2021,6.88,NA
AC,24/02/2021,6.17,NA
AC,24/03/2021,6.21,NA
AC,24/05/2021,6.21,NA
AC,25/01/2021,5.24,NA
AC,25/05/2021,6.28,NA
AC,26/01/2021,5.16,NA
AC,26/05/2021,6.88,NA
AC,27/01/2021,5.1,NA
AC,27/04/2021,6.44,NA
AC,28/04/2021,6.14,NA
AC,29/03/2021,6.14,NA
AC,29/06/2021,6.24,NA
AC,30/03/2021,6.4,NA
AC,30/06/2021,6.53,NA
AC,31/03/2021,6.18,NA
AC,31/05/2021,6.33,NA
AL,01/02/2021,4.89,NA
AL,01/03/2021,5.29,NA
AL,01/06/2021,5.79,NA
AL,02/02/2021,4.9,NA
AL,02/03/2021,5.26,NA
AL,02/06/2021,5.88,NA
AL,03/02/2021,4.99,NA
AL,03/03/2021,5.68,NA
AL,03/05/2021,5.62,NA
AL,04/01/2021,4.75,NA
AL,04/05/2021,5.5,NA
AL,05/04/2021,5.62,NA
AL,05/05/2021,5.81,NA
AL,06/01/2021,4.77,NA
AL,06/04/2021,5.72,NA
AL,07/01/2021,4.91,NA
AL,07/04/2021,5.68,NA
AL,07/06/2021,5.82,NA
AL,08/02/2021,4.89,NA
AL,08/03/2021,5.46,NA
AL,09/02/2021,4.95,NA
AL,09/03/2021,5.76,NA
AL,09/06/2021,5.9,NA
AL,10/02/2021,5.18,NA
AL,10/03/2021,5.87,NA
AL,10/05/2021,5.69,NA
AL,11/01/2021,4.74,NA
AL,11/03/2021,5.89,NA
AL,11/05/2021,5.8,NA
AL,12/01/2021,4.9,NA
AL,12/04/2021,5.66,NA
AL,12/05/2021,5.86,NA
AL,13/04/2021,5.68,NA
AL,14/04/2021,5.64,NA
AL,14/06/2021,5.83,NA
AL,15/02/2021,5.05,NA
AL,15/03/2021,5.68,NA
AL,15/06/2021,5.97,NA
AL,16/02/2021,5.09,NA
AL,16/03/2021,5.8,NA
AL,16/06/2021,5.87,NA
AL,17/02/2021,5.21,NA
AL,17/03/2021,5.85,NA
AL,17/05/2021,5.85,NA
AL,18/01/2021,4.76,NA
AL,18/05/2021,5.83,NA
AL,19/01/2021,4.83,NA
AL,19/04/2021,5.65,NA
AL,20/01/2021,4.85,NA
AL,20/04/2021,5.59,NA
AL,21/03/2021,5.99,NA
AL,21/04/2021,5.76,NA
AL,21/06/2021,5.89,NA
AL,22/02/2021,5.43,NA
AL,22/03/2021,5.74,NA
AL,22/06/2021,5.96,NA
AL,23/02/2021,5.3,NA
AL,23/03/2021,5.93,NA
AL,23/06/2021,5.94,NA
AL,24/02/2021,5.37,NA
AL,24/03/2021,5.8,NA
AL,24/05/2021,5.81,NA
AL,25/01/2021,4.87,NA
AL,25/04/2021,5.66,NA
AL,26/01/2021,4.95,NA
AL,26/04/2021,5.65,NA
AL,26/05/2021,5.87,NA
AL,27/01/2021,4.88,NA
AL,27/04/2021,5.6,NA
AL,28/06/2021,5.92,NA
AL,29/03/2021,5.64,NA
AL,30/03/2021,5.68,NA
AL,30/06/2021,5.95,NA
AL,31/03/2021,5.66,NA
AL,31/05/2021,5.93,NA
AM,01/02/2021,4.93,NA
AM,01/03/2021,5.5,NA
AM,03/01/2021,4.52,NA
AM,03/05/2021,5.4,NA
AM,04/01/2021,4.55,NA
AM,05/04/2021,5.43,NA
AM,07/02/2021,4.77,NA
AM,07/06/2021,5.77,NA
AM,08/02/2021,4.92,NA
AM,08/03/2021,5.37,NA
AM,08/06/2021,5.1,NA
AM,09/03/2021,5.29,NA
AM,10/01/2021,4.46,NA
AM,10/05/2021,5.2,NA
AM,11/01/2021,4.56,NA
AM,12/04/2021,5.55,NA
AM,13/04/2021,5.49,NA
AM,14/02/2021,4.99,NA
AM,14/06/2021,5.77,NA
AM,15/02/2021,5.15,NA
AM,15/03/2021,5.45,NA
AM,15/06/2021,5.29,NA
AM,16/02/2021,5.27,NA
AM,17/01/2021,4.44,NA
AM,17/02/2021,4.99,NA
AM,17/05/2021,5.34,NA
AM,19/04/2021,5.55,NA
AM,21/02/2021,5,NA
AM,21/06/2021,5.39,NA
AM,22/02/2021,5.57,NA
AM,22/03/2021,5.4,NA
AM,23/06/2021,5.27,NA
AM,24/01/2021,4.58,NA
AM,24/05/2021,5.27,NA
AM,24/06/2021,5.26,NA
AM,25/01/2021,4.89,NA
AM,26/04/2021,5.55,NA
AM,27/04/2021,5.49,NA
AM,28/02/2021,5.26,NA
AM,28/06/2021,5.39,NA
AM,29/03/2021,5.22,NA
AM,31/01/2021,4.63,NA
AM,31/05/2021,5.18,NA
AP,01/02/2021,4.13,NA
AP,01/04/2021,4.83,NA
AP,01/06/2021,4.91,NA
AP,02/02/2021,4.13,NA
AP,02/03/2021,4.55,NA
AP,03/02/2021,4.12,NA
AP,03/03/2021,4.69,NA
AP,03/05/2021,4.84,NA
AP,04/04/2021,4.8,NA
AP,04/05/2021,4.91,NA
AP,05/01/2021,3.89,NA
AP,05/04/2021,4.81,NA
AP,05/05/2021,4.87,NA
AP,06/05/2021,4.82,NA
AP,07/06/2021,4.93,NA
AP,08/03/2021,4.73,NA
AP,08/06/2021,4.92,NA
AP,09/02/2021,4.13,NA
AP,09/03/2021,4.76,NA
AP,09/06/2021,4.92,NA
AP,10/02/2021,4.1,NA
AP,11/01/2021,3.88,NA
AP,11/05/2021,4.9,NA
AP,12/05/2021,4.86,NA
AP,13/04/2021,4.75,NA
AP,14/04/2021,4.82,NA
AP,14/06/2021,4.9,NA
AP,15/06/2021,4.96,NA
AP,16/02/2021,4.22,NA
AP,16/03/2021,4.89,NA
AP,16/05/2021,4.87,NA
AP,17/02/2021,4.33,NA
AP,17/03/2021,4.9,NA
AP,18/01/2021,3.89,NA
AP,18/04/2021,4.8,NA
AP,18/05/2021,4.88,NA
AP,19/01/2021,3.95,NA
AP,19/04/2021,4.75,NA
AP,19/05/2021,4.94,NA
AP,20/04/2021,4.83,NA
AP,20/06/2021,4.94,NA
AP,21/06/2021,4.9,NA
AP,22/03/2021,4.94,NA
AP,23/02/2021,4.47,NA
AP,23/03/2021,4.94,NA
AP,24/02/2021,4.51,NA
AP,24/03/2021,5.05,NA
AP,24/05/2021,4.99,NA
AP,25/03/2021,4.87,NA
AP,25/05/2021,5.07,NA
AP,27/04/2021,4.87,NA
AP,27/05/2021,4.9,NA
AP,27/06/2021,4.99,NA
AP,28/01/2021,3.99,NA
AP,28/04/2021,4.87,NA
AP,29/03/2021,4.75,NA
AP,30/03/2021,4.83,NA
AP,31/03/2021,4.79,NA
AP,31/05/2021,4.94,NA
BA,01/02/2021,4.97,NA
BA,01/03/2021,5.28,NA
BA,01/04/2021,5.59,NA
BA,01/06/2021,5.81,NA
BA,02/02/2021,4.88,NA
BA,02/03/2021,5.45,NA
BA,02/05/2021,5.56,NA
BA,02/06/2021,5.9,NA
BA,03/01/2021,4.97,NA
BA,03/02/2021,5.11,NA
BA,03/03/2021,5.46,NA
BA,03/05/2021,5.7,NA
BA,04/01/2021,4.67,NA
BA,04/02/2021,5.19,NA
BA,04/04/2021,5.82,NA
BA,04/05/2021,5.65,NA
BA,05/01/2021,4.67,NA
BA,05/04/2021,5.78,NA
BA,06/04/2021,5.53,NA
BA,06/05/2021,5.29,NA
BA,06/06/2021,5.98,NA
BA,07/02/2021,4.98,NA
BA,07/03/2021,5.83,NA
BA,07/04/2021,5.79,NA
BA,07/06/2021,5.91,NA
BA,08/02/2021,5.04,NA
BA,08/03/2021,5.39,NA
BA,08/06/2021,5.91,NA
BA,09/02/2021,4.91,NA
BA,09/03/2021,5.63,NA
BA,09/05/2021,5.54,NA
BA,09/06/2021,5.93,NA
BA,10/01/2021,4.79,NA
BA,10/02/2021,5.23,NA
BA,10/03/2021,5.88,NA
BA,10/05/2021,5.67,NA
BA,10/06/2021,5.98,NA
BA,11/01/2021,4.66,NA
BA,11/03/2021,5.85,NA
BA,11/04/2021,5.77,NA
BA,11/05/2021,5.51,NA
BA,12/01/2021,4.66,NA
BA,12/04/2021,5.44,NA
BA,12/05/2021,5.56,NA
BA,13/04/2021,5.46,NA
BA,13/05/2021,5.66,NA
BA,13/06/2021,6.02,NA
BA,14/02/2021,5.32,NA
BA,14/03/2021,5.95,NA
BA,14/04/2021,5.79,NA
BA,14/06/2021,6.15,NA
BA,15/02/2021,5.11,NA
BA,15/03/2021,5.89,NA
BA,15/04/2021,5.79,NA
BA,15/06/2021,5.72,NA
BA,16/02/2021,5.01,NA
BA,16/03/2021,5.9,NA
BA,16/05/2021,5.86,NA
BA,16/06/2021,6.01,NA
BA,17/01/2021,4.94,NA
BA,17/02/2021,5.38,NA
BA,17/03/2021,6.07,NA
BA,17/05/2021,5.81,NA
BA,17/06/2021,6.12,NA
BA,18/01/2021,4.64,NA
BA,18/02/2021,5.4,NA
BA,18/04/2021,5.27,NA
BA,18/05/2021,5.77,NA
BA,19/01/2021,4.74,NA
BA,19/04/2021,5.62,NA
BA,19/05/2021,5.9,NA
BA,20/01/2021,4.97,NA
BA,20/04/2021,5.35,NA
BA,20/06/2021,5.95,NA
BA,21/01/2021,4.81,NA
BA,21/02/2021,5.72,NA
BA,21/03/2021,5.92,NA
BA,21/04/2021,5.89,NA
BA,21/06/2021,5.93,NA
BA,22/02/2021,5.39,NA
BA,22/03/2021,5.81,NA
BA,22/06/2021,5.86,NA
BA,23/02/2021,5.29,NA
BA,23/03/2021,5.72,NA
BA,23/05/2021,5.91,NA
BA,24/01/2021,5.09,NA
BA,24/02/2021,5.44,NA
BA,24/03/2021,5.82,NA
BA,24/05/2021,5.86,NA
BA,24/06/2021,5.87,NA
BA,25/01/2021,4.78,NA
BA,25/04/2021,5.45,NA
BA,25/05/2021,5.79,NA
BA,25/06/2021,5.3,NA
BA,26/01/2021,4.71,NA
BA,26/04/2021,5.36,NA
BA,26/05/2021,5.89,NA
BA,27/01/2021,4.81,NA
BA,27/04/2021,5.36,NA
BA,27/06/2021,5.95,NA
BA,28/01/2021,5.09,NA
BA,28/02/2021,5.43,NA
BA,28/03/2021,5.86,NA
BA,28/04/2021,5.83,NA
BA,28/06/2021,5.93,NA
BA,29/03/2021,5.64,NA
BA,29/04/2021,5.99,NA
BA,29/06/2021,5.9,NA
BA,30/03/2021,5.64,NA
BA,30/05/2021,5.89,NA
BA,30/06/2021,5.97,NA
BA,31/01/2021,5.14,NA
BA,31/03/2021,5.89,NA
BA,31/05/2021,5.89,NA
CE,01/03/2021,5.21,NA
CE,01/04/2021,5.47,NA
CE,02/02/2021,4.97,NA
CE,02/03/2021,5.33,NA
CE,02/05/2021,5.46,NA
CE,02/06/2021,5.68,NA
CE,03/01/2021,4.77,NA
CE,03/02/2021,4.9,NA
CE,03/03/2021,5.35,NA
CE,03/05/2021,5.56,NA
CE,03/06/2021,5.66,NA
CE,04/01/2021,4.76,NA
CE,04/02/2021,4.99,NA
CE,04/04/2021,5.51,NA
CE,04/05/2021,5.59,NA
CE,04/06/2021,5.98,NA
CE,05/01/2021,4.85,NA
CE,05/04/2021,5.43,NA
CE,05/05/2021,5.69,NA
CE,06/01/2021,4.7,NA
CE,06/04/2021,5.64,NA
CE,06/05/2021,5.77,NA
CE,06/06/2021,5.74,NA
CE,07/01/2021,4.77,NA
CE,07/02/2021,4.97,NA
CE,07/04/2021,5.61,NA
CE,07/05/2021,5.87,NA
CE,08/02/2021,4.93,NA
CE,08/04/2021,5.5,NA
CE,08/06/2021,5.78,NA
CE,09/02/2021,5.02,NA
CE,09/03/2021,5.5,NA
CE,09/05/2021,5.73,NA
CE,09/06/2021,5.79,NA
CE,10/01/2021,4.74,NA
CE,10/02/2021,5.02,NA
CE,10/03/2021,5.5,NA
CE,10/06/2021,5.68,NA
CE,11/01/2021,4.84,NA
CE,11/02/2021,5.11,NA
CE,11/03/2021,5.48,NA
CE,11/04/2021,5.49,NA
CE,12/01/2021,4.77,NA
CE,12/05/2021,5.7,NA
CE,13/01/2021,4.7,NA
CE,13/04/2021,5.66,NA
CE,13/05/2021,5.75,NA
CE,13/06/2021,5.75,NA
CE,14/01/2021,4.74,NA
CE,14/02/2021,5.13,NA
CE,14/03/2021,5.52,NA
CE,14/04/2021,5.49,NA
CE,14/06/2021,5.82,NA
CE,15/02/2021,5.15,NA
CE,15/03/2021,5.49,NA
CE,15/04/2021,5.46,NA
CE,15/06/2021,5.97,NA
CE,16/02/2021,5.19,NA
CE,16/03/2021,5.62,NA
CE,16/05/2021,5.72,NA
CE,16/06/2021,5.78,NA
CE,17/02/2021,5.07,NA
CE,17/03/2021,5.58,NA
CE,17/05/2021,5.7,NA
CE,17/06/2021,5.8,NA
CE,18/01/2021,4.8,NA
CE,18/02/2021,5.16,NA
CE,18/03/2021,5.49,NA
CE,18/04/2021,5.46,NA
CE,18/05/2021,5.7,NA
CE,19/01/2021,4.74,NA
CE,19/04/2021,5.44,NA
CE,19/05/2021,5.77,NA
CE,20/01/2021,4.74,NA
CE,20/04/2021,5.64,NA
CE,20/05/2021,5.74,NA
CE,20/06/2021,5.71,NA
CE,21/01/2021,4.73,NA
CE,21/02/2021,5.24,NA
CE,21/03/2021,5.49,NA
CE,21/04/2021,5.51,NA
CE,21/06/2021,5.86,NA
CE,22/02/2021,5.2,NA
CE,22/03/2021,5.49,NA
CE,22/06/2021,5.96,NA
CE,23/02/2021,5.22,NA
CE,23/03/2021,5.64,NA
CE,23/05/2021,5.73,NA
CE,23/06/2021,5.75,NA
CE,24/01/2021,4.73,NA
CE,24/02/2021,5.33,NA
CE,24/03/2021,5.58,NA
CE,24/05/2021,5.69,NA
CE,24/06/2021,5.81,NA
CE,25/01/2021,4.78,NA
CE,25/02/2021,5.22,NA
CE,25/03/2021,5.49,NA
CE,25/04/2021,5.48,NA
CE,25/05/2021,5.73,NA
CE,26/01/2021,4.85,NA
CE,26/04/2021,5.39,NA
CE,26/05/2021,5.69,NA
CE,27/01/2021,4.76,NA
CE,27/04/2021,5.69,NA
CE,27/06/2021,5.7,NA
CE,28/01/2021,4.88,NA
CE,28/02/2021,5.24,NA
CE,28/03/2021,5.49,NA
CE,28/04/2021,5.48,NA
CE,28/06/2021,5.86,NA
CE,29/03/2021,5.41,NA
CE,29/06/2021,5.94,NA
CE,30/05/2021,5.74,NA
CE,30/06/2021,5.79,NA
CE,31/01/2021,4.96,NA
CE,31/03/2021,5.57,NA
CE,31/05/2021,5.74,NA
DF,02/02/2021,4.56,NA
DF,02/06/2021,5.85,NA
DF,03/01/2021,4.89,NA
DF,03/02/2021,4.98,NA
DF,03/03/2021,5.51,NA
DF,04/01/2021,4.65,NA
DF,04/04/2021,5.35,NA
DF,05/01/2021,4.69,NA
DF,05/05/2021,5.83,NA
DF,06/01/2021,4.66,NA
DF,06/04/2021,5.71,NA
DF,07/04/2021,5.66,NA
DF,09/06/2021,5.69,NA
DF,10/02/2021,5.09,NA
DF,10/03/2021,5.73,NA
DF,11/04/2021,5.29,NA
DF,12/05/2021,5.58,NA
DF,13/01/2021,4.52,NA
DF,13/04/2021,5.36,NA
DF,14/04/2021,5.59,NA
DF,14/06/2021,5.68,NA
DF,15/02/2021,5.19,NA
DF,15/03/2021,5.64,NA
DF,15/06/2021,5.67,NA
DF,16/03/2021,5.71,NA
DF,16/06/2021,5.6,NA
DF,17/02/2021,5.04,NA
DF,17/03/2021,5.92,NA
DF,18/01/2021,4.4,NA
DF,19/05/2021,5.93,NA
DF,20/01/2021,4.89,NA
DF,20/04/2021,5.4,NA
DF,21/04/2021,5.71,NA
DF,22/03/2021,5.71,NA
DF,22/06/2021,5.96,NA
DF,23/02/2021,5.21,NA
DF,23/03/2021,5.49,NA
DF,23/06/2021,5.92,NA
DF,24/02/2021,5.31,NA
DF,24/03/2021,5.54,NA
DF,26/05/2021,5.9,NA
DF,27/01/2021,4.84,NA
DF,27/05/2021,5.77,NA
DF,28/04/2021,5.59,NA
DF,30/06/2021,5.69,NA
DF,31/03/2021,5.47,NA
ES,01/02/2021,4.74,NA
ES,01/03/2021,5.48,NA
ES,01/06/2021,5.79,NA
ES,02/02/2021,4.77,NA
ES,02/03/2021,5.37,NA
ES,02/05/2021,5.51,NA
ES,02/06/2021,5.76,NA
ES,03/02/2021,4.82,NA
ES,03/03/2021,5.43,NA
ES,03/05/2021,5.75,NA
ES,03/06/2021,5.59,NA
ES,04/01/2021,4.67,NA
ES,04/03/2021,5.69,NA
ES,04/04/2021,5.8,NA
