estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/04/2009,2.98,2.45
AC,01/06/2009,3.32,2.66
AC,02/02/2009,3.11,2.56
AC,02/03/2009,3.33,2.69
AC,02/06/2009,3.1,2.51
AC,03/02/2009,3.08,2.51
AC,03/03/2009,3.06,2.52
AC,03/06/2009,2.92,2.42
AC,04/02/2009,2.91,2.4
AC,04/03/2009,2.92,2.4
AC,04/05/2009,3.1,2.53
AC,05/01/2009,3.27,2.7
AC,05/03/2009,3.09,2.48
AC,05/05/2009,3.08,2.51
AC,06/01/2009,3.08,2.53
AC,06/04/2009,3.32,2.67
AC,06/05/2009,2.94,2.41
AC,07/01/2009,2.93,2.44
AC,07/04/2009,3.05,2.46
AC,08/04/2009,2.91,2.42
AC,08/06/2009,3.33,2.66
AC,09/02/2009,3.06,2.43
AC,09/03/2009,3.25,2.61
AC,09/06/2009,3.01,2.45
AC,10/02/2009,3.16,2.59
AC,10/03/2009,3.07,2.52
AC,10/06/2009,3.01,2.45
AC,11/02/2009,2.92,2.43
AC,11/03/2009,2.92,2.45
AC,11/05/2009,3.03,2.48
AC,12/01/2009,3.3,2.7
AC,12/02/2009,2.91,2.36
AC,12/03/2009,2.91,2.46
AC,12/05/2009,3.08,2.52
AC,13/01/2009,3.08,2.51
AC,13/04/2009,3.32,2.67
AC,13/05/2009,2.93,2.41
AC,14/01/2009,2.96,2.48
AC,14/04/2009,3.06,2.47
AC,15/04/2009,2.93,2.42
AC,15/06/2009,3.32,2.65
AC,16/02/2009,3.09,2.51
AC,16/03/2009,3.15,2.5
AC,16/06/2009,3.18,2.56
AC,17/02/2009,3.12,2.52
AC,17/03/2009,3.15,2.57
AC,17/06/2009,2.96,2.41
AC,18/02/2009,2.91,2.45
AC,18/03/2009,2.93,2.44
AC,18/05/2009,3,2.46
AC,19/01/2009,3.09,2.54
AC,19/05/2009,3.05,2.47
AC,20/01/2009,3.07,2.57
AC,20/04/2009,3,2.5
AC,20/05/2009,3.08,2.49
AC,21/01/2009,3,2.44
AC,22/04/2009,3.11,2.5
AC,22/06/2009,3.14,2.54
AC,23/02/2009,3.33,2.7
AC,23/03/2009,2.98,2.46
AC,23/04/2009,2.92,2.45
AC,23/06/2009,3.09,2.5
AC,24/03/2009,3.12,2.54
AC,24/06/2009,2.95,2.39
AC,25/02/2009,3.1,2.53
AC,25/03/2009,2.92,2.41
AC,25/05/2009,3.32,2.67
AC,26/01/2009,3.23,2.63
AC,26/02/2009,2.95,2.43
AC,26/05/2009,3.11,2.52
AC,27/01/2009,3.02,2.47
AC,27/04/2009,2.99,2.45
AC,27/05/2009,2.93,2.42
AC,28/01/2009,2.97,2.43
AC,28/04/2009,3.1,2.52
AC,29/04/2009,3,2.46
AC,29/06/2009,3.32,2.65
AC,30/03/2009,3.19,2.58
AC,30/06/2009,3.12,2.47
AC,31/03/2009,3.03,2.48
AL,01/04/2009,2.66,2.26
AL,01/06/2009,2.63,2.21
AL,02/02/2009,2.72,2.25
AL,02/06/2009,2.68,2.24
AL,03/02/2009,2.7,2.26
AL,03/03/2009,2.71,2.26
AL,03/06/2009,2.85,2.22
AL,04/02/2009,2.74,2.26
AL,04/03/2009,2.69,2.26
AL,04/05/2009,2.66,2.22
AL,05/01/2009,2.73,2.26
AL,05/05/2009,2.68,2.22
AL,06/01/2009,2.71,2.23
AL,06/04/2009,2.68,2.23
AL,06/05/2009,2.65,2.24
AL,07/01/2009,2.69,2.28
AL,07/04/2009,2.7,2.24
AL,08/04/2009,2.72,2.23
AL,08/06/2009,2.64,2.23
AL,09/02/2009,2.72,2.23
AL,09/03/2009,2.71,2.26
AL,09/06/2009,2.69,2.24
AL,10/02/2009,2.72,2.27
AL,10/03/2009,2.71,2.26
AL,10/06/2009,2.65,2.23
AL,11/02/2009,2.73,2.26
AL,11/05/2009,2.65,2.24
AL,12/01/2009,2.74,2.26
AL,12/05/2009,2.67,2.23
AL,13/01/2009,2.72,2.25
AL,13/04/2009,2.67,2.23
AL,13/05/2009,2.68,2.23
AL,14/01/2009,2.71,2.25
AL,14/04/2009,2.7,2.24
AL,15/04/2009,2.72,2.21
AL,15/06/2009,2.63,2.23
AL,16/02/2009,2.7,2.24
AL,16/03/2009,2.71,2.27
AL,16/06/2009,2.68,2.24
AL,17/02/2009,2.72,2.27
AL,17/03/2009,2.7,2.25
AL,18/02/2009,2.72,2.25
AL,18/03/2009,2.71,2.27
AL,18/05/2009,2.64,2.23
AL,19/01/2009,2.69,2.25
AL,19/05/2009,2.69,2.24
AL,20/01/2009,2.72,2.26
AL,20/04/2009,2.66,2.22
AL,20/05/2009,2.7,2.25
AL,21/01/2009,2.76,2.26
AL,22/04/2009,2.71,2.23
AL,22/06/2009,2.63,2.21
AL,23/02/2009,2.72,2.25
AL,23/03/2009,2.68,2.23
AL,23/04/2009,2.99,NA
AL,23/06/2009,2.67,2.24
AL,24/03/2009,2.71,2.25
AL,25/02/2009,2.71,2.26
AL,25/03/2009,2.7,2.25
AL,25/05/2009,2.64,2.2
AL,26/01/2009,2.69,2.23
AL,26/02/2009,2.74,2.26
AL,26/05/2009,2.66,2.24
AL,27/01/2009,2.72,2.27
AL,27/04/2009,2.66,2.21
AL,27/05/2009,2.67,2.24
AL,28/01/2009,2.73,2.24
AL,28/04/2009,2.68,2.23
AL,29/06/2009,2.72,2.28
AL,30/03/2009,2.69,2.24
AL,30/06/2009,2.66,2.22
AL,31/03/2009,2.7,2.24
AM,01/04/2009,2.56,2.21
AM,01/06/2009,2.61,2.18
AM,02/02/2009,2.55,2.2
AM,02/03/2009,2.59,2.21
AM,02/06/2009,2.7,2.2
AM,03/02/2009,2.65,2.19
AM,03/03/2009,2.69,2.21
AM,03/06/2009,2.64,2.2
AM,04/02/2009,2.65,2.18
AM,04/03/2009,2.69,2.19
AM,04/05/2009,2.6,2.21
AM,05/01/2009,2.58,2.18
AM,05/05/2009,2.65,2.2
AM,06/01/2009,2.6,2.17
AM,06/04/2009,2.55,2.21
AM,06/05/2009,2.73,2.22
AM,07/01/2009,2.83,2.25
AM,07/04/2009,2.67,2.21
AM,08/04/2009,2.63,2.21
AM,08/06/2009,2.59,2.19
AM,09/02/2009,2.53,2.21
AM,09/03/2009,2.6,2.22
AM,09/04/2009,2.61,2.21
AM,09/06/2009,2.68,2.19
AM,10/02/2009,2.64,2.2
AM,10/03/2009,2.69,2.21
AM,10/06/2009,2.66,2.19
AM,11/02/2009,2.75,2.17
AM,11/03/2009,2.72,2.23
AM,11/05/2009,2.52,2.19
AM,12/01/2009,2.58,2.21
AM,12/03/2009,2.59,2.15
AM,12/05/2009,2.61,2.2
AM,13/01/2009,2.68,2.2
AM,13/04/2009,2.6,2.19
AM,13/05/2009,2.68,2.21
AM,14/01/2009,2.8,2.16
AM,14/04/2009,2.66,2.19
AM,15/04/2009,2.76,2.22
AM,15/06/2009,2.55,2.2
AM,16/02/2009,2.57,2.2
AM,16/03/2009,2.59,2.2
AM,16/06/2009,2.62,2.19
AM,17/02/2009,2.62,2.19
AM,17/03/2009,2.7,2.21
