estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/04/2014,3.68,3.1
AC,02/01/2014,3.31,2.75
AC,02/04/2014,3.65,2.94
AC,03/01/2014,3.4,2.76
AC,03/02/2014,3.68,3.06
AC,03/03/2014,3.55,2.87
AC,03/04/2014,3.36,2.94
AC,04/02/2014,3.39,3.05
AC,05/02/2014,3.55,2.79
AC,05/03/2014,3.36,2.84
AC,05/05/2014,3.78,3.16
AC,06/01/2014,3.66,3.03
AC,06/02/2014,3.37,2.81
AC,06/03/2014,3.45,2.86
AC,07/03/2014,3.43,2.85
AC,07/04/2014,3.38,3.1
AC,07/05/2014,3.49,2.85
AC,08/04/2014,3.66,3.06
AC,08/05/2014,3.34,2.86
AC,09/01/2014,3.38,2.77
AC,10/02/2014,3.53,3.05
AC,10/03/2014,3.34,NA
AC,10/04/2014,3.47,2.92
AC,11/02/2014,3.55,2.82
AC,12/02/2014,3.34,2.83
AC,13/01/2014,3.48,2.83
AC,13/02/2014,3.55,2.85
AC,13/03/2014,3.48,2.97
AC,14/01/2014,3.66,2.98
AC,14/04/2014,3.36,3.1
AC,15/04/2014,3.65,3.06
AC,16/01/2014,3.37,2.82
AC,17/02/2014,3.53,3.05
AC,17/03/2014,3.34,NA
AC,17/04/2014,3.4,2.87
AC,18/02/2014,3.55,2.82
AC,19/02/2014,3.4,2.91
AC,19/03/2014,3.34,2.88
AC,20/01/2014,3.48,2.83
AC,20/02/2014,3.38,2.83
AC,20/03/2014,3.6,3
AC,21/01/2014,3.66,2.98
AC,22/04/2014,3.45,2.86
AC,23/01/2014,3.37,2.81
AC,23/04/2014,3.78,3.17
AC,24/02/2014,3.55,2.87
AC,24/04/2014,3.41,2.87
AC,25/02/2014,3.36,2.84
AC,25/03/2014,3.68,3.1
AC,26/02/2014,3.45,2.88
AC,26/03/2014,3.6,2.94
AC,27/01/2014,3.68,3.06
AC,27/02/2014,3.55,NA
AC,27/03/2014,3.38,2.96
AC,28/01/2014,3.39,3.05
AC,29/01/2014,3.55,2.79
AC,29/04/2014,3.47,2.89
AC,30/01/2014,3.39,2.81
AC,30/04/2014,3.64,2.87
AL,01/04/2014,3.03,NA
AL,02/01/2014,2.92,2.51
AL,02/04/2014,2.99,2.61
AL,03/02/2014,3.12,2.55
AL,03/03/2014,3.06,2.56
AL,03/04/2014,2.93,2.6
AL,04/02/2014,2.85,2.55
AL,05/02/2014,2.99,2.51
AL,05/03/2014,2.99,2.58
AL,05/05/2014,3.05,2.65
AL,06/01/2014,2.97,2.54
AL,06/02/2014,3.03,2.57
AL,06/03/2014,2.88,2.58
AL,07/01/2014,2.97,2.53
AL,07/03/2014,2.99,2.59
AL,07/04/2014,3.04,2.65
AL,07/05/2014,3.02,2.6
AL,08/01/2014,3.05,NA
AL,08/04/2014,2.93,2.58
AL,08/05/2014,2.85,2.61
AL,09/04/2014,2.96,2.6
AL,10/02/2014,3.04,2.58
AL,10/04/2014,2.99,2.59
AL,11/02/2014,3.04,2.63
AL,11/03/2014,3.01,2.6
AL,12/02/2014,3.01,2.52
AL,12/03/2014,2.99,2.55
AL,13/01/2014,2.89,2.54
AL,13/02/2014,2.91,2.59
AL,13/03/2014,2.95,2.59
AL,14/01/2014,3.02,2.55
AL,14/04/2014,3.05,2.65
AL,15/01/2014,3.09,2.56
AL,15/04/2014,2.97,2.59
AL,16/01/2014,3.05,2.54
AL,16/04/2014,2.95,2.61
AL,17/02/2014,3.01,2.56
AL,17/03/2014,2.93,NA
AL,17/04/2014,3.03,2.6
AL,18/02/2014,3.03,2.6
AL,18/03/2014,2.99,2.6
AL,19/02/2014,3.01,2.56
AL,19/03/2014,2.98,2.62
AL,20/01/2014,2.93,2.54
AL,20/02/2014,2.88,2.59
AL,20/03/2014,2.92,2.57
AL,21/01/2014,3.03,2.56
AL,22/01/2014,3,NA
AL,22/04/2014,2.96,2.6
AL,23/01/2014,3.06,2.55
AL,23/04/2014,2.97,2.61
AL,24/02/2014,3.02,2.58
AL,25/02/2014,3,2.59
AL,25/03/2014,2.95,2.57
AL,26/02/2014,2.85,2.58
AL,26/03/2014,2.98,2.61
AL,27/01/2014,3.07,2.54
AL,27/03/2014,2.93,2.61
AL,28/01/2014,2.85,2.55
AL,28/04/2014,2.95,2.63
AL,29/04/2014,2.98,2.61
AL,30/01/2014,3.03,2.56
AM,01/04/2014,3.39,2.61
AM,02/04/2014,3.09,2.65
AM,03/01/2014,3.13,2.61
AM,03/02/2014,3.43,2.61
AM,03/04/2014,3.29,2.66
AM,04/02/2014,3.04,2.65
AM,05/02/2014,3.09,2.63
AM,05/03/2014,3.2,2.63
AM,05/05/2014,3.5,2.65
AM,06/01/2014,3.38,2.61
AM,06/03/2014,3.12,2.65
AM,06/05/2014,3.22,2.63
AM,07/01/2014,3.08,2.62
AM,07/03/2014,3.29,2.63
AM,07/04/2014,3.14,2.65
AM,08/01/2014,3.07,2.62
AM,08/04/2014,3.36,2.75
AM,09/01/2014,3.27,2.59
AM,09/04/2014,3.24,2.65
AM,10/02/2014,3.24,2.65
AM,10/04/2014,3.43,2.6
AM,11/02/2014,3.33,2.6
AM,11/03/2014,3.21,2.64
AM,12/02/2014,3.08,2.63
AM,12/03/2014,3.1,2.64
AM,13/01/2014,3.36,2.57
AM,13/02/2014,3.11,2.66
AM,14/01/2014,3.09,2.62
AM,14/04/2014,3.39,2.63
AM,15/01/2014,3.47,2.76
AM,15/04/2014,3.12,2.66
AM,16/01/2014,3.21,2.61
AM,16/04/2014,3.1,2.65
AM,17/02/2014,3.36,2.66
AM,17/04/2014,3.43,2.6
AM,18/02/2014,3.15,2.62
AM,18/03/2014,3.34,2.64
AM,19/02/2014,3.08,2.63
AM,19/03/2014,3.29,2.65
AM,20/01/2014,3.19,2.59
AM,20/02/2014,3.32,2.73
AM,20/03/2014,3.07,2.66
AM,21/01/2014,3.13,2.71
AM,22/01/2014,3.16,2.64
AM,22/04/2014,3.49,2.64
AM,23/01/2014,3.2,2.64
AM,23/04/2014,3.11,2.67
AM,24/03/2014,3.07,2.64
AM,24/04/2014,3.09,2.69
AM,25/02/2014,3.16,2.63
AM,25/03/2014,3.38,2.61
AM,25/04/2014,3.63,2.49
AM,26/02/2014,3.16,2.68
AM,26/03/2014,3.12,2.64
AM,27/01/2014,3.33,2.62
AM,27/02/2014,3.29,2.63
AM,27/03/2014,3.29,2.66
AM,28/01/2014,3.05,2.61
AM,29/01/2014,3.09,2.62
AM,29/04/2014,3.15,2.66
AM,30/01/2014,3.08,2.61
AM,30/04/2014,3.55,2.63
AM,31/03/2014,3.02,2.6
AP,01/04/2014,2.94,2.59
AP,02/01/2014,3.24,2.54
AP,02/04/2014,2.94,2.62
AP,03/03/2014,3.01,2.57
AP,03/04/2014,3.26,2.76
AP,04/02/2014,3,2.54
AP,05/02/2014,3.02,2.59
AP,05/03/2014,3.16,2.6
AP,06/01/2014,2.89,2.52
AP,06/05/2014,3,2.6
AP,07/01/2014,2.88,2.55
AP,07/04/2014,2.96,2.6
AP,07/05/2014,3.21,NA
AP,08/04/2014,3.34,NA
AP,09/01/2014,3.24,2.54
AP,09/04/2014,2.93,2.62
AP,10/02/2014,3.01,2.58
AP,10/03/2014,3.25,2.72
AP,10/04/2014,3.25,2.76
AP,11/02/2014,3.06,2.58
AP,11/03/2014,3.02,2.58
AP,12/02/2014,2.87,NA
AP,13/01/2014,2.97,2.53
AP,13/03/2014,2.89,2.61
AP,14/01/2014,3,2.56
AP,14/04/2014,2.96,2.6
AP,15/04/2014,3.34,NA
AP,16/04/2014,2.93,2.62
AP,17/02/2014,3.03,2.58
AP,17/03/2014,3.25,2.72
AP,17/04/2014,3.25,2.76
AP,18/02/2014,3.05,2.58
AP,18/03/2014,3.02,2.58
AP,19/02/2014,2.87,NA
AP,20/01/2014,2.97,2.53
AP,20/03/2014,2.94,2.61
AP,21/01/2014,3,2.56
AP,22/04/2014,3.08,2.58
AP,24/02/2014,3.01,2.57
AP,24/03/2014,3.33,NA
AP,24/04/2014,2.92,2.64
AP,25/02/2014,3.16,2.6
AP,25/03/2014,2.94,2.59
AP,26/03/2014,2.94,2.62
AP,27/03/2014,3.26,2.76
AP,28/01/2014,3,2.54
AP,29/01/2014,3.02,2.59
AP,29/04/2014,3.08,2.58
AP,30/04/2014,2.92,2.64
AP,31/03/2014,3.33,NA
BA,01/01/2014,2.98,2.42
BA,01/04/2014,3.02,2.53
BA,02/01/2014,3.05,2.49
BA,02/04/2014,3.01,2.51
BA,03/01/2014,3.05,2.49
BA,03/02/2014,3.04,2.52
BA,03/03/2014,3.04,2.54
BA,03/04/2014,3.03,2.55
BA,04/02/2014,3.01,2.51
BA,05/02/2014,3.06,2.52
BA,05/03/2014,3.02,2.51
BA,05/05/2014,3.04,2.55
BA,06/01/2014,3.05,2.51
BA,06/02/2014,3,2.49
BA,06/03/2014,3.06,2.5
BA,06/05/2014,3.07,2.55
BA,07/01/2014,3.02,2.5
BA,07/03/2014,3.08,2.52
BA,07/04/2014,3,2.53
BA,07/05/2014,2.99,2.49
BA,08/01/2014,3.01,2.5
BA,08/04/2014,3.04,2.52
BA,08/05/2014,3.02,2.5
BA,09/01/2014,3.03,2.49
BA,09/04/2014,3.09,2.54
BA,10/02/2014,3.04,2.51
BA,10/03/2014,3.03,2.56
BA,10/04/2014,3.01,2.52
BA,11/02/2014,3.03,2.52
BA,11/03/2014,3.04,2.53
BA,12/02/2014,3.05,2.51
