estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/01/2015,3.44,2.85
AC,01/04/2015,4.01,3.14
AC,01/06/2015,3.77,NA
AC,02/02/2015,3.9,3.16
AC,02/03/2015,3.85,3.19
AC,02/04/2015,3.75,3.15
AC,02/06/2015,4,3.34
AC,03/02/2015,3.68,NA
AC,03/03/2015,3.74,3.16
AC,03/06/2015,3.76,3.16
AC,04/02/2015,3.6,2.92
AC,04/03/2015,3.8,3.21
AC,04/05/2015,4,3.37
AC,05/02/2015,3.54,2.91
AC,05/03/2015,4.02,3.29
AC,05/05/2015,3.74,NA
AC,06/01/2015,3.44,2.87
AC,06/04/2015,3.93,3.14
AC,06/05/2015,3.97,3.15
AC,07/01/2015,3.73,3.02
AC,07/04/2015,4.06,3.26
AC,07/05/2015,3.76,3.16
AC,08/01/2015,3.43,2.91
AC,08/04/2015,3.75,3.15
AC,08/06/2015,3.77,NA
AC,09/03/2015,3.93,3.22
AC,09/04/2015,3.99,3.05
AC,09/06/2015,4,3.25
AC,10/02/2015,3.74,3.05
AC,10/03/2015,3.86,3.18
AC,10/06/2015,3.84,3.18
AC,11/02/2015,4.02,3.1
AC,11/05/2015,4,3.37
AC,11/06/2015,3.77,3.16
AC,12/01/2015,3.86,3.18
AC,12/02/2015,3.75,3.03
AC,12/03/2015,3.76,3.14
AC,12/05/2015,3.74,NA
AC,13/04/2015,3.93,3.14
AC,13/05/2015,3.83,3.16
AC,14/01/2015,3.54,2.95
AC,14/04/2015,4.06,3.26
AC,15/01/2015,3.49,2.9
AC,15/04/2015,3.75,3.14
AC,15/06/2015,4.04,3.33
AC,16/03/2015,4.01,3.28
AC,16/04/2015,3.99,3.05
AC,16/06/2015,3.85,3.2
AC,17/02/2015,4.05,3.33
AC,17/03/2015,3.94,3.2
AC,17/06/2015,3.99,3.1
AC,18/02/2015,3.74,3.1
AC,18/03/2015,3.76,3.16
AC,18/05/2015,3.98,3.26
AC,18/06/2015,3.75,3.16
AC,19/01/2015,3.82,3.18
AC,19/02/2015,3.8,3.03
AC,19/05/2015,3.93,3.21
AC,20/01/2015,3.8,NA
AC,20/04/2015,3.88,NA
AC,20/05/2015,3.81,3.15
AC,21/01/2015,3.48,2.91
AC,21/05/2015,3.94,3.2
AC,22/01/2015,3.51,2.93
AC,22/06/2015,4.04,3.33
AC,23/02/2015,3.86,3.19
AC,23/03/2015,3.99,3.21
AC,23/04/2015,4.04,3.21
AC,23/06/2015,3.85,3.2
AC,24/03/2015,3.91,3.29
AC,24/04/2015,3.76,3.13
AC,24/06/2015,3.99,3.1
AC,25/02/2015,4.02,3.32
AC,25/03/2015,3.91,3.13
AC,25/05/2015,3.98,3.26
AC,25/06/2015,3.75,3.17
AC,26/01/2015,3.72,3.17
AC,26/02/2015,4.04,3.29
AC,26/03/2015,3.76,3.15
AC,26/05/2015,3.92,3.21
AC,27/01/2015,3.6,NA
AC,27/02/2015,3.75,3.14
AC,27/04/2015,3.87,NA
AC,27/05/2015,3.81,3.17
AC,28/01/2015,3.47,2.9
AC,28/05/2015,3.94,3.2
AC,29/04/2015,4.04,3.21
AC,29/06/2015,3.98,3.34
AC,30/03/2015,3.99,3.21
AC,30/04/2015,3.75,3.17
AC,30/06/2015,3.99,3.12
AC,31/03/2015,3.89,3.29
AL,01/04/2015,3.27,2.84
AL,01/06/2015,3.19,2.82
AL,02/02/2015,3.15,2.62
AL,02/03/2015,3.32,2.8
AL,02/06/2015,3.34,2.84
AL,03/02/2015,3.18,2.64
AL,03/03/2015,3.28,2.83
AL,03/06/2015,3.36,2.83
AL,04/02/2015,3.09,2.6
AL,04/03/2015,3.29,2.84
AL,04/05/2015,3.28,2.82
AL,05/01/2015,3.07,2.6
AL,05/02/2015,3.34,2.67
AL,05/03/2015,3.25,2.88
AL,05/05/2015,3.36,2.9
AL,06/01/2015,3.11,2.68
AL,06/04/2015,3.34,2.85
AL,06/05/2015,3.31,2.81
AL,07/04/2015,3.28,2.82
AL,07/05/2015,3.35,2.85
AL,08/01/2015,3.06,2.64
AL,08/04/2015,3.29,2.84
AL,08/06/2015,3.2,2.82
AL,09/02/2015,3.34,2.79
AL,09/03/2015,3.31,2.88
AL,09/06/2015,3.28,2.83
AL,10/02/2015,3.34,2.77
AL,10/03/2015,3.27,2.85
AL,10/06/2015,3.33,2.83
AL,11/02/2015,3.32,2.78
AL,11/03/2015,3.25,2.88
AL,11/05/2015,3.19,2.86
AL,11/06/2015,3.46,2.89
AL,12/01/2015,3.13,2.62
AL,12/05/2015,3.21,2.83
AL,13/01/2015,3.06,2.6
AL,13/04/2015,3.35,2.85
AL,13/05/2015,3.3,2.83
AL,14/01/2015,3.07,2.63
AL,14/04/2015,3.3,2.82
AL,14/05/2015,3.35,2.85
AL,15/01/2015,3.04,2.59
AL,15/04/2015,3.27,2.83
AL,15/06/2015,3.32,2.81
AL,16/02/2015,3.3,2.81
AL,16/03/2015,3.35,2.86
AL,16/06/2015,3.32,2.81
AL,17/02/2015,3.33,2.75
AL,17/03/2015,3.28,2.84
AL,17/06/2015,3.32,2.87
AL,18/02/2015,3.32,2.8
AL,18/03/2015,3.25,2.86
AL,18/05/2015,3.3,2.83
AL,19/01/2015,3.13,2.62
AL,19/05/2015,3.36,2.81
AL,20/01/2015,3.06,2.61
AL,20/04/2015,3.25,2.85
AL,20/05/2015,3.33,2.84
AL,21/01/2015,3.07,2.63
AL,21/04/2015,3.3,2.76
AL,21/05/2015,3.27,2.84
AL,22/01/2015,3.03,2.57
AL,22/04/2015,3.29,2.86
AL,22/06/2015,3.29,2.82
AL,23/02/2015,3.3,2.8
AL,23/03/2015,3.29,2.85
AL,23/04/2015,3.31,2.84
AL,23/06/2015,3.35,2.82
AL,24/03/2015,3.24,2.86
AL,24/04/2015,3.48,2.91
AL,24/06/2015,3.35,2.86
AL,25/02/2015,3.33,2.84
AL,25/03/2015,3.33,2.87
AL,26/01/2015,3.13,2.62
AL,26/02/2015,3.25,2.88
AL,26/03/2015,3.19,NA
AL,26/05/2015,3.28,2.81
AL,27/01/2015,3.09,2.64
AL,27/04/2015,3.3,2.83
AL,27/05/2015,3.41,2.85
AL,28/01/2015,3.03,2.64
AL,28/04/2015,3.28,2.8
AL,28/05/2015,3.27,2.84
AL,29/04/2015,3.3,2.84
AL,29/06/2015,3.3,2.81
AL,30/03/2015,3.31,2.86
AL,30/04/2015,3.37,2.84
AL,30/06/2015,3.37,2.83
AL,31/03/2015,3.25,2.91
AM,01/04/2015,3.69,3.02
AM,01/06/2015,3.57,3
AM,02/03/2015,3.7,2.88
AM,02/04/2015,4.03,3
AM,02/06/2015,3.69,3
AM,03/02/2015,3.49,2.72
AM,03/03/2015,3.62,2.97
AM,03/06/2015,3.89,3.01
AM,04/02/2015,3.53,2.82
AM,04/03/2015,3.62,2.82
AM,04/05/2015,3.69,3.02
AM,05/01/2015,3.56,2.74
AM,05/03/2015,3.45,2.75
AM,05/05/2015,3.64,2.99
AM,06/01/2015,3.27,2.73
AM,06/04/2015,4.06,2.96
AM,06/05/2015,3.53,2.98
AM,07/01/2015,3.31,2.74
AM,07/04/2015,3.66,2.99
AM,07/05/2015,3.75,3.03
AM,08/04/2015,3.6,2.99
AM,08/06/2015,3.55,3.01
AM,09/02/2015,3.95,2.8
AM,09/03/2015,3.57,3
AM,09/04/2015,3.66,3.01
AM,09/06/2015,3.72,2.98
AM,10/02/2015,3.59,2.93
AM,10/03/2015,3.64,3.02
AM,10/06/2015,3.79,3.01
AM,11/02/2015,3.55,2.94
AM,11/03/2015,3.67,3.03
AM,11/05/2015,3.68,3.02
AM,11/06/2015,3.58,3.01
AM,12/01/2015,3.4,NA
AM,12/02/2015,3.73,2.75
AM,12/03/2015,3.49,2.98
AM,12/05/2015,3.68,2.99
AM,13/01/2015,3.65,2.71
AM,13/04/2015,3.67,2.99
AM,13/05/2015,3.54,3.01
AM,14/01/2015,3.32,2.73
AM,14/04/2015,3.65,3.01
AM,14/05/2015,3.65,3.02
AM,15/01/2015,3.23,2.78
AM,15/04/2015,3.63,3.01
AM,15/06/2015,3.59,3.02
AM,16/02/2015,3.63,2.9
AM,16/03/2015,3.56,3.02
AM,16/04/2015,3.68,3
AM,16/06/2015,3.75,2.99
AM,17/02/2015,3.59,2.92
AM,17/03/2015,3.65,3
AM,17/06/2015,3.57,3.02
AM,18/02/2015,3.69,2.93
AM,18/03/2015,3.75,3
AM,18/05/2015,3.61,3.02
AM,18/06/2015,3.58,3.01
AM,19/01/2015,3.4,NA
AM,19/02/2015,3.73,2.75
AM,19/05/2015,3.74,2.99
AM,20/01/2015,3.32,2.74
AM,20/02/2015,3.55,NA
AM,20/04/2015,3.58,3
AM,20/05/2015,3.57,3
AM,21/01/2015,3.63,2.63
AM,21/05/2015,4.05,2.72
AM,22/01/2015,3.23,2.78
AM,22/04/2015,3.71,3.02
AM,22/06/2015,3.6,3.02
AM,23/02/2015,3.63,2.91
AM,23/03/2015,3.51,3.01
AM,23/04/2015,3.59,2.93
AM,23/06/2015,3.71,3
AM,24/02/2015,3.65,2.97
AM,24/03/2015,3.64,3.01
AM,24/04/2015,3.69,3
