estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2005,2.64,2.18
AC,01/03/2005,2.63,2.21
AC,01/06/2005,2.81,2.33
AC,02/02/2005,3.1,NA
AC,02/03/2005,3.22,NA
AC,02/05/2005,3.2,NA
AC,03/01/2005,2.65,2.18
AC,03/02/2005,2.62,2.23
AC,03/05/2005,2.63,2.17
AC,04/01/2005,2.6,2.17
AC,04/04/2005,2.67,2.2
AC,04/05/2005,2.78,2.32
AC,05/01/2005,3.13,NA
AC,05/04/2005,2.68,2.19
AC,06/01/2005,2.73,2.18
AC,06/06/2005,2.69,2.17
AC,07/02/2005,2.88,2.21
AC,07/03/2005,2.7,2.23
AC,07/06/2005,2.62,2.17
AC,08/03/2005,2.64,2.23
AC,08/06/2005,2.96,2.13
AC,09/02/2005,2.66,2.2
AC,09/05/2005,2.7,2.21
AC,10/01/2005,2.69,2.19
AC,10/02/2005,2.63,2.2
AC,10/03/2005,3.22,NA
AC,10/05/2005,3.07,2.19
AC,11/01/2005,2.69,2.19
AC,11/04/2005,2.83,2.17
AC,11/05/2005,2.66,2.2
AC,12/04/2005,2.63,2.19
AC,13/04/2005,2.68,2.27
AC,13/06/2005,2.57,2.13
AC,14/02/2005,2.69,2.22
AC,14/03/2005,2.68,2.26
AC,14/06/2005,2.68,2.18
AC,15/02/2005,2.63,2.19
AC,15/03/2005,2.99,2.19
AC,15/06/2005,2.86,2.28
AC,16/02/2005,3.22,NA
AC,16/03/2005,2.62,2.18
AC,16/05/2005,2.84,2.18
AC,17/01/2005,2.84,2.22
AC,17/02/2005,2.63,2.17
AC,17/03/2005,2.5,NA
AC,17/05/2005,2.65,2.19
AC,18/01/2005,2.63,2.19
AC,18/04/2005,2.69,2.21
AC,18/05/2005,2.63,NA
AC,19/01/2005,2.68,2.24
AC,19/04/2005,2.62,2.16
AC,20/04/2005,2.79,2.27
AC,20/06/2005,2.63,2.15
AC,21/02/2005,2.88,2.21
AC,21/03/2005,2.79,2.24
AC,21/06/2005,2.58,2.14
AC,22/02/2005,2.66,2.28
AC,22/03/2005,2.62,2.16
AC,22/06/2005,2.68,2.21
AC,23/02/2005,2.63,2.18
AC,23/03/2005,2.69,2.23
AC,23/05/2005,2.85,2.18
AC,23/06/2005,3.2,NA
AC,24/01/2005,2.94,2.17
AC,24/02/2005,2.68,2.24
AC,25/01/2005,2.64,2.2
AC,25/04/2005,2.99,2.15
AC,25/05/2005,2.63,2.19
AC,26/04/2005,2.64,2.19
AC,27/04/2005,2.63,2.18
AC,27/06/2005,2.66,2.15
AC,28/02/2005,2.67,2.21
AC,28/03/2005,2.67,2.28
AC,28/06/2005,2.56,2.15
AC,29/03/2005,2.78,2.2
AC,29/06/2005,2.94,2.32
AC,30/03/2005,2.66,2.16
AC,30/05/2005,2.6,2.13
AC,31/01/2005,2.67,2.22
AC,31/05/2005,2.64,2.15
AL,01/02/2005,2.48,2.01
AL,01/03/2005,2.48,2.01
AL,01/06/2005,2.49,2.06
AL,02/05/2005,2.41,2
AL,03/01/2005,2.38,2.01
AL,03/02/2005,2.48,2.01
AL,03/05/2005,2.44,2.03
AL,04/01/2005,2.44,2.01
AL,04/04/2005,2.37,1.99
AL,05/01/2005,2.49,2.05
AL,05/04/2005,2.45,2.01
AL,06/06/2005,2.41,2.04
AL,07/02/2005,2.38,2.01
AL,07/03/2005,2.38,2
AL,07/06/2005,2.52,2.05
AL,08/03/2005,2.45,2.01
AL,08/06/2005,2.46,2.07
AL,09/02/2005,2.46,2.01
AL,09/05/2005,2.45,2.05
AL,09/06/2005,2.54,2.05
AL,10/01/2005,2.38,2
AL,10/02/2005,2.38,2.02
AL,10/05/2005,2.47,2.05
AL,11/01/2005,2.44,2.01
AL,11/04/2005,2.39,2
AL,12/04/2005,2.43,2.02
AL,13/04/2005,2.47,2.01
AL,13/06/2005,2.51,2.06
AL,14/02/2005,2.38,2
AL,14/03/2005,2.39,1.99
AL,14/04/2005,2.48,2
AL,14/06/2005,2.42,2.06
AL,15/02/2005,2.38,2.01
AL,15/03/2005,2.44,2.01
AL,15/06/2005,2.43,2.04
AL,16/02/2005,2.47,2.02
AL,16/05/2005,2.52,2.05
AL,17/01/2005,2.44,2.01
AL,17/05/2005,2.49,2.06
AL,18/01/2005,2.4,2.02
AL,18/04/2005,2.38,2.02
AL,18/05/2005,2.41,2.04
AL,19/04/2005,2.45,2.01
AL,20/04/2005,2.48,2.02
AL,20/06/2005,2.47,2.05
AL,21/02/2005,2.38,2.01
AL,21/03/2005,2.45,2.01
AL,21/06/2005,2.49,2.06
AL,22/02/2005,2.45,2.02
AL,22/03/2005,2.39,2.01
AL,22/06/2005,2.55,2.08
AL,23/02/2005,2.46,2.02
AL,23/03/2005,2.47,2.05
AL,23/05/2005,2.42,2.04
AL,24/01/2005,2.38,2.01
AL,24/05/2005,2.44,2.05
AL,25/01/2005,2.48,2.02
AL,25/04/2005,2.37,2
