estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/04/2008,3.05,2.47
AC,02/01/2008,2.99,2.38
AC,02/04/2008,3.02,2.35
AC,03/01/2008,3.01,2.37
AC,03/03/2008,3.15,2.46
AC,03/06/2008,3.15,2.48
AC,04/01/2008,2.85,2.34
AC,04/02/2008,3.12,2.52
AC,04/03/2008,2.98,2.45
AC,04/06/2008,3.06,2.45
AC,05/03/2008,2.96,2.38
AC,05/05/2008,3.04,2.45
AC,05/06/2008,2.92,2.34
AC,06/03/2008,3.1,2.4
AC,06/05/2008,3.06,2.34
AC,07/01/2008,3.04,2.49
AC,07/02/2008,2.92,2.38
AC,07/04/2008,3.15,2.48
AC,07/05/2008,3.09,2.41
AC,08/01/2008,3.07,2.39
AC,08/02/2008,3.13,2.39
AC,08/04/2008,2.98,2.44
AC,08/05/2008,2.95,2.45
AC,09/01/2008,2.93,2.36
AC,09/04/2008,3.09,2.44
AC,09/06/2008,3.05,2.49
AC,10/03/2008,3.15,2.47
AC,10/04/2008,2.95,2.37
AC,10/06/2008,3.03,2.37
AC,11/02/2008,3.11,2.54
AC,11/03/2008,2.98,2.38
AC,11/06/2008,3.05,2.42
AC,12/02/2008,3.1,2.43
AC,12/03/2008,2.97,2.43
AC,12/05/2008,3.04,2.45
AC,12/06/2008,2.91,NA
AC,13/02/2008,2.92,2.38
AC,13/05/2008,3.04,2.41
AC,14/01/2008,3.15,2.5
AC,14/04/2008,3.04,2.47
AC,15/01/2008,3.05,2.46
AC,15/04/2008,3.06,2.39
AC,15/05/2008,2.9,2.35
AC,16/01/2008,2.93,2.37
AC,16/04/2008,3.01,2.39
AC,16/06/2008,3.02,2.4
AC,17/01/2008,3.01,2.38
AC,17/03/2008,3.15,2.36
AC,17/06/2008,3.02,2.43
AC,18/02/2008,3.17,2.48
AC,18/03/2008,3.1,2.53
AC,18/06/2008,3.17,2.56
AC,19/02/2008,3.12,2.48
AC,19/03/2008,2.98,2.4
AC,19/05/2008,3.03,2.43
AC,20/02/2008,2.92,2.38
AC,20/05/2008,3.08,2.53
AC,21/01/2008,3.18,2.51
AC,21/05/2008,3.02,2.41
AC,22/01/2008,2.99,2.44
AC,22/04/2008,3.02,2.39
AC,23/01/2008,2.94,2.37
AC,23/04/2008,3.1,2.4
AC,23/05/2008,2.92,2.35
AC,23/06/2008,3.05,2.42
AC,24/01/2008,3.03,2.38
AC,24/03/2008,3.13,2.48
AC,24/04/2008,2.92,2.45
AC,24/06/2008,3.03,2.43
AC,25/02/2008,3.15,2.48
AC,25/03/2008,2.96,2.4
AC,25/06/2008,2.92,2.46
AC,26/02/2008,2.96,2.41
AC,26/03/2008,3.01,2.39
AC,26/05/2008,3.02,2.42
AC,26/06/2008,2.92,2.38
AC,27/02/2008,2.96,2.42
AC,27/05/2008,3.06,2.47
AC,28/01/2008,3.02,2.46
AC,28/02/2008,3.09,2.41
AC,28/04/2008,3.04,2.48
AC,28/05/2008,3.06,2.37
AC,29/01/2008,2.99,2.42
AC,29/02/2008,2.93,2.33
AC,29/04/2008,3.08,2.41
AC,30/01/2008,3.09,2.39
AC,30/04/2008,2.92,2.35
AL,01/04/2008,2.76,2.25
AL,02/01/2008,2.7,2.24
AL,02/04/2008,2.79,2.26
AL,02/06/2008,2.74,2.26
AL,03/01/2008,2.79,2.28
AL,03/03/2008,2.72,2.27
AL,03/06/2008,2.77,2.27
AL,04/02/2008,2.78,2.26
AL,04/03/2008,2.76,2.25
AL,04/06/2008,2.66,2.29
AL,05/03/2008,2.79,2.27
AL,05/05/2008,2.76,2.26
AL,06/02/2008,2.69,2.22
AL,06/05/2008,2.77,2.27
AL,07/01/2008,2.77,2.27
AL,07/02/2008,2.74,2.29
AL,07/04/2008,2.74,2.24
AL,07/05/2008,2.68,2.25
AL,08/01/2008,2.76,2.26
AL,08/04/2008,2.76,2.26
