estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/08/2018,4.96,4.28
AC,01/10/2018,5.28,4.51
AC,01/11/2018,5.29,4.58
AC,02/10/2018,5.7,4.76
AC,03/07/2018,5.42,4.49
AC,04/09/2018,5.44,4.47
AC,04/12/2018,5.07,4.13
AC,05/07/2018,4.95,4.29
AC,05/11/2018,5.74,4.75
AC,06/08/2018,5.42,4.49
AC,06/09/2018,5.01,4.3
AC,07/11/2018,5.18,4.47
AC,08/08/2018,4.95,4.27
AC,08/10/2018,5.74,4.76
AC,10/07/2018,5.09,4.38
AC,10/12/2018,4.85,3.94
AC,11/09/2018,5.67,4.51
AC,11/10/2018,5.3,4.53
AC,11/12/2018,5.53,4.42
AC,12/11/2018,5.66,4.75
AC,13/09/2018,5.04,4.38
AC,13/11/2018,5.11,4.37
AC,13/12/2018,4.84,4.07
AC,14/08/2018,5.44,4.31
AC,15/08/2018,4.97,4.24
AC,15/10/2018,5.69,4.83
AC,16/07/2018,5.42,4.52
AC,17/10/2018,5.3,4.52
AC,18/09/2018,5.67,4.54
AC,18/12/2018,5.33,4.38
AC,19/07/2018,4.97,4.31
AC,19/12/2018,4.69,4.16
AC,20/09/2018,5.06,4.41
AC,20/12/2018,4.79,4.03
AC,21/08/2018,5.44,4.39
AC,22/08/2018,5.46,NA
AC,22/10/2018,5.69,4.83
AC,22/11/2018,5.15,4.3
AC,23/07/2018,5.42,4.49
AC,23/08/2018,4.97,4.23
AC,24/07/2018,5.4,4.56
AC,25/09/2018,5.7,4.7
AC,25/10/2018,5.29,4.57
AC,26/07/2018,4.97,4.29
AC,27/09/2018,5.29,4.49
AC,27/12/2018,4.91,4.13
AC,28/08/2018,5.44,4.39
AC,28/11/2018,5.55,4.47
AC,29/10/2018,5.7,4.82
AC,29/11/2018,4.93,4.18
AC,30/07/2018,5.42,4.49
AC,30/08/2018,4.94,4.26
AL,01/08/2018,4.69,4.12
AL,01/10/2018,4.83,4.35
AL,02/07/2018,4.61,NA
AL,02/10/2018,4.78,4.36
AL,03/07/2018,4.7,4.1
AL,03/09/2018,4.6,NA
AL,03/10/2018,5.15,4.37
AL,03/12/2018,4.81,4.02
AL,04/09/2018,4.76,4.23
AL,04/10/2018,4.76,4.38
AL,05/07/2018,4.73,4.15
AL,05/09/2018,4.74,4.24
AL,05/11/2018,4.91,4.28
AL,05/12/2018,4.69,3.95
AL,06/08/2018,4.68,4.15
AL,06/09/2018,4.54,4.12
AL,06/11/2018,4.81,4.24
AL,07/08/2018,4.67,4.13
AL,07/11/2018,4.86,4.19
AL,08/08/2018,4.68,4.12
AL,08/10/2018,4.8,4.36
AL,09/07/2018,4.61,NA
AL,10/07/2018,4.7,4.1
AL,10/09/2018,4.75,4.34
AL,10/10/2018,4.86,4.34
AL,10/12/2018,4.8,4.01
AL,11/10/2018,4.8,4.41
AL,12/09/2018,4.79,4.31
AL,12/11/2018,4.9,4.27
AL,12/12/2018,4.74,3.94
AL,13/11/2018,4.74,4.17
AL,13/12/2018,4.63,3.96
AL,14/08/2018,4.68,4.16
AL,15/08/2018,4.67,4.08
AL,15/10/2018,4.85,4.38
AL,16/07/2018,4.65,4.16
AL,17/07/2018,4.68,4.06
AL,17/09/2018,4.76,4.3
AL,17/10/2018,4.94,4.33
AL,17/12/2018,4.62,4.01
AL,18/07/2018,4.74,4.15
AL,18/09/2018,4.75,4.23
AL,18/10/2018,4.8,4.41
AL,18/12/2018,4.82,3.98
AL,19/09/2018,4.79,4.29
AL,19/11/2018,4.76,4.13
AL,19/12/2018,4.63,4.05
AL,20/08/2018,4.6,4.1
AL,20/11/2018,4.71,4.07
AL,21/08/2018,4.69,4.16
AL,21/11/2018,4.76,4.08
AL,22/08/2018,4.68,4.12
AL,22/10/2018,4.87,4.32
AL,22/11/2018,4.99,4.12
AL,23/07/2018,4.66,4.13
AL,23/11/2018,4.8,4.08
AL,24/07/2018,4.69,4.2
AL,24/09/2018,4.78,4.36
AL,24/10/2018,4.92,4.38
AL,25/07/2018,4.73,4.11
AL,26/09/2018,4.91,4.39
AL,26/11/2018,4.72,4.07
AL,26/12/2018,4.61,4
AL,27/08/2018,4.6,NA
AL,27/09/2018,4.76,4.38
AL,27/11/2018,4.73,4.07
AL,27/12/2018,4.64,4.01
AL,28/08/2018,4.63,4.16
AL,28/11/2018,4.99,4.12
AL,29/08/2018,4.72,4.2
AL,29/11/2018,4.76,4.05
AL,30/07/2018,4.7,4.13
AL,30/08/2018,4.54,4.12
AL,30/10/2018,4.86,4.29
AL,31/10/2018,4.93,4.38
AM,01/08/2018,4.69,3.88
AM,01/10/2018,5.1,4.16
AM,01/11/2018,4.98,4.11
