estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/07/2015,3.93,3.22
AC,01/12/2015,4.08,NA
AC,02/07/2015,3.76,3.17
AC,02/09/2015,3.75,3.15
AC,02/12/2015,4.06,3.46
AC,03/08/2015,3.97,3.33
AC,03/11/2015,4.44,3.6
AC,04/11/2015,4.07,NA
AC,05/08/2015,3.81,3.17
AC,05/10/2015,4.37,3.49
AC,05/11/2015,4.06,3.39
AC,06/07/2015,3.97,3.34
AC,07/07/2015,3.93,3.21
AC,07/10/2015,3.85,3.21
AC,07/12/2015,4.32,3.65
AC,08/07/2015,3.77,3.18
AC,08/09/2015,3.86,3.21
AC,09/12/2015,4.09,3.48
AC,10/08/2015,3.86,3.21
AC,10/11/2015,4.42,3.6
AC,11/08/2015,3.91,3.15
AC,12/10/2015,4.37,3.49
AC,12/11/2015,4.07,3.43
AC,13/07/2015,4.06,3.36
AC,13/10/2015,4.39,NA
AC,14/07/2015,3.78,3.17
AC,14/12/2015,4.32,3.65
AC,15/07/2015,3.99,NA
AC,15/09/2015,4.07,3.39
AC,15/10/2015,3.95,3.31
AC,16/09/2015,3.76,3.15
AC,16/11/2015,4.32,3.57
AC,16/12/2015,4.04,3.5
AC,19/10/2015,4.39,3.56
AC,19/11/2015,4.07,3.43
AC,20/07/2015,4.06,3.36
AC,20/10/2015,4.39,3.5
AC,21/07/2015,3.87,3.19
AC,21/09/2015,4.04,3.28
AC,21/10/2015,3.98,3.35
AC,22/07/2015,3.8,3.16
AC,22/09/2015,3.76,3.14
AC,22/12/2015,4.14,3.5
AC,23/09/2015,3.77,NA
AC,23/11/2015,4.32,3.57
AC,23/12/2015,3.96,3.51
AC,24/08/2015,4.07,3.39
AC,24/09/2015,3.73,3.16
AC,25/11/2015,4.04,3.45
AC,26/08/2015,3.74,3.16
AC,26/10/2015,4.42,3.56
AC,26/11/2015,4.1,NA
AC,27/07/2015,3.97,3.33
AC,27/10/2015,4.08,3.37
AC,28/09/2015,4.06,3.39
AC,28/10/2015,4.03,3.41
AC,29/07/2015,3.81,3.16
AC,29/09/2015,4.07,NA
AC,29/12/2015,4.14,3.5
AC,30/09/2015,3.75,3.18
AC,30/11/2015,4.32,3.62
AC,30/12/2015,3.99,3.51
AC,31/08/2015,4.07,3.39
AL,01/07/2015,3.39,2.88
AL,01/12/2015,3.76,3.2
AL,02/07/2015,3.25,NA
AL,02/11/2015,3.7,NA
AL,03/08/2015,3.37,2.85
AL,03/11/2015,3.55,3.02
AL,04/08/2015,3.32,2.91
AL,04/11/2015,3.67,3
AL,05/08/2015,3.36,2.83
AL,05/10/2015,3.38,2.86
AL,06/07/2015,3.35,2.82
AL,06/08/2015,3.37,NA
AL,06/10/2015,3.47,2.86
AL,07/07/2015,3.37,2.83
AL,07/10/2015,3.37,2.86
AL,07/12/2015,3.79,3.22
AL,08/07/2015,3.38,2.87
AL,08/09/2015,3.37,2.86
AL,08/12/2015,3.77,3.27
AL,09/09/2015,3.37,2.83
AL,09/12/2015,3.74,3.21
AL,10/08/2015,3.37,2.86
AL,10/11/2015,3.59,3.05
AL,10/12/2015,3.6,NA
AL,11/08/2015,3.36,2.86
AL,12/11/2015,3.68,2.96
AL,13/07/2015,3.34,2.82
AL,13/10/2015,3.53,2.91
AL,14/07/2015,3.41,2.82
AL,14/09/2015,3.34,2.85
AL,14/10/2015,3.55,NA
AL,14/12/2015,3.79,3.21
AL,15/07/2015,3.35,2.82
AL,15/09/2015,3.33,2.8
AL,15/12/2015,3.78,3.27
AL,16/09/2015,3.37,2.83
AL,16/11/2015,3.56,3.04
AL,16/12/2015,3.75,3.21
AL,17/11/2015,3.67,3.08
AL,17/12/2015,3.6,NA
AL,19/10/2015,3.56,3.02
AL,19/11/2015,3.6,NA
AL,20/07/2015,3.27,2.81
AL,20/10/2015,3.48,3.04
AL,21/07/2015,3.39,2.85
AL,21/09/2015,3.35,2.88
AL,21/10/2015,3.59,3
AL,21/12/2015,3.8,3.23
