estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2018,4.7,4.13
AC,02/01/2018,4.98,4.19
AC,03/04/2018,4.95,4.24
AC,04/01/2018,4.77,4.1
AC,04/04/2018,4.77,4.09
AC,04/05/2018,4.87,4.1
AC,05/02/2018,5.15,4.26
AC,05/03/2018,5,4.2
AC,05/06/2018,5.09,4.4
AC,06/02/2018,4.95,4.23
AC,06/06/2018,4.97,4.29
AC,07/02/2018,4.72,4.05
AC,07/03/2018,4.76,4.05
AC,07/05/2018,4.96,4.21
AC,08/02/2018,4.63,4.15
AC,09/01/2018,4.98,4.2
AC,09/04/2018,4.93,4.2
AC,09/05/2018,4.87,4.09
AC,11/01/2018,4.73,4.12
AC,12/03/2018,4.98,4.15
AC,12/04/2018,4.77,4.1
AC,12/06/2018,5.08,4.35
AC,13/03/2018,4.78,4.01
AC,14/02/2018,4.78,3.98
AC,14/03/2018,4.74,4.14
AC,14/05/2018,4.96,4.22
AC,15/01/2018,4.99,4.25
AC,15/02/2018,4.72,4.11
AC,15/03/2018,4.72,4.08
AC,16/04/2018,4.96,4.22
AC,16/05/2018,4.85,4.13
AC,17/05/2018,4.87,4.16
AC,18/01/2018,4.69,4.14
AC,18/04/2018,4.76,4.13
AC,18/06/2018,5.4,4.47
AC,19/03/2018,5,4.14
AC,19/04/2018,4.76,4.1
AC,19/06/2018,4.99,4.3
AC,20/03/2018,4.9,4.21
AC,21/02/2018,5,4.16
AC,21/03/2018,4.78,4.05
AC,21/05/2018,5.39,4.39
AC,22/01/2018,4.99,4.25
AC,22/02/2018,4.76,4.05
AC,23/05/2018,5.21,4.47
AC,24/01/2018,4.67,4.16
AC,24/04/2018,4.95,4.21
AC,25/04/2018,4.74,4.12
AC,25/05/2018,5,4.23
AC,25/06/2018,5.4,4.46
AC,26/02/2018,5,4.2
AC,26/04/2018,4.78,4.12
AC,26/06/2018,5.46,4.42
AC,27/02/2018,4.77,4.07
AC,27/03/2018,4.95,4.24
AC,27/06/2018,4.98,4.27
AC,28/03/2018,4.78,4.04
AC,28/05/2018,5.4,4.45
AC,29/01/2018,5.15,4.25
AC,30/01/2018,4.92,4.23
AC,30/04/2018,4.95,4.2
AC,30/05/2018,4.97,4.2
AC,31/01/2018,5.11,NA
AL,02/01/2018,4.15,3.69
AL,02/05/2018,4.31,3.9
AL,03/01/2018,4.22,NA
AL,03/04/2018,4.32,3.77
AL,03/05/2018,4.26,3.86
AL,04/01/2018,4.22,3.66
AL,04/04/2018,4.36,3.84
AL,04/06/2018,4.69,4.12
AL,05/06/2018,4.63,4.15
AL,06/02/2018,4.3,3.74
AL,06/03/2018,4.21,3.73
AL,06/06/2018,4.72,4.09
AL,07/03/2018,4.3,3.74
AL,07/05/2018,4.22,3.88
AL,08/05/2018,4.24,3.87
AL,09/01/2018,4.23,3.69
AL,10/01/2018,4.22,3.66
AL,10/04/2018,4.32,3.81
AL,10/05/2018,4.31,3.9
AL,11/04/2018,4.33,3.84
AL,11/06/2018,4.66,4.11
AL,12/02/2018,4.23,3.75
AL,12/06/2018,4.63,4.15
AL,13/03/2018,4.27,3.79
AL,13/06/2018,4.73,4.06
AL,14/02/2018,4.23,3.8
AL,14/03/2018,4.27,3.71
AL,15/01/2018,4.26,3.66
AL,15/02/2018,4.38,3.82
AL,15/03/2018,4.27,3.79
