estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/03/2010,3.32,NA
AC,01/04/2010,2.92,2.41
AC,01/06/2010,3.24,2.4
AC,02/02/2010,3.31,NA
AC,03/02/2010,2.98,2.45
AC,03/03/2010,3.03,2.44
AC,03/05/2010,3.32,NA
AC,05/01/2010,3.16,2.37
AC,05/04/2010,3.32,NA
AC,05/05/2010,3,2.43
AC,06/01/2010,2.94,2.42
AC,06/04/2010,3,2.4
AC,07/04/2010,2.97,2.4
AC,07/06/2010,3.33,NA
AC,08/02/2010,3.31,NA
AC,08/03/2010,3.32,NA
AC,09/02/2010,2.95,2.43
AC,09/03/2010,2.94,2.49
AC,09/06/2010,2.99,2.44
AC,10/02/2010,3.03,2.42
AC,10/03/2010,3.02,2.44
AC,10/05/2010,3.31,NA
AC,11/01/2010,3.25,NA
AC,11/05/2010,3.12,2.41
AC,12/01/2010,2.95,2.44
AC,12/04/2010,3.32,NA
AC,12/05/2010,2.92,2.43
AC,13/01/2010,3.05,2.47
AC,13/04/2010,3,2.39
AC,14/06/2010,3.22,2.4
AC,15/06/2010,3.06,2.44
AC,16/02/2010,3.31,NA
AC,16/03/2010,3.23,2.44
AC,16/06/2010,2.91,2.44
AC,17/03/2010,2.99,2.4
AC,17/05/2010,3.31,NA
AC,18/01/2010,3.04,2.4
AC,18/02/2010,2.98,2.44
AC,18/05/2010,2.99,2.43
AC,19/01/2010,2.88,2.39
AC,19/02/2010,3.11,2.45
AC,19/04/2010,3.32,NA
AC,20/01/2010,2.97,2.4
AC,20/04/2010,2.92,2.42
AC,21/06/2010,3.31,NA
AC,22/03/2010,3.32,NA
AC,22/04/2010,3.11,2.41
AC,23/02/2010,3.3,NA
AC,23/03/2010,3.11,2.41
AC,23/06/2010,3.03,2.43
AC,24/02/2010,2.98,2.44
AC,24/03/2010,2.93,2.44
AC,24/05/2010,3.16,2.47
AC,24/06/2010,2.92,2.43
AC,25/05/2010,2.91,2.45
AC,26/04/2010,3.23,2.4
AC,26/05/2010,3.1,NA
AC,27/01/2010,2.98,2.42
AC,27/04/2010,3.16,2.44
AC,27/05/2010,2.91,2.42
AC,28/04/2010,2.91,2.4
AC,29/03/2010,3.32,NA
AC,29/06/2010,3.31,NA
AC,30/03/2010,3.04,NA
AC,30/06/2010,3,2.43
AC,31/03/2010,3,2.4
AC,31/05/2010,2.95,2.43
AL,01/02/2010,2.73,2.3
AL,01/03/2010,2.72,2.3
AL,01/06/2010,2.7,2.27
AL,02/02/2010,2.68,2.29
AL,03/03/2010,2.74,2.3
AL,03/05/2010,2.71,2.25
AL,04/01/2010,2.75,2.28
AL,05/01/2010,2.7,2.26
AL,05/04/2010,2.73,2.26
AL,05/05/2010,2.66,2.25
AL,06/01/2010,2.67,2.29
AL,07/04/2010,2.73,2.26
AL,07/06/2010,2.73,2.28
AL,08/02/2010,2.74,2.31
AL,08/03/2010,2.73,2.29
AL,08/04/2010,2.75,2.3
AL,08/06/2010,2.67,2.26
AL,09/02/2010,2.7,2.31
AL,09/03/2010,2.73,2.28
AL,10/05/2010,2.71,2.27
AL,11/01/2010,2.73,2.27
AL,11/05/2010,2.68,2.26
AL,12/04/2010,2.72,2.28
AL,12/05/2010,2.69,2.28
AL,13/04/2010,2.72,2.25
AL,14/04/2010,2.66,2.17
AL,14/06/2010,2.72,2.28
