estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2006,2.87,2.37
AC,01/06/2006,2.94,2.43
AC,02/01/2006,2.84,2.36
AC,02/02/2006,3.1,2.54
AC,02/03/2006,2.89,2.37
AC,02/05/2006,3.06,2.53
AC,03/01/2006,2.92,2.4
AC,03/03/2006,3.04,2.49
AC,03/04/2006,3.09,2.44
AC,03/05/2006,3.01,2.43
AC,04/01/2006,2.99,2.37
AC,04/05/2006,2.95,2.43
AC,05/04/2006,2.87,2.42
AC,06/04/2006,3.1,2.54
AC,06/06/2006,2.94,2.44
AC,07/02/2006,2.9,2.4
AC,07/03/2006,2.97,2.39
AC,07/06/2006,3.11,2.37
AC,08/02/2006,2.99,2.41
AC,08/03/2006,2.9,2.38
AC,08/05/2006,3.09,2.5
AC,08/06/2006,3.16,2.68
AC,09/03/2006,3.13,2.53
AC,09/05/2006,3.15,2.59
AC,10/01/2006,2.92,2.39
AC,11/04/2006,3.06,2.44
AC,11/05/2006,2.97,2.44
AC,12/04/2006,2.93,2.43
AC,12/06/2006,2.93,2.43
AC,13/03/2006,2.99,2.4
AC,13/04/2006,3.15,2.58
AC,13/06/2006,2.96,2.44
AC,14/02/2006,3.07,2.35
AC,14/03/2006,2.87,2.39
AC,14/06/2006,2.95,2.43
AC,15/02/2006,2.92,2.39
AC,15/03/2006,3.08,2.53
AC,15/05/2006,3.09,2.49
AC,16/03/2006,2.88,NA
AC,16/05/2006,3.19,2.65
AC,16/06/2006,3.14,2.56
AC,17/01/2006,3.11,2.54
AC,17/05/2006,2.94,2.44
AC,18/01/2006,3.03,2.43
AC,18/04/2006,2.96,2.43
AC,19/01/2006,2.83,2.38
AC,19/04/2006,3.16,2.57
AC,19/06/2006,2.99,2.42
AC,20/03/2006,3.05,2.44
AC,20/06/2006,2.98,2.4
AC,21/02/2006,2.86,2.37
AC,21/03/2006,2.88,NA
AC,21/06/2006,3.14,2.68
AC,22/02/2006,2.96,2.4
AC,22/03/2006,2.97,2.45
AC,22/05/2006,3.09,2.5
AC,23/01/2006,2.93,2.4
AC,23/03/2006,3.14,2.54
AC,23/05/2006,2.95,2.44
AC,24/01/2006,2.84,2.35
AC,24/05/2006,2.98,2.42
AC,25/01/2006,2.91,2.42
AC,25/04/2006,3.09,2.48
AC,25/05/2006,3.12,2.63
AC,26/01/2006,3.18,2.49
AC,26/04/2006,3.01,2.47
AC,27/04/2006,3.12,2.37
AC,27/06/2006,3.09,2.51
AC,28/03/2006,3.05,2.42
AC,28/06/2006,2.93,2.43
AC,29/03/2006,2.97,2.46
AC,30/05/2006,3.17,2.42
AC,31/01/2006,3.03,2.41
AC,31/05/2006,3,2.5
AL,01/02/2006,2.72,2.27
AL,01/03/2006,2.75,2.27
AL,01/06/2006,2.84,2.35
AL,02/01/2006,2.72,2.23
AL,02/03/2006,2.71,2.28
AL,03/01/2006,2.64,2.25
AL,03/05/2006,2.76,2.34
AL,04/01/2006,2.74,2.25
AL,04/04/2006,2.76,2.34
AL,04/05/2006,2.81,2.36
AL,05/04/2006,2.84,2.35
AL,05/05/2006,2.77,2.35
AL,06/02/2006,2.62,2.26
AL,06/03/2006,2.81,2.29
AL,07/02/2006,2.68,2.28
AL,07/03/2006,2.71,2.29
AL,07/06/2006,2.76,2.33
AL,08/02/2006,2.74,2.27
AL,08/03/2006,2.78,2.3
AL,08/06/2006,2.81,2.35
AL,09/01/2006,2.68,2.25
AL,09/02/2006,2.64,2.27
AL,09/05/2006,2.76,2.34
AL,09/06/2006,2.75,2.33
AL,10/01/2006,2.72,2.26
AL,10/05/2006,2.81,2.36
AL,11/01/2006,2.73,2.27
AL,11/04/2006,2.81,2.34
AL,11/05/2006,2.85,2.36
AL,12/01/2006,2.75,2.22
AL,12/04/2006,2.8,2.35
AL,12/06/2006,2.83,2.36
AL,13/02/2006,2.65,2.23
AL,13/03/2006,2.81,2.32
AL,13/04/2006,2.85,2.33
AL,13/06/2006,2.84,2.35
AL,14/02/2006,2.71,2.27
AL,14/03/2006,2.73,2.29
AL,14/06/2006,2.81,2.34
AL,15/02/2006,2.75,2.28
AL,15/03/2006,2.81,2.31
AL,16/01/2006,2.74,2.26
AL,16/05/2006,2.76,2.34
AL,16/06/2006,2.77,2.34
AL,17/01/2006,2.67,2.28
AL,17/05/2006,2.84,2.36
AL,18/01/2006,2.67,2.25
AL,18/04/2006,2.84,2.36
AL,18/05/2006,2.75,2.36
AL,19/01/2006,2.74,2.27
AL,19/04/2006,2.77,2.35
AL,19/06/2006,2.84,2.35
AL,20/02/2006,2.7,2.25
AL,20/03/2006,2.81,2.32
AL,20/06/2006,2.81,2.34
AL,21/02/2006,2.68,2.27
AL,21/03/2006,2.82,2.33
AL,21/06/2006,2.78,2.34
AL,22/02/2006,2.72,2.28
AL,22/03/2006,2.78,2.33
