estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/06/2020,4.88,3.8
AC,02/01/2020,4.91,NA
AC,02/03/2020,4.92,4.34
AC,02/04/2020,4.85,4.06
AC,02/06/2020,4.31,NA
AC,03/01/2020,5.06,4.27
AC,03/02/2020,5.23,4.31
AC,03/03/2020,4.93,4.28
AC,04/02/2020,5.46,NA
AC,05/02/2020,4.94,NA
AC,05/03/2020,5.04,4.51
AC,05/05/2020,4.18,NA
AC,06/04/2020,4.95,4.06
AC,06/05/2020,4.81,3.8
AC,07/01/2020,4.92,4.31
AC,07/04/2020,4.59,NA
AC,08/01/2020,4.9,NA
AC,08/04/2020,4.86,NA
AC,08/06/2020,4.66,3.8
AC,09/01/2020,5.45,4.27
AC,09/06/2020,4.32,NA
AC,10/03/2020,4.95,4.51
AC,11/02/2020,4.94,NA
AC,11/03/2020,4.93,NA
AC,12/02/2020,4.98,4.3
AC,12/05/2020,4.27,NA
AC,13/01/2020,5.5,4.28
AC,13/04/2020,4.95,4.06
AC,13/05/2020,4.41,3.8
AC,14/01/2020,4.94,NA
AC,14/04/2020,4.6,NA
AC,15/01/2020,4.95,NA
AC,15/04/2020,4.86,NA
AC,15/06/2020,4.44,NA
AC,16/06/2020,4.67,3.95
AC,17/03/2020,4.93,4.26
AC,18/02/2020,5,NA
AC,18/03/2020,4.86,NA
AC,18/05/2020,4.24,NA
AC,19/02/2020,4.98,4.3
AC,20/01/2020,5.22,4.31
AC,20/04/2020,5.24,NA
AC,20/05/2020,4.81,3.8
AC,21/01/2020,4.95,NA
AC,21/04/2020,4.88,3.99
AC,22/01/2020,4.95,NA
AC,22/04/2020,4.45,NA
AC,22/06/2020,4.6,NA
AC,23/01/2020,4.95,NA
AC,23/03/2020,4.98,4.51
AC,23/06/2020,4.79,3.95
AC,24/03/2020,4.81,NA
AC,25/05/2020,4.73,NA
AC,26/02/2020,4.94,NA
AC,26/05/2020,4.31,NA
AC,27/01/2020,5.22,4.31
AC,27/02/2020,5,4.51
AC,27/04/2020,5.24,NA
AC,27/05/2020,4.73,3.8
AC,28/01/2020,4.94,NA
AC,28/04/2020,4.46,3.99
AC,29/01/2020,4.94,NA
AC,29/06/2020,4.95,3.95
AC,30/03/2020,4.95,NA
AC,30/06/2020,4.68,NA
AC,31/03/2020,4.72,NA
AL,01/04/2020,4.93,4.09
AL,01/06/2020,3.89,3.42
AL,02/01/2020,4.7,4.23
AL,02/03/2020,4.58,4.15
AL,02/06/2020,4.09,3.56
AL,03/02/2020,4.52,4.2
AL,03/03/2020,4.48,4.13
AL,04/02/2020,4.73,4.21
AL,04/03/2020,4.62,4.14
AL,05/03/2020,4.79,4.14
AL,05/05/2020,3.93,3.46
