estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/11/2004,2.57,2.07
AC,01/12/2004,2.63,2.13
AC,02/08/2004,2.46,1.92
AC,03/08/2004,2.48,1.98
AC,03/11/2004,2.7,2
AC,04/08/2004,2.45,1.9
AC,04/10/2004,2.64,1.98
AC,04/11/2004,3.1,NA
AC,05/07/2004,2.51,1.98
AC,05/10/2004,2.57,2.06
AC,05/11/2004,2.45,2.02
AC,06/07/2004,2.51,1.87
AC,06/09/2004,2.47,1.97
AC,06/10/2004,2.4,1.97
AC,06/12/2004,2.69,2.12
AC,07/07/2004,2.42,1.9
AC,07/09/2004,2.4,1.96
AC,07/12/2004,2.7,2.21
AC,08/09/2004,2.65,2.04
AC,08/11/2004,2.5,2.05
AC,08/12/2004,2.69,2.17
AC,09/08/2004,2.38,NA
AC,09/09/2004,2.44,NA
AC,09/11/2004,2.65,2.08
AC,10/08/2004,2.46,1.93
AC,10/11/2004,2.47,2.02
AC,11/08/2004,2.5,1.93
AC,11/10/2004,2.72,2.06
AC,12/07/2004,2.51,1.97
AC,12/10/2004,2.41,1.97
AC,13/07/2004,2.42,1.91
AC,13/09/2004,2.5,1.98
AC,13/10/2004,2.48,2
AC,13/12/2004,2.69,2.19
AC,14/07/2004,2.45,1.9
AC,14/09/2004,2.41,1.97
AC,14/12/2004,2.67,2.14
AC,15/07/2004,2.5,1.9
AC,15/09/2004,2.66,2.04
AC,15/12/2004,3.1,NA
AC,16/08/2004,2.48,2.01
AC,16/11/2004,2.54,2.04
AC,17/08/2004,2.42,1.95
AC,18/08/2004,3,NA
AC,18/10/2004,2.57,2
AC,18/11/2004,2.64,2.13
AC,19/07/2004,2.49,1.95
AC,19/10/2004,2.51,1.98
AC,20/07/2004,2.36,1.9
AC,20/09/2004,2.41,1.96
AC,20/10/2004,2.59,2.05
AC,20/12/2004,2.71,2.22
AC,21/07/2004,2.67,1.92
AC,21/09/2004,2.67,2.05
AC,21/12/2004,2.68,2.14
AC,22/07/2004,2.4,NA
AC,22/09/2004,2.5,1.98
AC,22/11/2004,3.1,NA
AC,23/08/2004,2.44,2.03
AC,23/11/2004,2.55,2.07
AC,24/08/2004,2.48,1.96
AC,25/10/2004,2.45,2
AC,25/11/2004,2.5,2.04
AC,26/07/2004,2.5,1.96
AC,26/08/2004,2.51,2.02
AC,26/10/2004,2.35,2.02
AC,27/07/2004,3,NA
AC,27/09/2004,2.5,2.04
AC,27/10/2004,2.47,2
AC,27/12/2004,2.69,2.18
AC,28/07/2004,2.36,1.9
AC,28/09/2004,2.46,1.98
AC,28/10/2004,2.63,2.1
AC,29/09/2004,2.76,1.95
AC,29/11/2004,2.88,NA
AC,30/08/2004,2.48,1.95
AC,30/11/2004,2.68,2.2
AC,31/08/2004,2.49,2.03
AL,01/09/2004,2.24,1.87
AL,01/11/2004,2.24,1.89
AL,01/12/2004,2.39,1.95
AL,02/08/2004,2.21,1.85
AL,03/08/2004,2.24,1.85
AL,03/11/2004,2.31,1.89
AL,04/08/2004,2.25,1.85
AL,04/10/2004,2.25,1.87
AL,05/10/2004,2.21,1.86
AL,06/07/2004,2.24,1.84
AL,06/09/2004,2.22,1.86
AL,06/10/2004,2.17,1.87
AL,06/12/2004,2.36,1.97
AL,07/07/2004,2.23,1.82
AL,07/12/2004,2.33,1.95
AL,08/07/2004,2.24,2.03
AL,08/09/2004,2.25,1.86
AL,08/11/2004,2.25,1.9
AL,08/12/2004,2.48,1.98
AL,09/08/2004,2.17,1.86
AL,09/09/2004,2.18,1.88
AL,09/11/2004,2.25,1.91
AL,09/12/2004,2.48,1.99
