estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,02/01/2007,2.94,2.43
AC,02/04/2007,3.16,2.52
AC,03/01/2007,3.13,2.44
AC,03/04/2007,3,2.4
AC,03/05/2007,3.07,2.46
AC,04/01/2007,2.93,2.43
AC,04/04/2007,2.98,2.36
AC,04/05/2007,2.98,2.41
AC,04/06/2007,3.1,2.52
AC,05/02/2007,3,2.41
AC,05/03/2007,3.2,2.39
AC,05/06/2007,3.17,2.55
AC,06/02/2007,3.01,2.48
AC,06/03/2007,2.94,2.41
AC,06/06/2007,2.99,2.43
AC,07/02/2007,2.91,2.39
AC,07/03/2007,2.95,2.5
AC,07/05/2007,3.03,2.42
AC,08/01/2007,2.99,2.44
AC,08/03/2007,2.92,2.31
AC,08/05/2007,3.13,2.53
AC,08/06/2007,2.91,2.39
AC,09/01/2007,2.98,2.41
AC,09/04/2007,3.06,2.42
AC,09/05/2007,2.96,2.41
AC,10/01/2007,3.01,2.45
AC,10/04/2007,2.96,2.41
AC,11/04/2007,2.99,2.42
AC,11/06/2007,3.21,2.51
AC,12/02/2007,2.96,2.45
AC,12/03/2007,3.04,2.41
AC,12/04/2007,2.91,2.32
AC,12/06/2007,3.17,2.55
AC,13/02/2007,2.97,2.43
AC,13/03/2007,2.95,2.42
AC,13/06/2007,3.03,2.42
AC,14/02/2007,2.93,2.43
AC,14/03/2007,2.94,2.36
AC,14/05/2007,3.17,2.55
AC,14/06/2007,2.91,2.4
AC,15/01/2007,3.08,2.43
AC,15/02/2007,3.17,2.32
AC,15/03/2007,2.92,2.31
AC,15/05/2007,2.94,2.42
AC,16/01/2007,2.94,2.43
AC,16/04/2007,2.97,2.42
AC,16/05/2007,3.05,2.5
AC,17/01/2007,3.02,2.5
AC,17/04/2007,2.99,2.4
AC,17/05/2007,3.14,2.4
AC,18/04/2007,3.01,2.46
AC,18/06/2007,3,2.4
AC,19/02/2007,2.99,2.59
AC,19/03/2007,3.13,2.4
AC,19/04/2007,3.17,2.37
AC,19/06/2007,3.17,2.52
AC,20/03/2007,3.01,2.42
AC,20/06/2007,2.96,2.41
AC,21/02/2007,3,2.51
AC,21/03/2007,2.97,2.42
AC,21/05/2007,3.21,2.52
AC,22/01/2007,3.12,2.47
AC,22/02/2007,2.91,2.36
AC,22/03/2007,2.92,2.31
AC,22/05/2007,3.09,2.48
AC,23/01/2007,2.94,2.42
AC,23/02/2007,3.11,2.39
AC,23/04/2007,3.05,2.47
AC,23/05/2007,2.91,2.4
AC,24/01/2007,2.92,2.4
AC,24/04/2007,2.94,2.41
AC,25/01/2007,2.92,2.4
AC,25/04/2007,3.11,2.42
AC,25/06/2007,3.04,2.41
AC,26/02/2007,3.04,2.5
AC,26/03/2007,3.02,2.39
AC,26/06/2007,3.18,2.53
AC,27/02/2007,2.98,2.44
AC,27/03/2007,2.98,2.41
AC,27/06/2007,2.87,2.36
AC,28/02/2007,2.91,2.39
AC,28/03/2007,3.11,2.51
AC,28/05/2007,3.13,2.53
AC,29/01/2007,3.02,2.45
AC,29/03/2007,3,NA
AC,29/05/2007,3.17,2.55
AC,30/01/2007,2.9,2.39
AC,30/05/2007,2.97,2.42
AC,31/01/2007,2.99,2.47
AL,02/01/2007,2.8,2.28
AL,03/01/2007,2.8,2.28
AL,03/04/2007,2.8,2.28
AL,03/05/2007,2.8,2.29
AL,04/01/2007,2.63,2.35
AL,04/04/2007,2.77,2.28
AL,04/05/2007,2.8,2.28
AL,04/06/2007,2.81,2.3
AL,05/02/2007,2.83,2.29
AL,05/06/2007,2.79,2.29
AL,06/02/2007,2.8,2.29
AL,06/03/2007,2.78,2.29
AL,06/06/2007,2.83,2.3
AL,07/02/2007,2.8,2.29
AL,07/03/2007,2.81,2.29
AL,07/05/2007,2.84,2.31
AL,08/01/2007,2.84,2.29
AL,08/05/2007,2.79,2.3
AL,09/01/2007,2.75,2.3
AL,09/04/2007,2.83,2.29
AL,09/05/2007,2.79,2.29
AL,10/01/2007,2.77,2.29
AL,10/04/2007,2.78,2.28
AL,11/04/2007,2.8,2.27
AL,11/06/2007,2.82,2.3
AL,12/02/2007,2.8,2.29
AL,12/06/2007,2.81,2.28
AL,13/02/2007,2.81,2.29
AL,13/03/2007,2.8,2.28
AL,13/06/2007,2.76,2.28
AL,14/02/2007,2.77,2.25
AL,14/03/2007,2.76,2.27
AL,14/05/2007,2.78,2.31
AL,15/02/2007,2.85,2.29
AL,15/03/2007,2.85,2.21
AL,15/05/2007,2.81,2.3
AL,16/01/2007,2.8,2.29
AL,16/05/2007,2.82,2.29
AL,17/01/2007,2.8,2.28
AL,17/04/2007,2.8,2.28
AL,18/04/2007,2.79,2.28
AL,18/06/2007,2.81,2.28
AL,19/02/2007,2.75,2.32
AL,19/06/2007,2.79,2.28
AL,20/03/2007,2.8,2.28
AL,20/06/2007,2.82,2.27
AL,21/02/2007,2.76,2.28
AL,21/03/2007,2.77,2.27
AL,21/05/2007,2.77,2.32
AL,22/02/2007,2.84,2.29
AL,22/05/2007,2.8,2.3
AL,23/01/2007,2.74,2.28
AL,23/02/2007,2.85,2.29
AL,23/04/2007,2.77,2.3
AL,23/05/2007,2.81,2.29
AL,24/01/2007,2.84,2.29
AL,24/04/2007,2.8,2.28
AL,25/01/2007,2.81,2.28
AL,25/04/2007,2.81,2.28
AL,25/06/2007,2.78,2.29
AL,26/06/2007,2.8,2.28
AL,27/02/2007,2.8,2.29
AL,27/03/2007,2.74,2.28
AL,27/06/2007,2.81,2.27
AL,28/02/2007,2.78,2.31
AL,28/03/2007,2.83,2.29
AL,28/05/2007,2.77,2.32
AL,29/01/2007,2.84,2.29
AL,29/03/2007,2.85,2.21
AL,29/05/2007,2.8,2.3
AL,30/01/2007,2.74,2.28
AL,30/05/2007,2.77,2.26
AL,31/01/2007,2.82,2.29
AM,02/01/2007,2.51,2.18
AM,02/04/2007,2.6,2.19
AM,03/01/2007,2.4,2.19
AM,03/04/2007,2.5,2.18
AM,03/05/2007,2.51,2.2
AM,04/04/2007,2.52,2.18
AM,04/05/2007,2.59,2.2
AM,04/06/2007,2.59,2.2
AM,05/02/2007,2.6,2.18
AM,05/03/2007,2.59,2.2
AM,05/06/2007,2.53,2.19
AM,06/02/2007,2.51,2.16
AM,06/03/2007,2.51,2.19
AM,06/06/2007,2.51,2.19
AM,07/02/2007,2.52,2.18
AM,07/03/2007,2.51,2.18
AM,07/05/2007,2.59,2.2
AM,08/01/2007,2.47,2.18
AM,08/05/2007,2.51,2.2
AM,09/01/2007,2.26,2.11
AM,09/04/2007,2.58,2.2
AM,09/05/2007,2.52,2.2
AM,10/01/2007,2.65,2.13
AM,10/04/2007,2.51,2.2
AM,11/04/2007,2.52,2.18
AM,11/06/2007,2.54,2.18
AM,12/02/2007,2.59,2.18
AM,12/03/2007,2.61,2.2
AM,12/04/2007,2.55,2.19
AM,12/06/2007,2.59,2.2
AM,13/02/2007,2.51,2.16
AM,13/03/2007,2.52,2.18
AM,13/04/2007,2.45,NA
AM,13/06/2007,2.52,2.18
AM,14/02/2007,2.51,2.17
AM,14/03/2007,2.5,2.19
AM,14/05/2007,2.6,2.2
AM,15/01/2007,2.51,2.17
