estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2012,3.32,NA
AC,02/02/2012,3.26,2.63
AC,02/05/2012,3.08,2.64
AC,03/01/2012,3.2,NA
AC,03/05/2012,3.3,2.7
AC,04/01/2012,3.31,2.65
AC,04/04/2012,3.44,2.81
AC,04/05/2012,3.3,NA
AC,04/06/2012,3.2,NA
AC,05/01/2012,3.08,2.62
AC,05/04/2012,3.16,2.65
AC,05/06/2012,3.36,2.8
AC,06/06/2012,3.15,2.61
AC,07/03/2012,3.27,2.78
AC,07/05/2012,3.09,2.62
AC,08/02/2012,3.32,NA
AC,08/03/2012,3.11,2.62
AC,08/05/2012,3.33,2.81
AC,09/02/2012,3.16,2.62
AC,09/05/2012,3.16,2.61
AC,10/01/2012,3.21,NA
AC,10/05/2012,3.26,NA
AC,11/01/2012,3.31,2.65
AC,11/04/2012,3.23,2.68
AC,11/06/2012,3.22,2.66
AC,12/01/2012,3.09,2.63
AC,12/04/2012,3.08,2.58
AC,12/06/2012,3.39,2.8
AC,13/02/2012,3.3,2.63
AC,13/06/2012,3.3,2.61
AC,14/02/2012,3.16,2.69
AC,14/03/2012,3.19,2.65
AC,14/05/2012,3.14,NA
AC,14/06/2012,3.08,2.66
AC,15/02/2012,3.27,NA
AC,15/05/2012,3.43,2.81
AC,16/02/2012,3.1,2.6
AC,16/05/2012,3.25,NA
AC,17/05/2012,3.13,2.62
AC,18/01/2012,3.2,2.61
AC,18/04/2012,3.1,2.47
AC,19/04/2012,3.22,2.67
AC,19/06/2012,3.28,2.65
AC,20/02/2012,3.3,2.63
AC,20/06/2012,3.17,2.66
AC,21/02/2012,3.34,2.8
AC,21/03/2012,3.19,2.72
AC,22/02/2012,3.37,NA
AC,22/05/2012,3.1,NA
AC,23/02/2012,3.08,2.62
AC,23/05/2012,3.29,2.79
AC,24/05/2012,3.08,2.62
AC,25/01/2012,3.3,2.62
AC,25/04/2012,3.29,2.7
AC,26/01/2012,3.08,2.63
AC,26/04/2012,3.07,2.62
AC,26/06/2012,3.27,2.65
AC,27/06/2012,3.35,2.82
AC,28/03/2012,3.37,2.81
AC,28/06/2012,3.08,2.66
AC,29/02/2012,3.19,2.66
AC,29/03/2012,3.15,2.64
AC,30/01/2012,3.08,2.62
AC,30/05/2012,3.32,2.79
AC,31/01/2012,3.04,2.62
AC,31/05/2012,3.08,2.63
AL,01/02/2012,2.79,2.35
AL,02/01/2012,2.82,2.36
AL,02/04/2012,2.73,2.33
AL,02/05/2012,2.78,2.37
AL,03/01/2012,2.77,2.35
AL,03/04/2012,2.78,2.35
AL,04/06/2012,2.78,2.34
AL,05/03/2012,2.79,2.35
AL,05/06/2012,2.76,2.35
AL,06/02/2012,2.8,2.36
