estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/02/2011,2.92,2.44
AC,01/03/2011,3.07,2.56
AC,01/06/2011,3.21,2.63
AC,02/02/2011,3.3,2.48
AC,02/03/2011,3.19,2.44
AC,02/05/2011,3.14,2.65
AC,03/01/2011,2.89,2.44
AC,03/05/2011,3.39,2.67
AC,04/04/2011,3.15,2.58
AC,04/05/2011,3.47,2.75
AC,05/01/2011,3.13,2.52
AC,05/04/2011,3.04,2.52
AC,05/05/2011,3.27,2.52
AC,06/04/2011,3.46,2.75
AC,07/02/2011,3.17,NA
AC,07/06/2011,3.11,2.65
AC,08/02/2011,2.94,2.44
AC,08/06/2011,3.31,2.49
AC,09/02/2011,3.12,2.51
AC,09/03/2011,3.07,2.56
AC,09/05/2011,3.23,2.52
AC,09/06/2011,3.03,2.52
AC,10/03/2011,3.19,2.44
AC,10/05/2011,3.21,2.65
AC,11/01/2011,2.97,2.54
AC,11/05/2011,3.47,NA
AC,12/01/2011,3.28,NA
AC,12/04/2011,3.1,2.57
AC,12/05/2011,3.16,2.49
AC,13/04/2011,3.37,2.73
AC,13/06/2011,3.09,2.63
AC,14/02/2011,3.19,2.47
AC,14/03/2011,3.2,NA
AC,14/06/2011,3.37,2.75
AC,15/02/2011,3.05,2.51
AC,15/03/2011,3.25,2.63
AC,15/06/2011,3.28,2.49
AC,16/02/2011,3.23,NA
AC,16/03/2011,3.07,2.54
AC,16/05/2011,3.24,2.52
AC,16/06/2011,3.03,2.52
AC,17/01/2011,3.26,NA
AC,17/05/2011,3.23,2.74
AC,18/05/2011,3.47,NA
AC,19/01/2011,3.12,2.52
AC,19/04/2011,3.05,2.51
AC,19/05/2011,3.16,2.49
AC,20/01/2011,3.1,2.54
AC,20/04/2011,3.26,2.65
AC,20/06/2011,3.1,2.51
AC,21/02/2011,3.19,2.49
AC,21/03/2011,3.2,NA
AC,21/06/2011,3.2,2.61
AC,22/02/2011,3.05,2.51
AC,22/03/2011,3.08,2.54
AC,23/02/2011,3.26,NA
AC,23/03/2011,3.29,2.59
AC,24/01/2011,3.26,NA
AC,24/05/2011,3.2,NA
AC,25/01/2011,2.99,2.56
AC,25/05/2011,3.25,2.62
AC,26/01/2011,3.32,NA
AC,26/04/2011,3.19,2.65
AC,27/01/2011,3.14,2.44
AC,27/04/2011,3.5,NA
AC,27/06/2011,3.09,2.64
AC,28/03/2011,3.01,2.56
AC,28/04/2011,3.13,2.52
AC,28/06/2011,3.28,2.57
AC,29/03/2011,3.2,NA
AC,29/06/2011,3.1,2.64
AC,30/03/2011,3.46,2.75
AC,31/01/2011,3.04,2.54
AC,31/03/2011,3.5,NA
AC,31/05/2011,3.29,NA
AL,01/02/2011,2.75,2.33
AL,01/03/2011,2.78,2.34
AL,01/06/2011,2.86,2.42
AL,02/02/2011,2.74,2.33
AL,02/05/2011,2.87,2.44
AL,03/01/2011,2.74,2.29
AL,03/05/2011,2.89,NA
AL,04/01/2011,2.79,2.32
AL,04/04/2011,2.81,2.36
AL,05/01/2011,2.79,2.29
AL,05/04/2011,2.79,2.34
AL,05/05/2011,3.01,2.5
AL,06/04/2011,2.83,2.35
AL,07/02/2011,2.73,2.37
AL,07/03/2011,2.88,2.36
AL,07/06/2011,2.88,2.42
AL,08/02/2011,2.75,2.33
AL,08/06/2011,2.88,2.42
AL,09/02/2011,2.8,2.33
AL,09/03/2011,2.78,2.34
AL,09/05/2011,2.88,2.5
AL,10/01/2011,2.85,2.32
AL,10/03/2011,2.84,2.34
AL,10/05/2011,3.03,2.49
AL,11/01/2011,2.76,2.29
AL,11/04/2011,2.81,2.32
AL,12/01/2011,2.71,2.31
AL,12/04/2011,2.79,2.41
AL,13/04/2011,2.9,2.42
AL,14/02/2011,2.79,2.34
AL,14/03/2011,2.72,2.35
AL,14/06/2011,2.86,2.43
AL,15/03/2011,2.8,2.35
AL,15/06/2011,2.8,2.43
AL,16/02/2011,2.69,2.34
AL,16/03/2011,2.84,2.35
AL,16/05/2011,2.88,2.5
AL,16/06/2011,2.85,2.37
AL,17/01/2011,2.72,2.32
AL,17/03/2011,2.81,NA
AL,17/05/2011,2.99,2.52
AL,18/01/2011,2.75,2.33
AL,18/04/2011,2.85,2.32
AL,19/01/2011,2.82,2.33
AL,19/04/2011,2.86,2.41
AL,20/01/2011,2.81,2.33
AL,20/04/2011,2.93,2.43
AL,20/06/2011,2.85,2.39
AL,21/02/2011,2.76,2.33
AL,21/03/2011,2.73,2.35
AL,21/06/2011,2.86,2.35
AL,22/02/2011,2.84,2.34
AL,22/03/2011,2.8,2.35
AL,23/02/2011,2.69,2.34
AL,23/03/2011,2.82,2.37
AL,23/05/2011,2.88,2.46
AL,24/01/2011,2.8,2.33
AL,24/05/2011,2.95,2.46
AL,25/01/2011,2.75,2.33
AL,25/04/2011,2.86,2.44
AL,25/05/2011,2.93,2.45
AL,26/04/2011,2.94,2.45
AL,27/01/2011,2.79,2.33
AL,27/06/2011,2.84,2.39
AL,28/03/2011,2.78,2.37
AL,28/06/2011,2.85,2.39
AL,29/03/2011,2.79,2.36
AL,30/03/2011,2.76,NA
AL,30/05/2011,2.88,2.46
AL,31/01/2011,2.82,2.34
AL,31/03/2011,2.84,2.37
AL,31/05/2011,2.89,2.44
AM,01/02/2011,2.84,2.29
AM,01/03/2011,2.78,2.35
AM,01/06/2011,3.22,2.47
AM,02/03/2011,2.95,2.4
AM,02/05/2011,2.96,2.49
AM,03/01/2011,2.7,2.32
AM,03/03/2011,2.73,2.34
AM,03/05/2011,2.96,2.56
AM,04/01/2011,2.77,2.32
AM,04/04/2011,2.86,2.37
AM,04/05/2011,3.14,2.41
AM,05/01/2011,2.9,2.4
AM,05/04/2011,3.02,2.39
AM,05/05/2011,3.02,2.61
AM,06/01/2011,2.71,2.32
AM,06/04/2011,2.9,2.53
AM,07/02/2011,2.84,2.36
AM,07/03/2011,2.68,2.37
AM,07/04/2011,2.84,2.46
AM,07/06/2011,2.78,2.4
AM,08/02/2011,2.73,2.33
AM,08/03/2011,2.7,2.34
AM,08/06/2011,3.02,2.42
AM,09/02/2011,2.7,2.34
AM,09/03/2011,2.79,2.35
AM,09/06/2011,3.1,NA
AM,10/01/2011,2.69,2.34
AM,10/02/2011,2.7,2.35
AM,10/03/2011,2.95,2.4
AM,10/05/2011,2.95,2.55
AM,11/01/2011,2.69,2.35
AM,11/03/2011,2.84,2.31
AM,11/04/2011,3.15,2.44
AM,11/05/2011,2.97,2.5
AM,12/01/2011,2.87,2.33
AM,12/04/2011,2.86,2.5
AM,12/05/2011,3.14,2.64
AM,14/02/2011,2.9,2.35
AM,14/03/2011,2.74,2.35
AM,14/06/2011,3.06,2.45
AM,15/02/2011,2.69,2.36
AM,15/03/2011,2.83,2.36
AM,15/06/2011,2.65,2.37
AM,16/02/2011,2.69,2.35
AM,16/03/2011,2.71,2.36
AM,16/06/2011,3.1,NA
AM,17/01/2011,2.72,2.35
AM,17/02/2011,2.76,2.38
AM,17/03/2011,2.7,2.34
AM,17/05/2011,3.16,2.55
AM,18/01/2011,2.87,2.33
AM,18/04/2011,3.03,2.47
AM,18/05/2011,2.82,2.51
AM,19/01/2011,2.77,2.37
AM,19/04/2011,3.02,2.49
AM,19/05/2011,3.14,2.64
AM,20/01/2011,2.77,2.35
AM,20/04/2011,2.86,2.5
AM,20/06/2011,3.04,2.54
AM,21/02/2011,2.77,2.35
AM,21/03/2011,2.74,2.35
AM,21/04/2011,2.83,2.49
AM,21/06/2011,2.51,2.33
