estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/08/2012,3.36,2.77
AC,01/11/2012,3.07,2.57
AC,02/10/2012,3.33,NA
AC,03/07/2012,3.34,2.62
AC,03/10/2012,3.17,2.72
AC,04/07/2012,3.28,2.78
AC,04/09/2012,3.28,2.65
AC,04/10/2012,3.2,2.65
AC,04/12/2012,3.29,2.65
AC,05/07/2012,3.13,2.62
AC,05/09/2012,3.36,2.83
AC,05/12/2012,3.26,2.53
AC,06/09/2012,3.08,2.6
AC,06/11/2012,3.36,NA
AC,06/12/2012,3.18,2.65
AC,07/08/2012,3.21,2.66
AC,07/11/2012,3.17,2.71
AC,08/08/2012,3.19,2.64
AC,08/10/2012,3.41,2.57
AC,08/11/2012,3.22,NA
AC,09/08/2012,3.45,NA
AC,09/10/2012,3.16,NA
AC,10/07/2012,3.06,NA
AC,10/09/2012,3.41,NA
AC,10/10/2012,3.18,2.72
AC,11/07/2012,3.38,2.65
AC,11/09/2012,3.18,NA
AC,11/10/2012,3.22,2.65
AC,11/12/2012,3.36,NA
AC,12/07/2012,3.17,2.67
AC,12/09/2012,3.25,2.68
AC,12/12/2012,3.11,2.59
AC,13/07/2012,3.28,2.66
AC,13/08/2012,3.15,2.61
AC,13/09/2012,3.14,2.62
AC,13/11/2012,3.22,2.56
AC,13/12/2012,3.29,2.85
AC,14/08/2012,3.33,2.66
AC,14/11/2012,3.2,2.71
AC,15/08/2012,3.36,2.81
AC,15/10/2012,3.43,2.57
AC,16/08/2012,3.1,2.63
AC,16/10/2012,3.16,NA
AC,17/07/2012,3.36,2.67
AC,17/09/2012,3.42,NA
AC,17/10/2012,3.36,2.83
AC,18/07/2012,3.36,2.8
AC,18/09/2012,3.13,2.64
AC,18/10/2012,3.12,2.59
AC,18/12/2012,3.36,NA
AC,19/07/2012,3.12,2.62
AC,19/09/2012,3.35,2.72
AC,19/12/2012,3.18,2.63
AC,20/08/2012,3.27,2.66
AC,20/09/2012,3.13,2.6
AC,21/08/2012,3.3,2.65
AC,21/11/2012,3.22,2.66
AC,22/08/2012,3.36,2.81
AC,22/11/2012,3.05,NA
AC,23/07/2012,3.08,2.62
AC,23/08/2012,3.09,2.63
AC,23/10/2012,3.28,2.61
AC,24/07/2012,3.36,2.67
AC,24/10/2012,3.4,2.84
AC,25/07/2012,3.4,2.8
AC,25/09/2012,3.15,2.62
AC,25/10/2012,3.08,2.6
AC,26/07/2012,3.2,2.66
AC,26/09/2012,3.36,2.84
AC,26/12/2012,3.31,2.79
AC,27/09/2012,3.2,2.65
AC,27/12/2012,3.07,2.59
AC,28/08/2012,3.22,2.63
AC,28/11/2012,3.21,2.64
AC,29/08/2012,3.34,2.83
AC,29/11/2012,3.06,NA
AC,30/08/2012,3.08,2.6
AC,30/10/2012,3.28,2.61
AC,31/07/2012,3.12,2.63
AC,31/10/2012,3.4,2.84
AL,01/08/2012,2.75,2.36
AL,01/10/2012,2.75,2.36
AL,01/11/2012,2.64,2.38
AL,02/07/2012,2.8,2.35
AL,02/08/2012,2.75,2.36
AL,02/10/2012,2.79,2.37
AL,03/07/2012,2.73,2.34
AL,03/09/2012,2.75,2.36
AL,03/10/2012,2.73,2.38
AL,04/07/2012,2.73,2.36
AL,04/10/2012,2.64,2.36
AL,04/12/2012,2.78,2.36
AL,05/09/2012,2.79,2.38
AL,05/11/2012,2.84,2.38
AL,05/12/2012,2.76,2.36
AL,06/08/2012,2.72,2.34
AL,06/09/2012,2.74,2.36
AL,06/11/2012,2.72,2.37
AL,06/12/2012,2.75,2.36
AL,07/08/2012,2.81,2.37
AL,07/11/2012,2.76,2.36
AL,08/08/2012,2.75,2.35
AL,08/10/2012,2.8,2.36
AL,09/08/2012,2.76,2.34
AL,09/10/2012,2.7,2.35
AL,10/07/2012,2.79,2.35
AL,10/10/2012,2.74,2.38
AL,11/07/2012,2.72,2.34
AL,11/09/2012,2.86,2.39
AL,11/10/2012,2.72,2.37
AL,11/12/2012,2.78,2.36
AL,12/07/2012,2.74,2.35
AL,12/09/2012,2.74,2.36
AL,12/11/2012,2.83,2.38
AL,12/12/2012,2.78,2.37
AL,13/08/2012,2.78,2.35
AL,13/09/2012,2.72,2.36
AL,13/11/2012,2.76,2.36
AL,13/12/2012,2.76,2.36
AL,14/08/2012,2.76,2.38
AL,14/11/2012,2.72,2.36
AL,15/08/2012,2.77,2.36
AL,15/10/2012,2.8,2.36
AL,16/07/2012,2.82,2.37
AL,16/08/2012,2.77,2.35
AL,16/10/2012,2.72,2.35
AL,17/07/2012,2.79,2.34
AL,17/10/2012,2.76,2.36
AL,17/12/2012,2.78,2.36
AL,18/07/2012,2.68,2.29
AL,18/09/2012,2.8,2.38
AL,18/10/2012,2.74,2.38
AL,18/12/2012,2.69,NA
AL,19/07/2012,2.75,2.34
AL,19/09/2012,2.72,2.36
AL,19/11/2012,2.75,2.36
AL,19/12/2012,2.78,2.37
AL,20/08/2012,2.76,2.35
AL,20/09/2012,2.72,2.37
AL,20/11/2012,2.76,2.38
AL,21/08/2012,2.75,2.39
AL,21/11/2012,2.8,2.37
AL,22/08/2012,2.75,2.35
AL,22/10/2012,2.75,2.37
AL,22/11/2012,2.78,2.35
AL,23/07/2012,2.78,2.36
AL,23/08/2012,2.74,2.35
AL,23/10/2012,2.81,2.36
AL,24/07/2012,2.81,2.37
AL,24/09/2012,2.75,2.36
AL,24/10/2012,2.74,2.35
AL,24/12/2012,2.78,2.36
AL,25/07/2012,2.7,2.32
AL,25/09/2012,2.79,2.37
AL,25/10/2012,2.73,2.38
AL,26/07/2012,2.72,2.34
AL,26/09/2012,2.78,2.37
AL,26/11/2012,2.75,2.36
AL,26/12/2012,2.78,2.38
AL,27/08/2012,2.73,2.35
AL,27/09/2012,2.64,2.36
AL,28/08/2012,2.71,2.37
AL,29/08/2012,2.83,2.37
AL,29/10/2012,2.75,2.37
AL,29/11/2012,2.78,2.37
AL,30/07/2012,2.73,2.34
AL,30/08/2012,2.74,2.35
AL,30/10/2012,2.8,2.37
AL,31/07/2012,2.78,2.36
AL,31/10/2012,2.73,2.35
AL,31/12/2012,2.78,2.37
AM,01/08/2012,3.16,2.45
AM,02/07/2012,3.34,NA
AM,02/08/2012,2.89,2.45
AM,02/10/2012,3.06,2.42
AM,03/07/2012,2.92,2.48
AM,03/09/2012,3.03,2.45
AM,03/10/2012,2.89,2.47
AM,04/07/2012,2.95,2.45
AM,04/09/2012,2.97,2.41
AM,04/10/2012,2.98,2.45
AM,04/12/2012,3.01,2.46
AM,05/09/2012,2.91,2.44
AM,05/12/2012,2.88,2.46
AM,06/09/2012,2.98,2.39
AM,06/11/2012,2.97,2.43
AM,06/12/2012,3.08,2.52
AM,07/08/2012,2.91,2.41
AM,07/11/2012,3.01,2.48
AM,08/08/2012,2.95,2.45
AM,08/10/2012,2.93,2.44
AM,08/11/2012,2.87,2.46
AM,09/08/2012,2.93,2.47
AM,09/10/2012,2.9,2.44
AM,10/07/2012,3.23,NA
AM,10/09/2012,2.87,2.4
AM,10/10/2012,2.98,2.46
AM,11/07/2012,2.9,2.45
AM,11/09/2012,2.95,2.41
AM,11/12/2012,3.1,2.45
AM,12/07/2012,3.11,2.43
AM,12/09/2012,2.95,2.44
AM,12/11/2012,2.98,NA
AM,12/12/2012,2.88,2.47
AM,13/08/2012,2.96,2.42
AM,13/09/2012,2.88,2.47
AM,13/11/2012,3.09,2.44
AM,13/12/2012,3.08,2.52
AM,14/08/2012,3.05,2.45
AM,14/11/2012,2.93,2.47
AM,15/08/2012,2.88,2.44
AM,15/10/2012,2.94,2.44
AM,16/07/2012,3.1,2.47
AM,16/08/2012,2.88,2.44
AM,16/10/2012,3.03,2.45
AM,17/07/2012,3.05,2.4
AM,17/09/2012,2.87,2.4
AM,17/10/2012,2.93,2.47
AM,17/12/2012,2.88,2.46
AM,18/07/2012,2.88,2.45
AM,18/09/2012,2.95,2.42
AM,18/10/2012,2.88,2.46
AM,18/12/2012,3.01,2.46
AM,19/09/2012,2.96,2.45
AM,19/12/2012,2.94,2.47
AM,20/08/2012,2.93,2.43
AM,20/11/2012,2.99,2.48
AM,21/08/2012,3.07,2.46
AM,21/11/2012,3,2.46
AM,22/08/2012,2.87,2.43
AM,22/11/2012,2.9,2.47
AM,23/07/2012,3.1,2.47
AM,23/10/2012,2.94,2.46
AM,24/07/2012,3.04,2.4
AM,24/10/2012,2.96,2.46
AM,25/07/2012,2.89,2.45
AM,25/09/2012,3,2.43
AM,26/09/2012,2.9,2.46
AM,26/12/2012,2.95,2.46
AM,27/08/2012,3.29,2.46
AM,27/09/2012,2.98,2.45
AM,27/11/2012,2.97,2.47
AM,28/08/2012,2.95,2.41
AM,28/11/2012,2.92,2.46
AM,29/08/2012,2.92,2.46
AM,29/11/2012,3.08,2.5
AM,30/07/2012,2.87,2.44
AM,30/08/2012,2.89,2.44
AM,30/10/2012,2.96,2.45
AM,31/07/2012,2.93,2.41
AM,31/10/2012,2.94,2.46
AP,01/08/2012,2.8,2.34
AP,02/10/2012,2.85,2.44
AP,03/07/2012,2.86,2.36
AP,03/10/2012,2.74,2.35
AP,04/07/2012,2.68,2.34
AP,04/09/2012,2.81,2.38
AP,04/12/2012,2.88,2.44
AP,05/09/2012,2.6,2.34
AP,05/12/2012,2.68,2.34
AP,06/11/2012,3,2.34
AP,06/12/2012,3.06,NA
AP,07/08/2012,2.67,2.34
AP,07/11/2012,2.68,2.36
AP,08/08/2012,2.81,2.36
AP,08/11/2012,3.06,2.39
AP,09/08/2012,2.63,NA
AP,09/10/2012,2.86,2.37
AP,10/10/2012,2.74,2.36
AP,11/07/2012,2.78,2.35
AP,11/09/2012,3.07,NA
AP,11/12/2012,2.9,2.44
AP,12/09/2012,2.79,2.37
AP,12/12/2012,2.69,2.36
AP,13/09/2012,2.65,2.35
AP,13/11/2012,2.79,2.34
AP,13/12/2012,3.06,NA
AP,14/08/2012,2.98,2.47
AP,14/11/2012,2.84,2.38
AP,15/08/2012,2.66,2.33
AP,16/10/2012,2.89,2.37
AP,17/07/2012,2.87,2.39
AP,17/10/2012,2.73,2.35
AP,17/12/2012,3.06,NA
AP,18/07/2012,2.68,2.34
AP,18/09/2012,3.07,NA
AP,18/12/2012,2.9,2.38
AP,19/09/2012,2.78,2.35
AP,19/12/2012,2.68,2.39
AP,20/09/2012,2.65,2.35
AP,20/11/2012,2.66,2.37
AP,21/08/2012,2.98,2.47
AP,21/11/2012,2.8,2.37
AP,22/08/2012,2.66,2.35
AP,22/10/2012,2.67,2.37
AP,22/11/2012,3.06,2.39
AP,23/10/2012,2.97,2.34
AP,24/07/2012,2.86,2.39
AP,24/10/2012,2.73,2.34
AP,24/12/2012,3.06,NA
AP,25/09/2012,2.85,2.44
AP,26/07/2012,2.68,2.34
AP,26/09/2012,2.73,2.34
AP,26/11/2012,2.69,NA
AP,26/12/2012,2.89,2.38
AP,27/11/2012,2.7,2.37
AP,27/12/2012,2.68,2.39
AP,28/08/2012,2.95,2.53
AP,28/11/2012,2.81,2.39
AP,29/08/2012,2.66,2.35
AP,29/10/2012,2.66,2.37
AP,29/11/2012,3.06,2.39
AP,30/10/2012,2.93,2.34
AP,31/07/2012,2.68,2.34
AP,31/10/2012,2.73,2.35
