estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/08/2006,2.99,2.49
AC,01/11/2006,2.99,2.43
AC,02/08/2006,3.18,2.7
AC,02/10/2006,3.09,2.49
AC,03/07/2006,2.94,2.4
AC,03/10/2006,2.95,2.46
AC,04/07/2006,3.04,2.49
AC,04/09/2006,3.08,2.5
AC,04/10/2006,3.11,2.52
AC,04/12/2006,3.07,2.5
AC,05/09/2006,2.97,2.46
AC,05/12/2006,2.93,2.41
AC,06/07/2006,3.3,2.31
AC,06/09/2006,3.1,2.71
AC,06/11/2006,3.09,2.52
AC,06/12/2006,3.03,2.37
AC,07/08/2006,3.04,2.44
AC,07/11/2006,2.96,2.44
AC,08/08/2006,2.98,2.48
AC,08/11/2006,3.11,2.68
AC,09/08/2006,3.18,2.69
AC,09/10/2006,3.02,2.52
AC,10/07/2006,3.2,2.4
AC,10/10/2006,3,2.47
AC,11/07/2006,3.03,2.43
AC,11/09/2006,3.18,2.69
AC,11/10/2006,3.09,2.47
AC,11/12/2006,2.99,2.42
AC,12/07/2006,3.02,2.52
AC,12/09/2006,3,2.47
AC,12/12/2006,3.06,2.5
AC,13/07/2006,2.93,2.43
AC,13/09/2006,3.05,2.47
AC,13/11/2006,3.03,2.48
AC,13/12/2006,2.91,2.35
AC,14/08/2006,3.04,2.55
AC,14/11/2006,2.98,2.47
AC,15/08/2006,3.01,2.43
AC,16/10/2006,2.95,2.47
AC,17/07/2006,3.08,2.46
AC,17/10/2006,3.13,2.53
AC,18/07/2006,2.96,2.42
AC,18/09/2006,3.1,2.52
AC,18/12/2006,3,2.6
AC,19/07/2006,3.03,2.59
AC,19/09/2006,2.94,2.42
AC,19/12/2006,2.96,2.42
AC,20/07/2006,3.1,2.76
AC,20/09/2006,3.03,2.52
AC,20/11/2006,2.97,2.47
AC,20/12/2006,3.16,2.38
AC,21/08/2006,2.99,2.43
AC,21/11/2006,3.02,2.45
AC,22/08/2006,3.11,2.53
AC,22/11/2006,3.05,2.55
AC,23/08/2006,2.95,2.44
AC,23/10/2006,3.13,2.69
AC,24/07/2006,3.07,2.48
AC,24/10/2006,2.95,2.46
AC,25/07/2006,2.99,2.47
AC,25/09/2006,3.06,2.43
AC,25/10/2006,3.21,2.45
AC,26/07/2006,3.02,2.52
AC,26/09/2006,3.11,2.59
AC,26/12/2006,3.07,2.48
AC,27/07/2006,2.93,NA
AC,27/09/2006,2.94,2.44
AC,27/11/2006,3.06,2.46
AC,27/12/2006,2.93,2.39
AC,28/08/2006,3.15,2.45
AC,28/11/2006,2.97,2.42
AC,29/08/2006,3.13,2.58
AC,30/08/2006,2.96,2.46
AC,30/10/2006,3.04,2.54
AC,31/07/2006,3.05,2.45
AC,31/10/2006,3.01,2.52
AL,01/08/2006,2.79,2.34
AL,01/11/2006,2.77,2.31
AL,02/08/2006,2.79,2.34
AL,02/10/2006,2.84,2.33
AL,03/07/2006,2.83,2.34
AL,03/08/2006,2.8,2.32
AL,03/10/2006,2.82,2.32
AL,04/07/2006,2.76,2.33
AL,04/09/2006,2.84,2.34
AL,04/10/2006,2.77,2.33
AL,04/12/2006,2.86,2.29
AL,05/07/2006,2.8,2.34
AL,05/09/2006,2.82,2.33
AL,05/12/2006,2.81,2.29
AL,06/09/2006,2.76,2.35
AL,06/12/2006,2.78,2.3
AL,07/08/2006,2.82,2.34
AL,07/11/2006,2.83,2.31
AL,08/08/2006,2.81,2.34
AL,08/11/2006,2.76,2.3
AL,09/08/2006,2.79,2.34
AL,09/11/2006,2.77,2.32
AL,10/07/2006,2.77,2.33
AL,10/08/2006,2.77,2.35
AL,10/10/2006,2.81,2.32
AL,11/07/2006,2.82,2.33
AL,11/09/2006,2.84,2.34
AL,11/10/2006,2.76,2.33
AL,12/07/2006,2.8,2.34
AL,12/09/2006,2.81,2.34
AL,12/12/2006,2.83,2.29
AL,13/09/2006,2.76,2.33
AL,13/11/2006,2.85,2.32
AL,13/12/2006,2.79,2.3
AL,14/08/2006,2.83,2.35
AL,14/11/2006,2.78,2.31
AL,14/12/2006,2.72,2.29
AL,15/08/2006,2.81,2.34
AL,16/08/2006,2.78,2.35
AL,16/11/2006,2.8,2.3
AL,17/07/2006,2.77,2.33
AL,17/08/2006,2.75,2.35
AL,17/10/2006,2.81,2.32
AL,18/07/2006,2.81,2.34
AL,18/09/2006,2.84,2.34
AL,18/10/2006,2.76,2.33
AL,19/07/2006,2.79,2.33
AL,19/09/2006,2.82,2.33
AL,19/12/2006,2.76,2.29
AL,20/09/2006,2.76,2.34
AL,20/12/2006,2.83,2.28
AL,21/08/2006,2.79,2.34
AL,21/11/2006,2.81,2.31
AL,21/12/2006,2.79,2.29
AL,22/08/2006,2.83,2.35
AL,22/11/2006,2.75,2.31
AL,23/08/2006,2.77,2.35
AL,24/07/2006,2.76,2.31
AL,24/10/2006,2.82,2.32
AL,25/07/2006,2.82,2.34
AL,25/09/2006,2.83,2.33
AL,25/10/2006,2.76,2.33
AL,26/07/2006,2.82,2.34
AL,26/09/2006,2.82,2.33
AL,26/10/2006,2.79,2.38
AL,26/12/2006,2.8,2.29
AL,27/07/2006,2.75,2.34
AL,27/09/2006,2.76,2.35
AL,27/11/2006,2.85,2.3
AL,27/12/2006,2.77,2.31
AL,28/08/2006,2.84,2.35
AL,28/09/2006,2.72,2.28
AL,28/11/2006,2.8,2.3
AL,29/08/2006,2.78,2.34
AL,29/11/2006,2.79,2.3
AL,30/08/2006,2.78,2.35
AL,30/10/2006,2.82,2.33
AL,31/07/2006,2.83,2.34
AL,31/10/2006,2.81,2.32
AM,01/08/2006,2.59,2.24
AM,02/08/2006,2.58,2.24
AM,02/10/2006,2.64,2.25
AM,03/07/2006,2.61,2.24
AM,03/10/2006,2.56,2.23
AM,04/07/2006,2.61,2.25
AM,04/09/2006,2.6,2.24
AM,04/10/2006,2.58,2.24
AM,04/12/2006,2.59,2.2
AM,05/07/2006,2.66,2.24
AM,05/09/2006,2.59,2.24
AM,05/12/2006,2.51,2.21
AM,06/09/2006,2.58,2.24
AM,06/11/2006,2.52,2.21
AM,06/12/2006,2.76,NA
AM,07/08/2006,2.62,2.24
AM,07/11/2006,2.42,2.2
AM,08/08/2006,2.58,2.23
AM,09/08/2006,2.59,2.26
AM,09/10/2006,2.61,2.24
AM,10/07/2006,2.64,2.24
AM,10/10/2006,2.58,2.24
AM,11/07/2006,2.59,2.24
AM,11/09/2006,2.59,2.24
AM,11/10/2006,2.59,2.24
AM,11/12/2006,2.52,2.2
AM,12/07/2006,2.59,2.25
AM,12/09/2006,2.6,2.24
AM,12/12/2006,2.61,2.23
AM,13/09/2006,2.59,2.24
AM,13/11/2006,2.62,2.23
AM,13/12/2006,2.49,2.22
AM,14/08/2006,2.62,2.24
AM,14/11/2006,2.58,2.22
AM,15/08/2006,2.59,2.23
AM,16/08/2006,2.59,2.25
AM,16/10/2006,2.6,2.24
AM,17/07/2006,2.61,2.24
AM,17/10/2006,2.56,2.22
AM,18/07/2006,2.58,2.24
AM,18/09/2006,2.6,2.24
AM,18/12/2006,2.53,2.2
AM,19/07/2006,2.59,2.24
AM,19/09/2006,2.58,2.24
AM,19/12/2006,2.51,2.19
AM,20/09/2006,2.58,2.24
AM,20/11/2006,2.52,2.2
AM,21/08/2006,2.61,2.24
AM,21/11/2006,2.63,2.23
AM,22/08/2006,2.58,2.23
AM,23/08/2006,2.59,2.24
AM,23/10/2006,2.58,2.23
AM,24/07/2006,2.62,2.24
AM,25/07/2006,2.58,2.24
AM,25/09/2006,2.6,2.24
AM,25/10/2006,2.51,2.23
AM,26/07/2006,2.59,2.25
AM,26/09/2006,2.57,2.23
AM,26/10/2006,2.75,2.28
AM,26/12/2006,2.57,2.2
AM,27/09/2006,2.59,2.24
AM,27/11/2006,2.57,2.21
AM,27/12/2006,2.43,2.18
AM,28/08/2006,2.6,2.24
AM,28/11/2006,2.52,2.2
AM,29/08/2006,2.59,2.23
AM,30/08/2006,2.58,2.25
AM,30/10/2006,2.54,2.23
AM,31/07/2006,2.62,2.24
AM,31/10/2006,2.42,2.21
AP,01/11/2006,2.89,2.29
AP,02/08/2006,2.9,2.33
AP,02/10/2006,2.48,2.27
AP,03/07/2006,2.55,2.32
AP,03/08/2006,2.95,2.35
AP,03/10/2006,2.51,2.25
AP,04/07/2006,2.59,2.33
AP,04/09/2006,2.48,NA
AP,04/10/2006,2.94,2.37
AP,04/12/2006,2.43,2.24
AP,05/07/2006,2.9,2.45
AP,05/09/2006,2.49,2.26
AP,05/12/2006,2.64,2.25
AP,06/07/2006,2.9,2.42
AP,06/09/2006,2.94,2.35
AP,06/11/2006,2.44,2.25
AP,07/08/2006,2.5,2.26
AP,07/11/2006,2.6,2.26
AP,08/08/2006,2.55,2.26
AP,08/11/2006,2.9,2.25
AP,09/10/2006,2.46,2.26
AP,10/07/2006,2.55,2.33
AP,10/08/2006,2.95,2.35
AP,10/10/2006,2.94,2.33
AP,11/07/2006,2.56,2.3
AP,11/09/2006,2.49,2.26
AP,11/10/2006,2.48,2.26
AP,11/12/2006,2.44,2.25
AP,12/07/2006,2.48,NA
AP,12/09/2006,2.47,2.26
AP,12/12/2006,2.76,2.25
