estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/09/2010,3.03,2.45
AC,01/11/2010,3.06,2.5
AC,01/12/2010,3.27,2.48
AC,02/08/2010,3.32,NA
AC,02/09/2010,2.96,2.4
AC,03/08/2010,2.97,2.45
AC,03/11/2010,3.22,2.48
AC,04/08/2010,3.21,2.47
AC,04/10/2010,3.32,NA
AC,05/08/2010,2.91,2.39
AC,05/10/2010,2.91,2.44
AC,06/07/2010,3.32,NA
AC,06/10/2010,3.07,2.47
AC,06/12/2010,3.01,2.54
AC,07/07/2010,2.98,2.44
AC,07/12/2010,3.12,2.36
AC,08/07/2010,3.05,2.44
AC,08/09/2010,3.18,2.44
AC,08/11/2010,3.05,2.56
AC,08/12/2010,3.33,NA
AC,09/08/2010,3.33,NA
AC,09/09/2010,2.95,2.43
AC,09/11/2010,3.16,2.64
AC,10/08/2010,3.1,2.44
AC,10/11/2010,2.99,2.55
AC,11/08/2010,2.91,2.41
AC,11/10/2010,3.17,2.47
AC,11/11/2010,3.09,2.47
AC,12/07/2010,3.29,NA
AC,12/10/2010,2.91,2.43
AC,13/07/2010,3.04,NA
AC,13/12/2010,3.01,2.56
AC,14/07/2010,2.94,2.41
AC,14/09/2010,3.04,2.43
AC,14/10/2010,2.9,NA
AC,14/12/2010,3.12,2.36
AC,15/07/2010,3.14,2.44
AC,15/09/2010,2.89,2.43
AC,15/12/2010,3.33,NA
AC,16/08/2010,3.33,NA
AC,16/09/2010,3.11,2.46
AC,16/11/2010,3.06,2.48
AC,17/08/2010,3.14,2.44
AC,17/11/2010,3.1,2.54
AC,18/08/2010,2.91,2.39
AC,18/10/2010,3.17,2.44
AC,18/11/2010,3.09,2.47
AC,19/07/2010,3.29,NA
AC,19/08/2010,3.06,2.45
AC,19/10/2010,2.99,2.44
AC,20/07/2010,3.04,2.42
AC,20/09/2010,3.32,NA
AC,21/12/2010,3.12,2.52
AC,22/07/2010,2.92,2.4
AC,22/09/2010,2.91,2.41
AC,22/11/2010,3.04,NA
