estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/04/2013,3.43,2.64
AC,01/05/2013,3.25,2.61
AC,02/01/2013,3.36,2.85
AC,02/04/2013,3.22,2.61
AC,02/05/2013,3.28,2.67
AC,03/01/2013,3.08,2.58
AC,03/04/2013,3.22,2.68
AC,03/06/2013,3.47,2.85
AC,04/02/2013,3.28,NA
AC,04/04/2013,3.42,2.86
AC,04/06/2013,3.21,NA
AC,05/02/2013,3.32,2.62
AC,05/03/2013,3.39,2.67
AC,05/06/2013,3.28,2.69
AC,06/02/2013,3.28,2.71
AC,06/03/2013,3.46,2.83
AC,06/05/2013,3.27,2.81
AC,07/02/2013,3.23,2.6
AC,07/03/2013,3.24,2.67
AC,07/05/2013,3.51,2.97
AC,08/01/2013,3.36,2.85
AC,08/04/2013,3.5,2.78
AC,08/05/2013,3.28,2.7
AC,09/01/2013,3.08,NA
AC,09/04/2013,3.27,NA
AC,09/05/2013,3.22,2.61
AC,10/01/2013,3.06,2.59
AC,10/04/2013,3.22,2.65
AC,10/06/2013,3.45,2.85
AC,11/04/2013,3.3,NA
AC,11/06/2013,3.33,NA
AC,12/03/2013,3.44,2.68
AC,12/06/2013,3.4,2.67
AC,13/02/2013,3.32,2.76
AC,13/03/2013,3.28,2.6
AC,13/05/2013,3.27,2.81
AC,13/06/2013,3.21,2.66
AC,14/01/2013,3.42,2.6
AC,14/02/2013,3.27,2.62
AC,14/03/2013,3.29,2.68
AC,14/05/2013,3.5,2.97
AC,15/01/2013,3.15,NA
AC,15/04/2013,3.49,2.87
AC,15/05/2013,3.39,2.71
AC,16/01/2013,3.23,2.73
AC,16/04/2013,3.44,2.94
AC,16/05/2013,3.21,2.65
AC,17/01/2013,3.15,2.55
AC,17/04/2013,3.33,2.61
AC,18/04/2013,3.23,2.68
AC,18/06/2013,3.32,2.72
AC,19/02/2013,3.34,NA
AC,19/03/2013,3.3,2.68
AC,20/02/2013,3.36,2.76
AC,20/03/2013,3.25,2.68
AC,20/05/2013,3.49,2.96
AC,20/06/2013,3.19,2.6
AC,21/01/2013,3.42,2.6
AC,21/02/2013,3.26,2.68
AC,21/03/2013,3.49,2.82
AC,21/05/2013,3.22,2.71
AC,22/01/2013,3.15,NA
AC,22/04/2013,3.46,2.94
AC,23/01/2013,3.17,2.66
AC,23/05/2013,3.34,2.67
AC,24/01/2013,3.22,2.55
AC,24/04/2013,3.25,2.61
AC,25/03/2013,3.43,2.64
AC,25/04/2013,3.28,2.66
AC,25/06/2013,3.4,2.73
AC,26/02/2013,3.42,2.67
AC,26/03/2013,3.22,2.61
AC,26/06/2013,3.21,2.66
AC,27/02/2013,3.38,2.83
AC,27/05/2013,3.49,2.96
AC,28/01/2013,3.15,NA
AC,28/02/2013,3.23,2.65
AC,28/03/2013,3.3,2.78
AC,28/05/2013,3.21,2.69
AC,29/01/2013,3.15,2.59
AC,29/04/2013,3.44,2.91
AC,29/05/2013,3.31,2.67
AC,30/01/2013,3.3,2.79
AL,01/04/2013,2.89,2.49
AL,01/05/2013,2.86,2.51
AL,02/01/2013,2.79,2.37
AL,02/04/2013,2.9,2.49
AL,02/05/2013,2.82,2.49
AL,03/01/2013,2.79,2.38
AL,03/04/2013,2.87,2.48
AL,03/06/2013,2.79,2.5
AL,04/02/2013,2.93,2.4
AL,04/03/2013,2.9,2.42
AL,04/04/2013,2.95,2.52
AL,04/06/2013,2.8,2.53
AL,05/02/2013,2.79,2.38
AL,05/03/2013,2.87,2.47
AL,05/06/2013,2.94,2.51
AL,06/03/2013,2.99,NA
AL,06/05/2013,2.91,2.49
AL,06/06/2013,2.89,2.5
AL,07/01/2013,2.78,2.37
AL,07/02/2013,2.9,2.44
AL,07/03/2013,2.91,2.48
AL,07/05/2013,2.89,2.49
AL,08/01/2013,2.79,2.37
AL,08/04/2013,2.93,2.51
AL,08/05/2013,2.88,2.43
AL,09/01/2013,2.78,2.39
AL,09/04/2013,2.81,2.49
AL,09/05/2013,2.9,2.49
AL,10/04/2013,2.89,2.49
AL,10/06/2013,2.79,2.5
AL,11/02/2013,2.92,2.39
AL,11/03/2013,2.9,2.49
AL,11/06/2013,2.84,2.51
AL,12/06/2013,2.94,2.51
AL,13/03/2013,2.92,2.49
AL,13/05/2013,2.93,2.49
AL,13/06/2013,2.91,2.5
AL,14/01/2013,2.74,2.39
AL,14/02/2013,2.93,2.4
AL,14/03/2013,2.93,2.51
AL,14/05/2013,2.91,2.49
AL,15/01/2013,2.82,2.38
AL,15/02/2013,2.84,2.42
AL,15/04/2013,2.92,2.51
AL,15/05/2013,2.88,2.5
AL,16/01/2013,2.74,2.38
AL,16/04/2013,2.88,2.49
AL,16/05/2013,2.84,2.5
AL,17/01/2013,2.78,2.39
AL,17/04/2013,2.89,2.49
AL,18/02/2013,2.92,2.39
AL,18/03/2013,2.91,2.49
AL,18/06/2013,2.88,2.5
AL,19/06/2013,2.88,2.51
AL,20/03/2013,2.84,2.48
AL,20/06/2013,2.88,NA
AL,21/01/2013,2.74,2.39
AL,21/02/2013,2.91,2.45
AL,21/03/2013,2.91,2.5
AL,21/05/2013,2.86,2.5
AL,22/01/2013,2.87,2.4
AL,22/05/2013,2.88,2.49
AL,23/01/2013,2.77,2.38
AL,23/04/2013,2.9,2.49
AL,23/05/2013,2.96,2.51
AL,24/01/2013,2.78,2.39
AL,24/04/2013,2.9,2.5
AL,25/02/2013,2.89,2.42
AL,25/03/2013,2.89,2.49
AL,25/04/2013,2.82,2.49
AL,25/06/2013,2.89,2.5
AL,26/02/2013,2.85,2.47
AL,26/03/2013,2.85,2.5
AL,26/06/2013,2.89,2.5
AL,27/03/2013,2.87,2.48
AL,27/05/2013,2.87,NA
AL,27/06/2013,2.88,2.51
AL,28/02/2013,2.92,2.46
AL,28/03/2013,2.91,2.5
AL,28/05/2013,2.88,2.51
AL,29/01/2013,2.8,2.38
AL,29/04/2013,2.89,2.48
AL,29/05/2013,2.89,2.5
AL,30/01/2013,2.76,2.38
AL,30/04/2013,2.9,2.49
AM,01/04/2013,3.36,2.58
AM,01/05/2013,3.3,2.57
AM,02/01/2013,2.88,2.47
AM,02/04/2013,3.05,2.53
AM,02/05/2013,3.01,2.52
AM,03/01/2013,3.12,2.45
AM,03/04/2013,2.98,2.56
AM,04/01/2013,2.9,2.44
AM,04/03/2013,3.19,2.59
AM,04/04/2013,2.97,2.59
AM,04/06/2013,3.48,2.65
AM,05/02/2013,3.13,2.51
AM,05/03/2013,3.23,2.49
AM,05/06/2013,3.03,2.52
AM,06/02/2013,2.9,NA
AM,06/03/2013,3.04,2.54
AM,06/06/2013,3.45,NA
AM,07/01/2013,2.91,2.47
AM,07/02/2013,2.98,2.52
AM,07/03/2013,3.11,NA
AM,07/05/2013,3.14,2.55
AM,08/01/2013,2.98,2.47
AM,08/04/2013,3.11,2.51
AM,08/05/2013,2.99,2.56
AM,09/01/2013,2.97,2.46
AM,09/04/2013,3.24,2.5
AM,10/01/2013,2.9,2.44
AM,10/04/2013,3.01,2.55
AM,11/04/2013,3.09,2.56
AM,11/06/2013,3.09,2.53
AM,12/03/2013,3.05,2.53
AM,12/06/2013,3.05,2.52
AM,13/02/2013,3.05,2.53
AM,13/03/2013,2.99,2.54
AM,13/06/2013,3.45,NA
AM,14/02/2013,3.19,2.47
AM,14/03/2013,3.45,2.62
AM,14/05/2013,3.12,2.55
AM,15/01/2013,2.99,2.47
AM,15/04/2013,3.1,2.51
AM,15/05/2013,3,2.54
AM,16/01/2013,3.08,2.49
AM,16/04/2013,3.04,2.54
AM,17/01/2013,2.91,2.45
AM,17/04/2013,3.04,2.54
AM,18/03/2013,2.97,NA
AM,18/04/2013,3.56,NA
AM,18/06/2013,3.06,2.53
AM,19/02/2013,2.97,2.54
AM,19/03/2013,3.1,2.53
AM,19/06/2013,3.06,2.54
AM,20/02/2013,3.07,2.53
AM,20/03/2013,2.99,2.56
AM,20/06/2013,3.58,NA
AM,21/02/2013,3.18,2.46
AM,21/03/2013,3.45,2.62
AM,21/05/2013,3.14,2.53
AM,22/01/2013,3.15,2.49
AM,22/04/2013,3.24,2.5
AM,22/05/2013,2.98,2.53
AM,23/01/2013,2.89,2.47
AM,23/04/2013,3,2.56
AM,24/01/2013,2.96,2.43
AM,24/04/2013,3.05,2.55
AM,25/02/2013,3.04,2.55
AM,25/03/2013,3.17,2.56
AM,25/04/2013,3.11,2.48
AM,25/06/2013,3.09,2.51
AM,26/02/2013,3.18,2.51
AM,26/03/2013,3.16,2.51
AM,26/06/2013,3.06,2.53
AM,27/02/2013,3.04,2.54
AM,27/03/2013,2.99,2.54
AM,28/01/2013,2.97,NA
AM,28/02/2013,3.11,NA
AM,28/05/2013,3.07,2.54
AM,29/01/2013,3.13,2.44
AM,29/04/2013,3.01,2.53
AM,29/05/2013,3,2.5
AM,30/01/2013,2.9,2.46
AM,30/04/2013,3,2.56
AP,01/04/2013,3.02,2.58
AP,01/05/2013,2.88,2.51
AP,02/01/2013,2.76,2.41
AP,02/04/2013,3.17,NA
AP,02/05/2013,2.9,2.49
AP,03/01/2013,3.06,NA
AP,03/04/2013,3.33,NA
AP,03/06/2013,2.95,2.56
AP,04/02/2013,3.19,NA
AP,04/03/2013,2.93,2.48
AP,04/04/2013,2.84,2.5
AP,04/06/2013,3.25,NA
AP,05/02/2013,2.94,2.37
AP,05/03/2013,3.22,NA
AP,05/06/2013,2.99,2.49
AP,06/02/2013,2.92,2.5
AP,06/03/2013,2.96,2.77
AP,06/05/2013,3.15,2.63
AP,06/06/2013,2.79,NA
AP,07/03/2013,2.93,2.48
AP,07/05/2013,2.9,2.51
AP,08/01/2013,2.87,2.42
AP,08/04/2013,3.18,NA
AP,08/05/2013,3.33,NA
AP,09/01/2013,2.75,2.47
AP,09/04/2013,3.15,2.78
AP,10/04/2013,2.87,2.53
AP,10/06/2013,2.97,2.56
AP,11/03/2013,3.22,NA
AP,11/04/2013,2.9,NA
AP,11/06/2013,3.25,NA
AP,12/03/2013,2.88,2.59
AP,12/06/2013,2.95,2.49
AP,13/02/2013,3,2.53
AP,13/03/2013,3.2,NA
AP,13/05/2013,3.15,2.63
AP,13/06/2013,2.79,NA
AP,14/02/2013,3.08,2.56
AP,14/03/2013,2.89,2.52
AP,14/05/2013,2.91,2.51
AP,15/01/2013,2.9,2.37
AP,15/02/2013,2.81,2.48
AP,15/04/2013,3.18,NA
AP,15/05/2013,2.95,NA
AP,16/01/2013,2.69,2.36
AP,16/04/2013,3.15,2.78
AP,17/04/2013,2.9,2.53
AP,17/06/2013,2.97,2.55
AP,18/03/2013,3.23,NA
AP,18/06/2013,2.94,2.51
AP,19/02/2013,2.67,NA
AP,19/03/2013,2.88,2.59
AP,19/06/2013,3.33,NA
AP,20/02/2013,2.92,2.5
AP,20/03/2013,2.92,2.48
AP,21/02/2013,2.96,2.52
AP,21/05/2013,2.98,2.53
AP,22/01/2013,2.9,2.37
AP,22/04/2013,3.18,2.78
AP,22/05/2013,3.33,NA
AP,23/01/2013,2.72,2.43
AP,24/04/2013,2.88,2.52
AP,24/06/2013,2.97,2.55
AP,25/02/2013,2.91,2.56
AP,25/03/2013,3.02,2.58
AP,25/06/2013,2.94,2.51
AP,26/02/2013,3.22,NA
AP,26/03/2013,3.17,NA
AP,26/06/2013,3.33,NA
AP,27/02/2013,2.95,2.55
AP,27/03/2013,3.33,NA
AP,28/01/2013,2.99,2.34
AP,28/03/2013,2.9,2.55
AP,28/05/2013,2.98,2.53
AP,29/01/2013,2.81,2.38
AP,29/04/2013,3.18,2.78
AP,29/05/2013,3.33,NA
AP,30/01/2013,2.71,2.39
BA,01/04/2013,2.98,2.48
BA,01/05/2013,2.99,2.48
BA,02/01/2013,2.81,2.35
BA,02/04/2013,2.96,2.48
BA,02/05/2013,2.97,2.44
BA,03/01/2013,2.83,2.36
BA,03/04/2013,3.02,2.49
BA,03/06/2013,3.06,2.47
BA,04/01/2013,2.85,2.36
BA,04/02/2013,2.98,2.39
BA,04/03/2013,2.96,2.47
BA,04/04/2013,2.97,2.47
BA,04/06/2013,2.93,2.44
BA,05/02/2013,2.97,2.43
BA,05/03/2013,3,2.46
BA,05/06/2013,2.93,2.43
BA,06/02/2013,2.96,2.45
BA,06/03/2013,2.97,2.49
BA,06/05/2013,2.82,2.43
BA,06/06/2013,3,2.49
BA,07/01/2013,2.86,2.39
BA,07/03/2013,2.98,2.49
BA,07/05/2013,2.95,2.47
BA,08/01/2013,2.8,2.35
BA,08/04/2013,2.94,2.48
BA,08/05/2013,2.96,2.48
BA,09/01/2013,2.86,2.39
BA,09/04/2013,2.98,2.48
BA,09/05/2013,3,2.44
BA,10/01/2013,2.84,2.35
BA,10/04/2013,2.99,2.47
BA,10/06/2013,2.97,2.42
BA,11/02/2013,2.98,2.45
BA,11/03/2013,2.95,2.49
BA,11/04/2013,2.97,2.47
BA,11/06/2013,2.94,2.45
BA,12/03/2013,3,2.51
BA,12/06/2013,2.93,2.44
BA,13/02/2013,2.98,2.47
BA,13/03/2013,2.97,2.47
BA,13/05/2013,2.97,2.46
BA,13/06/2013,3,2.49
BA,14/01/2013,2.81,2.37
BA,14/02/2013,2.98,2.47
BA,14/03/2013,3.11,2.49
BA,14/05/2013,2.95,2.46
BA,15/01/2013,2.84,2.38
BA,15/02/2013,2.95,2.46
BA,15/04/2013,2.95,2.49
BA,15/05/2013,2.9,2.46
BA,16/01/2013,2.83,2.36
BA,16/04/2013,2.96,2.46
BA,16/05/2013,3,2.45
BA,17/01/2013,2.8,2.34
BA,17/04/2013,2.99,2.48
BA,17/06/2013,2.98,2.44
BA,18/02/2013,2.96,2.45
BA,18/03/2013,2.95,2.48
BA,18/06/2013,2.91,2.43
BA,19/02/2013,2.97,2.49
BA,19/03/2013,2.97,2.49
BA,19/06/2013,3.01,2.45
BA,20/02/2013,2.99,2.49
BA,20/03/2013,2.98,2.47
BA,20/05/2013,2.9,2.48
BA,20/06/2013,2.95,2.46
BA,21/01/2013,2.82,2.36
BA,21/02/2013,2.98,2.48
BA,21/03/2013,3.09,2.49
BA,21/05/2013,2.88,2.44
BA,22/01/2013,2.84,2.38
BA,22/04/2013,2.92,2.47
BA,22/05/2013,2.96,2.45
BA,23/01/2013,2.84,2.38
BA,23/04/2013,2.98,2.46
BA,23/05/2013,2.96,2.45
BA,24/01/2013,2.83,2.38
BA,24/04/2013,2.97,2.48
BA,24/06/2013,2.94,2.43
BA,25/02/2013,2.97,2.48
BA,25/03/2013,2.98,2.48
BA,25/04/2013,2.99,2.47
BA,25/06/2013,2.94,2.44
BA,26/02/2013,2.96,2.46
BA,26/03/2013,2.96,2.47
BA,26/04/2013,3,2.51
BA,26/06/2013,3.01,2.45
BA,27/02/2013,2.99,2.5
BA,27/03/2013,2.99,2.49
