estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/07/2014,3.66,3.08
AC,01/10/2014,3.59,2.84
AC,01/12/2014,3.85,3.17
AC,02/07/2014,3.32,2.66
AC,02/09/2014,3.72,2.94
AC,02/10/2014,3.33,2.83
AC,03/07/2014,3.33,2.83
AC,03/09/2014,3.33,2.83
AC,03/11/2014,3.33,2.84
AC,03/12/2014,3.53,2.87
AC,04/08/2014,3.55,2.85
AC,04/09/2014,3.45,2.83
AC,04/11/2014,3.55,2.98
AC,04/12/2014,3.48,2.87
AC,05/08/2014,3.68,2.98
AC,05/11/2014,3.78,NA
AC,06/08/2014,3.37,2.84
AC,06/10/2014,3.78,2.96
AC,06/11/2014,3.39,2.83
AC,07/07/2014,3.6,2.86
AC,07/08/2014,3.35,2.78
AC,07/10/2014,3.35,2.79
AC,08/07/2014,3.66,3.08
AC,08/10/2014,3.43,2.83
AC,08/12/2014,3.85,3.17
AC,09/07/2014,3.32,2.66
AC,09/09/2014,3.78,3.12
AC,09/10/2014,3.34,2.8
AC,10/07/2014,3.33,2.83
AC,10/09/2014,3.41,2.84
AC,10/12/2014,3.53,2.87
AC,11/09/2014,3.52,NA
AC,11/11/2014,3.6,2.98
AC,11/12/2014,3.47,2.89
AC,12/11/2014,3.62,2.8
AC,13/08/2014,3.61,2.87
AC,13/10/2014,3.78,2.96
AC,13/11/2014,3.42,2.84
AC,14/07/2014,3.78,3.13
AC,14/08/2014,3.32,2.85
AC,14/10/2014,3.35,2.79
AC,15/07/2014,3.45,2.86
AC,15/10/2014,3.42,2.83
AC,16/07/2014,3.41,2.81
AC,16/09/2014,3.74,2.98
AC,16/10/2014,3.34,2.8
AC,17/07/2014,3.33,2.83
AC,17/09/2014,3.41,2.84
AC,17/11/2014,3.65,2.82
AC,17/12/2014,3.73,3.02
AC,18/09/2014,3.52,NA
AC,18/11/2014,3.5,NA
AC,18/12/2014,3.43,2.88
AC,19/11/2014,3.56,2.88
AC,20/08/2014,3.48,2.85
AC,21/07/2014,3.78,3.13
AC,21/10/2014,3.78,3.03
AC,21/11/2014,3.55,2.74
AC,22/07/2014,3.51,2.81
AC,22/09/2014,3.78,2.96
AC,22/10/2014,3.39,2.83
AC,23/07/2014,3.44,2.81
AC,23/09/2014,3.35,2.79
AC,23/10/2014,3.52,2.84
AC,23/12/2014,3.44,2.9
AC,24/07/2014,3.33,2.84
AC,24/09/2014,3.59,2.84
AC,24/11/2014,3.65,2.82
AC,24/12/2014,3.73,3.02
AC,25/09/2014,3.33,2.82
AC,25/11/2014,3.44,2.86
AC,25/12/2014,3.44,2.85
AC,26/08/2014,3.72,2.94
AC,26/11/2014,3.71,2.94
AC,27/08/2014,3.4,NA
AC,27/11/2014,3.59,2.74
AC,28/07/2014,3.55,2.85
AC,28/08/2014,3.36,2.82
AC,28/10/2014,3.78,3.03
AC,29/07/2014,3.68,2.98
AC,29/09/2014,3.78,2.96
AC,29/10/2014,3.5,2.82
AC,29/12/2014,3.43,2.9
AC,30/07/2014,3.51,2.85
AC,30/09/2014,3.35,2.79
AC,30/10/2014,3.37,2.83
AC,30/12/2014,3.61,NA
AC,31/07/2014,3.33,2.83
AC,31/12/2014,3.73,3.02
AL,01/07/2014,3.01,2.6
AL,01/10/2014,2.98,2.59
AL,02/07/2014,3.05,2.59
AL,02/09/2014,2.96,2.59
AL,02/12/2014,3.11,2.6
AL,03/07/2014,3,2.61
AL,03/09/2014,3,2.59
AL,03/11/2014,2.92,2.68
AL,03/12/2014,3,2.61
AL,04/08/2014,2.98,2.6
AL,04/09/2014,2.91,2.6
AL,04/11/2014,3.02,2.58
AL,04/12/2014,3.06,2.61
AL,05/08/2014,3,2.6
AL,05/11/2014,3.06,2.6
AL,06/08/2014,2.98,2.57
AL,06/10/2014,3.05,2.64
AL,06/11/2014,3,2.55
AL,07/07/2014,2.85,2.57
AL,07/10/2014,2.87,2.56
AL,08/07/2014,3.01,2.6
AL,08/09/2014,3.03,2.59
AL,08/10/2014,2.99,2.59
AL,09/07/2014,3.06,2.61
AL,09/09/2014,2.97,2.6
AL,09/10/2014,2.98,2.58
AL,09/12/2014,3.11,2.6
AL,10/07/2014,2.89,2.58
AL,10/09/2014,2.98,2.55
AL,10/11/2014,2.92,2.68
AL,10/12/2014,3.07,2.61
AL,11/08/2014,3.05,2.6
AL,11/09/2014,3,2.59
AL,11/11/2014,3.05,2.59
AL,11/12/2014,3.04,2.59
AL,12/08/2014,2.95,2.6
AL,12/11/2014,3.07,2.61
AL,13/08/2014,2.98,2.59
AL,13/10/2014,3.05,2.64
AL,13/11/2014,3,2.55
AL,14/07/2014,3.01,2.58
AL,14/08/2014,2.99,2.57
AL,14/10/2014,2.95,2.59
AL,15/07/2014,2.96,2.6
AL,15/09/2014,3.03,2.59
AL,15/10/2014,2.99,2.58
AL,16/07/2014,2.84,2.57
AL,16/09/2014,2.97,2.59
AL,16/10/2014,2.98,2.59
AL,16/12/2014,3.09,2.6
AL,17/07/2014,2.85,2.56
AL,17/09/2014,3,2.57
AL,17/11/2014,3.09,2.6
AL,17/12/2014,3.06,2.6
AL,18/08/2014,3.05,2.6
AL,18/09/2014,2.99,2.59
AL,18/11/2014,3.05,NA
AL,18/12/2014,3.07,2.61
AL,19/08/2014,2.99,2.58
AL,19/11/2014,3.08,2.62
AL,20/08/2014,2.92,2.64
AL,21/07/2014,3,2.57
AL,21/08/2014,2.99,2.57
AL,21/10/2014,2.99,2.6
AL,22/07/2014,2.97,2.57
AL,22/09/2014,2.99,2.58
AL,22/10/2014,3.01,2.56
AL,23/07/2014,2.81,2.56
AL,23/09/2014,3,2.61
AL,23/10/2014,2.98,2.58
AL,23/12/2014,3.08,2.61
AL,24/07/2014,2.98,2.58
AL,24/09/2014,2.98,2.6
AL,24/11/2014,3.09,2.6
AL,25/08/2014,2.99,2.59
AL,25/11/2014,3.07,2.61
AL,25/12/2014,3.07,2.6
AL,26/08/2014,2.98,2.59
AL,26/11/2014,3.08,2.62
AL,27/08/2014,3.04,2.58
AL,27/11/2014,3.05,2.69
AL,28/07/2014,2.98,2.6
AL,28/08/2014,2.96,2.61
AL,28/10/2014,2.98,2.6
AL,29/07/2014,3,2.6
AL,29/09/2014,3,2.58
AL,29/10/2014,3.01,2.57
AL,29/12/2014,3.07,2.6
AL,30/07/2014,2.98,2.55
AL,30/09/2014,2.99,2.6
AL,30/10/2014,2.99,2.59
AL,30/12/2014,3.1,2.63
AL,31/07/2014,2.99,2.59
AM,01/07/2014,3.32,2.66
AM,01/09/2014,3.18,2.68
AM,01/10/2014,3.17,2.67
AM,01/12/2014,3.61,2.72
AM,02/07/2014,3.34,2.71
AM,02/09/2014,3.32,2.67
AM,02/10/2014,3.42,2.76
AM,02/12/2014,3.3,2.72
AM,03/07/2014,3.17,2.66
AM,03/09/2014,3.21,2.68
AM,03/11/2014,3.28,2.65
AM,03/12/2014,3.65,2.68
AM,04/08/2014,3.53,2.69
AM,04/11/2014,3.54,2.64
AM,04/12/2014,3.28,2.72
AM,05/08/2014,3.41,2.68
AM,05/11/2014,3.29,2.7
AM,06/08/2014,3.17,2.67
AM,06/10/2014,3.3,2.67
AM,06/11/2014,3.18,2.67
AM,07/07/2014,3.18,2.67
AM,07/08/2014,3.38,NA
AM,07/10/2014,3.45,2.63
AM,08/07/2014,3.32,2.66
AM,08/10/2014,3.18,2.67
AM,08/12/2014,3.64,2.72
AM,09/07/2014,3.38,2.72
AM,09/09/2014,3.29,2.67
AM,09/10/2014,3.21,2.68
AM,09/12/2014,3.7,2.73
AM,10/07/2014,3.18,2.67
AM,10/09/2014,3.17,2.67
AM,10/11/2014,3.32,2.65
AM,10/12/2014,3.31,2.73
AM,11/08/2014,3.27,NA
AM,11/09/2014,3.6,2.58
AM,11/11/2014,3.32,2.69
AM,11/12/2014,3.28,2.73
AM,12/08/2014,3.18,2.67
AM,12/11/2014,3.34,2.7
AM,13/08/2014,3.29,2.68
AM,13/10/2014,3.3,2.67
AM,13/11/2014,3.22,2.75
AM,14/07/2014,3.45,2.68
AM,14/08/2014,3.65,NA
AM,14/10/2014,3.32,2.64
AM,15/07/2014,3.24,2.67
AM,15/10/2014,3.17,2.67
AM,15/12/2014,3.28,2.74
AM,16/07/2014,3.04,2.67
AM,16/09/2014,3.41,2.7
AM,16/10/2014,3.43,2.75
AM,16/12/2014,3.48,2.75
AM,17/07/2014,3.41,2.75
AM,17/09/2014,3.18,2.67
AM,17/12/2014,3.32,2.75
AM,18/08/2014,3.27,NA
AM,18/09/2014,3.6,2.58
AM,18/11/2014,3.46,2.7
AM,19/08/2014,3.18,2.65
AM,19/11/2014,3.24,2.71
AM,20/08/2014,3.28,2.68
AM,20/10/2014,3.63,NA
AM,21/07/2014,3.47,2.68
AM,21/08/2014,3.65,NA
AM,21/10/2014,3.25,2.71
AM,21/11/2014,3.65,NA
AM,22/07/2014,3.37,2.68
AM,22/09/2014,3.4,2.66
AM,22/10/2014,3.31,2.66
AM,23/07/2014,3.16,2.68
AM,23/09/2014,3.22,2.66
AM,23/10/2014,3.19,2.68
AM,23/12/2014,3.33,2.74
AM,24/07/2014,3.41,2.75
AM,24/11/2014,3.26,2.73
AM,24/12/2014,3.41,2.74
AM,25/08/2014,3.16,2.69
AM,25/09/2014,3.42,2.76
AM,25/11/2014,3.52,2.72
AM,26/08/2014,3.41,2.68
AM,26/11/2014,2.97,NA
AM,27/08/2014,3.41,2.74
AM,27/10/2014,3.63,NA
AM,27/11/2014,3.65,NA
AM,28/07/2014,3.53,2.69
AM,28/08/2014,3.17,2.67
AM,28/10/2014,3.19,2.67
AM,29/07/2014,3.42,2.68
AM,29/09/2014,3.4,2.66
AM,29/10/2014,3.29,2.66
AM,29/12/2014,3.43,2.75
AM,30/07/2014,3.18,2.67
AM,30/09/2014,3.27,2.66
AM,30/10/2014,3.38,2.76
AM,30/12/2014,3.26,2.74
AM,31/07/2014,2.65,NA
AM,31/12/2014,3.4,2.7
AP,01/07/2014,3.3,NA
AP,01/09/2014,2.92,NA
AP,01/10/2014,3.1,2.65
AP,01/12/2014,3.03,2.68
AP,02/07/2014,2.96,2.63
AP,02/09/2014,3.3,2.66
AP,02/10/2014,3.39,NA
AP,02/12/2014,3.39,2.71
AP,03/09/2014,2.93,2.63
AP,03/11/2014,2.95,2.62
AP,04/08/2014,3.33,2.54
AP,04/11/2014,3.29,2.62
AP,04/12/2014,3.05,2.67
AP,05/08/2014,2.96,2.61
AP,05/11/2014,2.97,2.64
AP,06/08/2014,2.93,2.62
AP,06/10/2014,3.03,2.61
AP,07/07/2014,2.9,2.6
AP,07/08/2014,3.27,NA
AP,07/10/2014,2.93,2.62
AP,08/07/2014,3.3,NA
AP,08/10/2014,3.1,2.65
AP,08/12/2014,3.03,2.68
AP,09/07/2014,2.96,2.63
AP,09/09/2014,3.03,2.62
AP,09/10/2014,3.39,NA
AP,09/12/2014,3.4,2.71
AP,10/09/2014,3.15,2.64
AP,10/11/2014,2.97,2.62
AP,11/08/2014,3.27,NA
AP,11/11/2014,3.3,2.62
AP,11/12/2014,3.05,2.67
AP,12/11/2014,2.99,2.64
AP,13/08/2014,2.98,2.61
