estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/09/2011,3.15,2.5
AC,01/11/2011,3.34,2.67
AC,01/12/2011,3.09,2.61
AC,02/08/2011,3.25,2.59
AC,02/11/2011,3.36,2.98
AC,03/08/2011,3.24,2.5
AC,03/10/2011,3.29,2.57
AC,04/08/2011,3.09,2.55
AC,05/07/2011,3.31,NA
AC,05/09/2011,3.09,2.58
AC,05/10/2011,3.19,2.67
AC,05/12/2011,3.44,2.7
AC,06/07/2011,3.21,2.6
AC,06/09/2011,3.44,NA
AC,06/10/2011,3.09,2.63
AC,07/09/2011,3.36,2.88
AC,07/11/2011,3.33,2.66
AC,07/12/2011,3.16,2.63
AC,08/09/2011,3.16,2.5
AC,08/11/2011,3.11,2.61
AC,08/12/2011,3.37,2.68
AC,09/08/2011,3.16,2.6
AC,09/11/2011,3.37,2.77
AC,10/08/2011,3.36,NA
AC,11/07/2011,3.09,2.62
AC,11/10/2011,3.15,2.62
AC,12/07/2011,3.32,NA
AC,12/10/2011,3.37,2.86
AC,12/12/2011,3.1,2.61
AC,13/07/2011,3.27,2.59
AC,13/12/2011,3.46,NA
AC,14/09/2011,3.15,2.56
AC,14/11/2011,3.32,2.64
AC,14/12/2011,3.25,2.67
AC,15/09/2011,3.37,2.86
AC,15/11/2011,3.18,2.61
AC,15/12/2011,3.33,2.68
AC,16/08/2011,3.09,2.56
AC,16/11/2011,3.37,2.77
AC,17/08/2011,3.34,NA
AC,17/11/2011,3.07,2.6
AC,18/07/2011,3.11,2.6
AC,18/10/2011,3.16,2.62
AC,19/07/2011,3.24,2.56
AC,19/10/2011,3.36,2.86
AC,20/07/2011,3.32,NA
AC,20/09/2011,3.12,2.59
AC,21/09/2011,3.2,2.5
AC,21/12/2011,3.2,2.65
AC,22/08/2011,3.08,2.58
AC,22/09/2011,3.37,2.86
AC,22/11/2011,3.25,2.63
AC,22/12/2011,3.06,2.58
AC,23/08/2011,3.08,2.57
AC,23/11/2011,3.17,2.63
AC,24/08/2011,3.33,2.59
AC,24/10/2011,3.08,2.61
AC,25/10/2011,3.32,2.67
AC,26/07/2011,3.26,2.59
AC,26/09/2011,3.29,2.57
AC,26/10/2011,3.34,2.98
AC,26/12/2011,3.08,2.63
AC,27/07/2011,3.16,2.61
AC,28/09/2011,3.11,2.68
AC,28/11/2011,3.5,NA
AC,28/12/2011,3.24,2.69
AC,29/09/2011,3.15,2.7
AC,29/11/2011,3.24,2.63
AC,29/12/2011,3.06,2.58
AC,30/08/2011,3.44,NA
AC,30/11/2011,3.36,2.9
AC,31/08/2011,3.17,2.6
AC,31/10/2011,3.08,2.61
AL,01/08/2011,2.84,2.36
AL,01/09/2011,2.75,2.36
AL,01/11/2011,2.82,2.37
AL,03/08/2011,2.75,2.38
AL,03/10/2011,2.78,2.35
AL,04/07/2011,2.84,2.39
AL,04/08/2011,2.82,2.37
AL,04/10/2011,2.8,2.37
AL,05/07/2011,2.81,2.36
AL,05/09/2011,2.8,2.39
AL,05/10/2011,2.84,2.37
AL,05/12/2011,2.8,2.36
AL,06/07/2011,2.83,2.37
AL,06/12/2011,2.76,2.59
AL,07/11/2011,2.81,2.35
AL,07/12/2011,2.76,2.36
AL,08/08/2011,2.8,2.37
AL,08/09/2011,2.76,2.37
AL,08/11/2011,2.79,2.36
