estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/07/2009,2.96,2.4
AC,01/09/2009,2.91,2.2
AC,01/12/2009,2.94,2.33
AC,02/09/2009,2.9,2.27
AC,02/12/2009,3.26,2.66
AC,03/08/2009,3.33,2.63
AC,03/11/2009,2.9,2.38
AC,04/08/2009,3.03,2.46
AC,04/11/2009,3.28,2.71
AC,05/08/2009,3,2.45
AC,05/10/2009,3.28,NA
AC,05/11/2009,3.19,2.57
AC,06/07/2009,2.96,2.37
AC,06/08/2009,3.06,2.42
AC,06/10/2009,2.92,2.39
AC,07/07/2009,3.14,2.53
AC,07/10/2009,3.33,2.65
AC,07/12/2009,2.88,NA
AC,08/07/2009,3,2.43
AC,08/12/2009,3.04,2.48
AC,09/09/2009,2.89,2.37
AC,09/12/2009,2.99,2.43
AC,10/08/2009,3.27,2.63
AC,10/11/2009,3.06,2.48
AC,11/08/2009,2.99,2.43
AC,13/07/2009,3.25,2.59
AC,13/10/2009,3.33,2.66
AC,14/07/2009,3.06,2.49
AC,14/09/2009,2.92,2.33
AC,14/10/2009,2.94,2.4
AC,14/12/2009,3.32,NA
AC,15/07/2009,2.94,2.37
AC,15/09/2009,2.9,2.41
AC,15/10/2009,3.29,2.65
AC,15/12/2009,2.89,2.42
AC,16/11/2009,2.96,2.45
AC,16/12/2009,3.28,NA
AC,17/09/2009,2.93,2.38
AC,17/11/2009,3.04,2.45
AC,18/11/2009,3.32,2.69
AC,19/10/2009,3.06,2.42
AC,20/07/2009,2.98,2.43
AC,20/10/2009,3.32,2.66
AC,21/07/2009,3.15,2.52
AC,21/10/2009,2.96,2.41
AC,21/12/2009,3.05,NA
AC,22/07/2009,2.98,2.41
AC,22/09/2009,2.95,2.34
AC,22/12/2009,2.98,2.42
AC,23/09/2009,2.98,2.48
AC,23/11/2009,3.32,2.64
AC,23/12/2009,3.07,2.35
AC,24/09/2009,3.05,NA
AC,24/11/2009,3.08,2.37
AC,25/11/2009,3.17,2.65
AC,26/11/2009,2.9,2.42
AC,27/07/2009,3.06,2.48
AC,27/10/2009,3.16,2.52
AC,28/07/2009,3.26,2.58
AC,28/09/2009,3.21,2.47
AC,28/10/2009,2.91,2.41
AC,28/12/2009,3.22,NA
AC,29/07/2009,2.94,2.4
AC,29/09/2009,3.12,2.47
AC,29/12/2009,2.97,2.4
AC,30/09/2009,2.91,2.38
AC,30/11/2009,3.12,NA
AL,01/07/2009,2.64,2.21
AL,01/09/2009,2.62,2.22
AL,01/12/2009,2.71,2.27
AL,03/08/2009,2.6,2.23
AL,03/11/2009,2.73,2.26
AL,04/08/2009,2.65,2.24
AL,04/11/2009,2.72,2.28
AL,05/08/2009,2.64,2.22
AL,05/10/2009,2.71,2.24
AL,05/11/2009,2.39,NA
AL,06/07/2009,2.6,2.18
AL,06/10/2009,2.74,2.24
AL,07/07/2009,2.65,2.23
AL,07/10/2009,2.67,2.24
AL,07/12/2009,2.7,2.25
AL,08/07/2009,2.65,2.24
AL,08/09/2009,2.74,2.23
AL,08/12/2009,2.75,2.27
AL,09/09/2009,2.66,2.21
AL,09/11/2009,2.75,2.28
AL,09/12/2009,2.66,2.25
AL,10/08/2009,2.64,2.23
AL,10/11/2009,2.74,2.26
AL,11/08/2009,2.63,2.2
AL,11/11/2009,2.64,2.22
AL,13/07/2009,2.61,2.21
AL,13/10/2009,2.71,2.26
AL,14/07/2009,2.67,2.23
AL,14/09/2009,2.75,2.23
AL,14/10/2009,2.72,2.26
AL,14/12/2009,2.73,2.27
AL,15/07/2009,2.66,2.22
AL,15/09/2009,2.7,2.21
AL,15/10/2009,2.76,2.25
AL,15/12/2009,2.69,2.26
AL,16/11/2009,2.73,2.27
AL,17/11/2009,2.72,2.27
AL,18/11/2009,2.8,2.3
AL,19/10/2009,2.73,2.26
AL,20/07/2009,2.59,2.22
AL,20/10/2009,2.76,2.26
AL,21/07/2009,2.67,2.24
AL,21/09/2009,2.76,2.24
AL,21/10/2009,2.64,2.24
AL,21/12/2009,2.74,2.28
AL,22/07/2009,2.65,2.22
AL,22/09/2009,2.71,2.23
AL,22/12/2009,2.71,2.27
AL,23/11/2009,2.75,2.28
AL,24/11/2009,2.73,2.27
AL,25/11/2009,2.72,2.3
AL,26/10/2009,2.71,2.29
AL,27/07/2009,2.6,2.22
AL,27/10/2009,2.73,2.27
AL,28/07/2009,2.67,2.24
AL,28/09/2009,2.72,2.21
AL,28/10/2009,2.69,2.28
AL,28/12/2009,2.71,2.27
AL,29/07/2009,2.64,2.22
AL,29/09/2009,2.75,2.23
AL,29/12/2009,2.74,2.27
AL,30/09/2009,2.68,2.25
AL,30/11/2009,2.76,2.28
AL,31/08/2009,2.63,2.22
AM,01/07/2009,2.45,2.15
AM,01/09/2009,2.63,2.16
AM,01/12/2009,2.7,2.25
AM,02/09/2009,2.63,2.22
AM,02/12/2009,2.78,2.24
AM,03/08/2009,2.39,2.13
AM,03/11/2009,2.7,2.22
AM,04/08/2009,2.55,2.16
AM,04/11/2009,2.65,2.23
AM,05/08/2009,2.61,2.16
AM,05/10/2009,2.58,2.19
AM,06/07/2009,2.52,2.17
AM,06/10/2009,2.8,2.15
AM,07/07/2009,2.58,2.17
AM,07/10/2009,2.42,2.18
AM,07/12/2009,2.61,2.25
AM,08/07/2009,2.6,2.17
AM,08/09/2009,2.59,2.18
AM,08/12/2009,2.8,2.24
AM,09/09/2009,2.62,2.2
AM,09/11/2009,2.65,2.22
AM,09/12/2009,2.68,2.22
AM,10/08/2009,2.59,2.14
AM,10/11/2009,2.72,2.26
AM,11/08/2009,2.75,2.19
AM,13/07/2009,2.59,2.18
AM,13/10/2009,2.6,2.2
AM,14/07/2009,2.69,2.19
AM,14/09/2009,2.6,2.19
AM,14/10/2009,2.39,2.19
AM,14/12/2009,2.61,2.26
AM,15/07/2009,2.69,2.18
AM,15/09/2009,2.72,2.19
AM,15/12/2009,2.74,2.25
AM,16/11/2009,2.69,2.21
AM,16/12/2009,2.59,NA
AM,17/11/2009,2.67,2.24
AM,19/10/2009,2.7,2.2
AM,20/07/2009,2.52,2.16
AM,20/10/2009,2.69,2.18
AM,21/07/2009,2.61,2.17
AM,21/09/2009,2.63,2.18
AM,21/10/2009,2.67,2.19
AM,21/12/2009,2.69,2.25
AM,22/07/2009,2.64,2.18
AM,22/09/2009,2.71,2.2
AM,22/12/2009,2.66,2.25
AM,23/11/2009,2.71,2.25
AM,24/11/2009,2.62,2.24
AM,26/10/2009,2.66,2.2
AM,27/07/2009,2.39,2.16
AM,27/10/2009,2.72,2.23
AM,28/07/2009,2.58,2.17
AM,28/09/2009,2.65,2.19
AM,28/12/2009,2.64,2.24
AM,29/07/2009,2.44,2.16
AM,29/09/2009,2.5,2.2
AM,29/12/2009,2.7,2.25
AM,30/11/2009,2.64,2.23
AM,30/12/2009,2.78,2.25
AM,31/08/2009,2.6,2.15
AP,01/07/2009,2.64,2.22
AP,01/09/2009,2.65,2.22
AP,03/08/2009,2.68,2.2
AP,03/11/2009,2.83,NA
AP,04/08/2009,2.7,2.23
AP,04/11/2009,2.76,NA
AP,06/07/2009,2.65,2.27
AP,06/11/2009,2.68,NA
AP,07/07/2009,2.77,2.23
AP,07/10/2009,2.69,2.24
AP,07/12/2009,2.91,NA
AP,09/11/2009,2.83,NA
AP,09/12/2009,2.88,NA
AP,10/08/2009,2.7,2.22
AP,10/09/2009,2.67,2.21
AP,10/11/2009,2.72,NA
AP,11/08/2009,2.65,2.2
AP,13/07/2009,2.65,2.21
AP,14/07/2009,2.85,2.27
AP,14/12/2009,2.92,NA
AP,15/07/2009,2.64,2.25
AP,15/10/2009,2.73,NA
AP,16/09/2009,2.67,2.27
AP,16/11/2009,2.84,NA
AP,17/12/2009,2.9,NA
AP,19/10/2009,2.74,NA
AP,20/07/2009,2.65,2.19
AP,20/10/2009,2.86,NA
AP,21/07/2009,2.75,2.22
AP,21/10/2009,2.79,2.28
AP,21/12/2009,2.92,NA
AP,22/07/2009,2.75,2.41
AP,22/09/2009,2.69,2.24
AP,23/07/2009,2.63,2.25
AP,24/11/2009,2.89,NA
AP,26/10/2009,2.79,2.22
AP,27/07/2009,2.66,2.21
AP,28/07/2009,2.84,2.26
AP,28/12/2009,2.92,NA
AP,29/07/2009,2.63,NA
AP,29/10/2009,2.71,NA
AP,30/09/2009,2.69,2.25
AP,30/11/2009,2.85,NA
BA,01/07/2009,2.64,2.21
BA,01/09/2009,2.65,2.18
BA,01/12/2009,2.59,2.26
BA,02/07/2009,2.84,2.35
BA,02/12/2009,2.58,2.26
BA,03/07/2009,2.88,NA
BA,03/08/2009,2.66,2.22
BA,03/11/2009,2.68,2.27
BA,03/12/2009,2.81,2.22
BA,04/08/2009,2.69,2.26
BA,04/11/2009,2.73,2.27
BA,05/08/2009,2.64,2.21
BA,05/10/2009,2.7,2.24
BA,05/11/2009,2.59,2.26
BA,06/07/2009,2.68,2.22
BA,06/08/2009,2.78,2.2
BA,06/10/2009,2.65,2.23
BA,07/07/2009,2.67,2.23
BA,07/10/2009,2.74,2.3
BA,07/12/2009,2.6,2.25
BA,08/07/2009,2.65,2.22
BA,08/09/2009,2.67,2.23
BA,08/12/2009,2.67,2.26
BA,09/07/2009,2.7,2.2
BA,09/09/2009,2.67,2.24
BA,09/11/2009,2.7,2.28
BA,09/12/2009,2.52,2.25
BA,10/08/2009,2.66,2.24
BA,10/09/2009,2.64,2.22
BA,10/11/2009,2.65,2.26
BA,11/08/2009,2.66,2.22
BA,11/11/2009,2.64,2.27
BA,13/07/2009,2.69,2.23
BA,13/10/2009,2.73,2.26
BA,14/07/2009,2.68,2.24
BA,14/09/2009,2.7,2.21
BA,14/10/2009,2.66,2.26
BA,14/12/2009,2.77,2.31
BA,15/07/2009,2.64,2.21
BA,15/09/2009,2.64,2.22
BA,15/10/2009,2.72,2.26
BA,15/12/2009,2.57,2.24
BA,16/07/2009,2.53,2.19
BA,16/09/2009,2.68,2.27
BA,16/10/2009,2.84,2.27
BA,16/11/2009,2.7,2.29
BA,16/12/2009,2.61,2.24
BA,17/11/2009,2.63,2.26
BA,18/11/2009,2.58,2.26
BA,19/10/2009,2.67,2.25
BA,19/11/2009,2.81,2.26
BA,20/07/2009,2.69,2.22
BA,20/10/2009,2.69,2.28
BA,21/07/2009,2.67,2.23
BA,21/09/2009,2.73,2.24
BA,21/10/2009,2.7,2.28
BA,21/12/2009,2.7,2.26
BA,22/07/2009,2.64,2.22
BA,22/09/2009,2.66,2.24
BA,22/10/2009,2.88,2.27
BA,22/12/2009,2.65,2.25
BA,23/09/2009,2.67,2.24
BA,23/11/2009,2.7,2.27
BA,23/12/2009,2.81,2.26
BA,24/11/2009,2.59,2.27
BA,25/11/2009,2.71,2.25
BA,26/10/2009,2.7,2.27
BA,26/11/2009,2.53,2.25
BA,27/07/2009,2.69,2.2
BA,27/10/2009,2.7,2.28
BA,28/07/2009,2.67,2.23
BA,28/09/2009,2.71,2.25
BA,28/10/2009,2.73,2.26
BA,28/12/2009,2.66,2.26
BA,29/07/2009,2.65,2.22
BA,29/09/2009,2.66,2.24
BA,29/10/2009,2.75,NA
BA,29/12/2009,2.68,2.26
BA,30/07/2009,2.57,2.19
BA,30/09/2009,2.68,2.24
BA,30/11/2009,2.65,2.26
BA,31/08/2009,2.67,2.23
CE,01/07/2009,2.62,2.23
CE,01/09/2009,2.58,2.21
CE,01/12/2009,2.72,2.27
CE,02/07/2009,2.68,2.18
CE,02/12/2009,2.68,2.28
CE,03/07/2009,2.54,2.18
CE,03/08/2009,2.66,2.19
CE,03/11/2009,2.64,2.22
CE,04/08/2009,2.64,2.24
CE,04/11/2009,2.56,2.23
CE,05/08/2009,2.69,2.23
CE,05/10/2009,2.72,2.25
CE,05/11/2009,2.68,2.29
CE,06/07/2009,2.75,2.29
CE,06/08/2009,2.61,2.24
CE,06/10/2009,2.63,2.25
CE,07/07/2009,2.63,2.24
CE,07/10/2009,2.58,2.23
CE,07/12/2009,2.82,2.27
CE,08/07/2009,2.66,2.23
CE,08/09/2009,2.56,2.21
CE,08/12/2009,2.67,2.26
CE,09/07/2009,2.71,2.27
CE,09/09/2009,2.69,2.23
CE,09/12/2009,2.82,NA
CE,10/08/2009,2.77,2.27
CE,10/11/2009,2.69,2.27
CE,11/08/2009,2.63,2.23
CE,13/07/2009,2.72,2.27
CE,13/10/2009,2.65,2.25
CE,14/07/2009,2.69,2.24
CE,14/09/2009,2.61,2.23
CE,14/10/2009,2.58,2.24
CE,14/12/2009,2.74,2.31
CE,15/07/2009,2.63,2.23
CE,15/09/2009,2.58,2.22
CE,15/10/2009,2.71,2.3
CE,15/12/2009,2.68,2.26
CE,16/07/2009,2.77,2.28
CE,16/09/2009,2.5,NA
CE,16/11/2009,2.79,2.3
CE,16/12/2009,2.74,2.37
CE,17/11/2009,2.7,2.27
CE,18/11/2009,2.69,NA
CE,19/10/2009,2.69,2.26
CE,19/11/2009,2.74,2.29
CE,20/07/2009,2.77,2.29
CE,20/10/2009,2.64,2.25
CE,21/07/2009,2.65,2.23
CE,21/09/2009,2.59,2.24
CE,21/10/2009,2.58,2.27
CE,21/12/2009,2.78,2.29
CE,22/07/2009,2.63,2.23
CE,22/09/2009,2.73,2.22
CE,22/12/2009,2.66,2.26
CE,23/07/2009,2.61,2.23
CE,23/09/2009,2.54,2.22
CE,23/11/2009,2.68,2.3
CE,24/11/2009,2.72,2.27
CE,25/11/2009,2.7,2.24
CE,26/10/2009,2.63,2.24
CE,26/11/2009,2.75,2.29
CE,27/07/2009,2.73,2.32
CE,27/10/2009,2.6,2.25
CE,28/07/2009,2.71,2.23
CE,28/09/2009,2.56,2.23
CE,28/10/2009,2.82,2.28
CE,28/12/2009,2.74,2.28
CE,29/07/2009,2.61,2.23
CE,29/09/2009,2.61,2.24
CE,29/12/2009,2.64,2.25
CE,30/07/2009,2.67,2.24
CE,30/11/2009,2.63,2.27
CE,31/08/2009,2.52,2.24
DF,01/09/2009,2.67,2.21
DF,01/12/2009,2.73,2.32
DF,03/08/2009,2.67,2.22
DF,03/11/2009,2.74,2.27
DF,04/08/2009,2.67,2.23
DF,04/11/2009,2.72,2.28
DF,05/08/2009,2.66,2.19
DF,05/10/2009,2.66,2.24
DF,05/11/2009,2.74,2.27
DF,06/07/2009,2.64,2.2
DF,06/08/2009,2.7,2.25
DF,06/10/2009,2.65,2.25
DF,06/11/2009,2.74,NA
DF,07/07/2009,2.62,2.15
DF,07/10/2009,2.66,2.21
DF,09/09/2009,2.67,2.23
DF,09/11/2009,2.72,2.25
DF,10/08/2009,2.65,2.22
DF,10/11/2009,2.73,2.25
DF,10/12/2009,2.73,2.27
DF,13/07/2009,2.66,2.21
DF,13/10/2009,2.69,2.23
DF,14/07/2009,2.66,2.19
DF,14/10/2009,2.68,2.25
DF,15/09/2009,2.67,2.21
DF,15/12/2009,2.73,2.27
DF,16/11/2009,2.73,2.31
DF,17/11/2009,2.73,2.3
DF,19/10/2009,2.68,2.27
DF,20/07/2009,2.67,NA
DF,20/10/2009,2.69,2.27
DF,21/07/2009,2.66,2.21
DF,21/09/2009,2.67,2.22
DF,21/12/2009,2.73,2.28
DF,22/07/2009,2.66,2.21
DF,22/09/2009,2.67,2.24
DF,23/09/2009,2.68,2.23
DF,24/11/2009,2.7,2.31
DF,25/11/2009,2.73,2.27
DF,26/10/2009,2.74,2.23
DF,27/07/2009,2.65,2.18
DF,27/10/2009,2.74,2.25
DF,28/09/2009,2.67,2.2
DF,28/12/2009,2.72,2.29
DF,29/07/2009,2.66,2.18
DF,29/09/2009,2.66,2.21
DF,30/07/2009,2.66,2.23
DF,30/09/2009,2.67,2.17
DF,30/11/2009,2.73,2.3
ES,01/07/2009,2.63,2.25
ES,01/09/2009,2.57,2.23
ES,01/12/2009,2.62,2.29
ES,02/07/2009,2.58,2.24
ES,02/12/2009,2.69,2.36
ES,03/07/2009,2.56,2.23
ES,03/08/2009,2.64,2.27
ES,03/11/2009,2.62,2.29
ES,04/08/2009,2.69,2.28
ES,04/11/2009,2.58,2.29
ES,05/08/2009,2.7,2.3
ES,05/10/2009,2.59,2.28
ES,05/11/2009,2.66,2.33
ES,06/08/2009,2.59,2.25
ES,06/10/2009,2.56,2.27
ES,06/11/2009,2.66,NA
ES,07/07/2009,2.66,2.26
ES,07/10/2009,2.59,2.26
ES,07/12/2009,2.67,2.31
ES,08/07/2009,2.58,2.24
ES,08/10/2009,2.58,NA
ES,08/12/2009,2.59,2.33
ES,09/09/2009,2.56,2.17
ES,09/11/2009,2.66,2.33
ES,09/12/2009,2.68,2.35
ES,10/08/2009,2.62,2.25
ES,10/11/2009,2.6,2.3
