estado_sigla,data_da_coleta,valor_de_venda,valor_de_compra
AC,01/07/2019,5.3,4.42
AC,01/08/2019,4.81,3.98
AC,01/10/2019,4.78,4.14
AC,02/07/2019,4.96,4.17
AC,02/10/2019,4.98,4.16
AC,03/09/2019,5.12,4.23
AC,03/10/2019,4.74,4.09
AC,03/12/2019,4.8,4.26
AC,04/12/2019,4.77,NA
AC,05/08/2019,4.68,NA
AC,05/09/2019,4.72,4.08
AC,05/11/2019,4.76,4.32
AC,05/12/2019,5.06,4.2
AC,06/08/2019,4.85,4.1
AC,06/11/2019,4.75,4.16
AC,07/11/2019,5.08,4.11
AC,08/07/2019,5.23,4.42
AC,08/10/2019,4.99,4.18
AC,09/10/2019,4.74,NA
AC,11/07/2019,4.89,4.13
AC,11/09/2019,4.81,4.1
AC,11/12/2019,4.88,NA
AC,12/08/2019,4.74,4.07
AC,12/09/2019,4.79,4.14
AC,12/11/2019,4.75,4.12
AC,12/12/2019,4.96,4.55
AC,13/11/2019,4.73,NA
AC,14/08/2019,4.72,4.09
AC,14/10/2019,5.2,NA
AC,14/11/2019,5.08,4.11
AC,15/08/2019,5.12,4.31
AC,15/10/2019,4.96,4.32
AC,16/07/2019,5.12,4.36
AC,16/09/2019,4.77,4.1
AC,16/10/2019,4.77,4.22
AC,17/09/2019,4.68,4.1
AC,17/12/2019,4.88,NA
AC,18/07/2019,4.82,4.05
AC,18/09/2019,4.85,4.1
AC,18/12/2019,5.06,4.25
AC,19/11/2019,5.06,4.12
AC,20/11/2019,4.75,NA
AC,22/08/2019,4.83,4.11
AC,22/10/2019,5.01,4.26
AC,23/07/2019,5.12,4.34
AC,23/09/2019,5.2,4.34
AC,23/10/2019,4.75,4.14
AC,23/12/2019,4.89,NA
AC,24/07/2019,4.72,4.05
AC,24/09/2019,4.75,4.06
AC,25/07/2019,4.81,4.04
AC,25/09/2019,4.87,4.14
AC,26/08/2019,4.73,4.09
AC,26/09/2019,4.69,4.14
AC,26/11/2019,4.91,4.12
AC,27/08/2019,5,4.13
AC,27/11/2019,4.74,4.2
AC,27/12/2019,5.06,4.25
AC,28/10/2019,5.2,NA
AC,29/07/2019,4.76,4.03
AC,29/10/2019,4.99,4.22
AC,30/07/2019,5.08,4.24
AC,30/09/2019,5.2,4.34
AC,30/10/2019,4.74,4.27
AC,30/12/2019,4.87,4.31
AC,31/07/2019,4.65,4.17
AC,31/10/2019,4.7,NA
AL,01/08/2019,4.56,3.94
AL,01/10/2019,4.46,4.03
AL,02/09/2019,4.36,3.91
AL,02/10/2019,4.61,3.96
AL,02/12/2019,4.3,NA
AL,03/07/2019,4.69,4.05
AL,03/09/2019,4.59,3.94
AL,03/10/2019,4.51,4
AL,03/12/2019,4.54,4.11
AL,04/07/2019,4.67,3.99
AL,04/09/2019,4.58,3.96
AL,04/11/2019,4.62,4.05
AL,04/12/2019,4.67,4.13
AL,06/11/2019,4.59,4.04
AL,07/08/2019,4.55,3.97
AL,07/11/2019,4.47,4.03
AL,08/08/2019,4.59,3.94
AL,08/10/2019,4.46,4
AL,09/09/2019,4.57,4.03
AL,09/10/2019,4.56,4.03
AL,09/12/2019,4.54,4.19
AL,10/07/2019,4.64,4.01
AL,10/09/2019,4.61,3.93
AL,10/12/2019,4.64,4.12
AL,11/07/2019,4.69,4
AL,11/09/2019,4.52,3.97
AL,11/11/2019,4.62,4.05
AL,11/12/2019,4.64,4.13
AL,12/08/2019,5,NA
AL,13/08/2019,4.79,NA
AL,13/11/2019,4.58,4.05
AL,14/08/2019,4.6,3.99
AL,14/11/2019,4.47,4.03
AL,15/08/2019,4.53,3.95
AL,15/10/2019,4.5,3.99
AL,16/09/2019,4.57,4.03
AL,16/10/2019,4.57,4.04
AL,16/12/2019,4.58,4.18
AL,17/07/2019,4.7,4
AL,17/09/2019,4.57,3.95
AL,17/12/2019,4.74,4.22
AL,18/07/2019,4.58,3.94
AL,18/09/2019,4.49,3.96
AL,18/12/2019,4.68,4.17
AL,19/08/2019,4.54,3.89
AL,19/11/2019,4.52,4.06
AL,20/08/2019,4.62,3.78
AL,20/11/2019,4.49,4.1
AL,21/08/2019,4.58,3.97
AL,21/11/2019,4.76,4.05
AL,22/07/2019,4.64,NA
AL,22/08/2019,4.47,3.94
AL,22/10/2019,4.55,4.04
AL,23/09/2019,4.47,4.02
AL,23/10/2019,4.58,4.06
AL,23/12/2019,4.64,4.18
AL,24/07/2019,4.73,4
AL,24/09/2019,4.52,4.01
AL,25/07/2019,4.57,3.96
AL,25/09/2019,4.64,4.04
AL,25/11/2019,4.47,4.06
AL,25/12/2019,4.56,NA
AL,26/08/2019,4.32,3.91
AL,26/09/2019,4.51,4
AL,26/11/2019,4.52,4.06
AL,26/12/2019,4.74,4.22
AL,27/08/2019,4.81,3.94
AL,27/11/2019,4.7,4.05
AL,27/12/2019,4.75,4.17
AL,28/08/2019,4.57,3.96
AL,28/10/2019,4.42,NA
AL,29/08/2019,4.4,3.9
AL,29/10/2019,4.56,4.01
AL,30/09/2019,4.47,4.02
AL,30/10/2019,4.46,4.06
AL,30/12/2019,4.68,4.19
AL,31/07/2019,4.52,3.97
AL,31/12/2019,4.53,4.22
AM,01/07/2019,4.58,3.59
AM,01/10/2019,4.38,3.76
AM,02/07/2019,4.57,3.74
AM,02/09/2019,4.45,3.72
AM,02/12/2019,4.71,3.87
AM,03/07/2019,4.69,3.83
AM,03/09/2019,4.04,3.67
AM,03/10/2019,5,3.96
AM,03/12/2019,4.32,3.87
AM,04/07/2019,4.56,3.97
AM,04/09/2019,3.82,3.62
AM,04/11/2019,4.14,NA
AM,04/12/2019,4.27,3.85
AM,05/08/2019,4.39,3.76
AM,05/11/2019,4.6,3.74
AM,06/11/2019,4.99,4.24
AM,07/08/2019,4.47,NA
AM,07/10/2019,4.57,3.54
AM,07/11/2019,4.84,3.57
