data;atraso_pf;comprometimento_renda;endividamento_familias;selic
2024-07-01T00:00:00Z;5,01;26,89;47,85;10,40
2024-08-01T00:00:00Z;5,10;27,16;48,06;10,40
2024-09-01T00:00:00Z;5,07;27,06;48,03;10,50
2024-10-01T00:00:00Z;5,15;27,12;48,08;10,65
2024-11-01T00:00:00Z;5,20;27,01;48,30;11,04
2024-12-01T00:00:00Z;5,03;27,39;48,44;11,77
2025-01-01T00:00:00Z;5,20;27,57;48,63;12,24
2025-02-01T00:00:00Z;4,86;27,69;48,61;13,15
2025-03-01T00:00:00Z;5,36;27,86;48,97;13,57
2025-04-01T00:00:00Z;5,41;27,83;48,88;14,15
2025-05-01T00:00:00Z;5,51;28,09;48,88;14,55
2025-06-01T00:00:00Z;5,42;28,00;48,81;14,74
2025-07-01T00:00:00Z;5,45;27,97;48,64;14,90
2025-08-01T00:00:00Z;5,44;28,56;48,93;14,90
2025-09-01T00:00:00Z;5,47;28,84;49,08;14,90
2025-10-01T00:00:00Z;5,61;29,32;49,32;14,90
2025-11-01T00:00:00Z;5,62;29,02;49,67;14,90
2025-12-01T00:00:00Z;5,43;29,17;49,71;14,90
2026-01-01T00:00:00Z;5,64;29,46;49,77;14,90
2026-02-01T00:00:00Z;5,53;29,56;49,87;14,90
