"code","Latitude","Longitude","Altitude","t.media","t.minima","t.maxima"
83689,-21.23972221,-43.78138888,1126,18.6,14,25.2
83587,-19.93416666,-43.95222222,915,21.8,17.8,27.2
83533,-19.71916666,-45.36777777,695,21.6,15.7,29.6
83383,-15.61666666,-46.41666666,600,24.3,18.5,31.7
83589,-19.02055554,-43.43388888,652,20.9,15.4,28.2
83681,-21.91666666,-46.38333333,1150,18.2,12.3,25.2
83639,-20.51666667,-41.9,843.18,19.6,14.7,26.6
83514,-18.72638889,-49.5625,620.6,23.5,18.9,31
83592,-19.73583333,-42.13694444,609.65,21.5,16.7,27.6
83485,-17.53333333,-43,736.38,21.3,15.6,28.3
83686,-21.96666666,-44.93333333,958.51,20.2,13.2,27.3
83613,-19.5,-42.63333333,210,22.8,17.6,30.3
83037,-21.56666666,-43.25,435,21.4,16.4,28.4
83536,-18.7475,-44.45472222,672,23,16.4,30.7
83538,-18.23888888,-43.61694443,1296.12,18.7,14.6,24.2
83635,-20.17305554,-44.87444443,788.35,21.7,15.7,29
83438,-17.1,-43.8,633,NA,15.9,29.9
83338,-14.91222222,-42.80833333,569.64,24.7,19.6,30.9
83657,-21.31666666,-46.36666666,823,20.1,14,27.6
83581,-19.88527777,-44.41722221,753,20.3,14.4,28.9
83334,-14.94944444,-46.23583333,848,23.4,18,30.6
83574,-20.03499999,-48.93027777,543.67,24.4,19.2,31.2
83543,-18.85,-41.93333333,148,24.2,19.1,30.3
83632,-20.01611111,-44.08444444,814.54,21.1,14.9,28.7
83488,-17.85972222,-42.85277777,914,20.1,15.4,26.4
83521,-18.95277777,-49.52499999,560,23.9,18.4,31.4
83395,-15.8025,-43.29694444,516,24.9,19.1,31.6
83386,-15.45,-44,473.71,24.1,18.3,31.5
83591,-19.82388888,-43.1436111,859.84,20.7,16.7,26.5
83481,-17.73999999,-46.17666666,760.36,23.6,18.1,29.7
83692,-21.76666666,-43.35,939.96,19.1,15.3,24.4
83452,-16.77499999,-43.66694443,648,22.7,16.5,29.6
83032,-21.94416666,-45.31805554,878.45,18.7,12,27.8
83687,-21.75,-45,918.84,20.3,15.4,27.2
83683,-21.68138888,-45.94055555,873.35,20.1,14.6,27.5
83015,-22.31472222,-45.37305554,1276.33,16.9,11.2,24.3
83389,-15.08638888,-44.01638888,452,24.7,18.6,32.3
83388,-15.16027777,-42.86611111,625,24.8,20.1,30.7
83437,-16.68638888,-43.8436111,652,23.1,17.7,29.8
83694,-21.13333333,-42.33333333,270.8,23.1,18.2,30.5
83637,-20.68333333,-44.81666666,966.5,NA,NA,NA
83479,-17.24416666,-46.88166666,712,23.5,18.5,30.1
83737,-22.38277777,-44.96666666,920,19,13.4,26.3
83531,-18.51972221,-46.43944444,940.28,21.5,16.5,28.3
83393,-16.01,-41.2811111,648.91,22.5,17.8,28.5
83483,-17.34916666,-44.92166666,505.24,24.2,18.5,31.2
83570,-19.22916666,-45.00111111,690.91,22.7,17,29.7
83061,-19.83333333,-42.63333333,320,22.9,18.1,29.6
83441,-16.15475,-42.28516667,471.32,23.5,17.9,30.4
83688,-21.3,-44.26666666,991,19.3,14.2,26.3
83736,-22.1,-45.01666667,953.2,19.4,13.5,27.3
83631,-20.91666666,-47.11666666,820,21,15.2,28
83500,-17.78333333,-40.25,202,NA,NA,NA
83586,-19.48527777,-44.17416666,732,21.5,16.3,28.7
83492,-17.85,-41.51666667,356.38,23.8,19.1,30.4
83527,-18.91722221,-48.25555555,868,22.3,17.5,29.1
83428,-16.36611111,-46.88916666,460,24.3,18.2,31.3
83594,-19.48305554,-42.53305554,298.6,23.3,19.2,28.8
83642,-20.7625,-42.86416667,712.2,20.1,15.7,26.8
83611,-20.45,-54.61666666,530.73,23.3,18.8,29.8
83552,-19.0211111,-57.67166666,130,25.7,21.4,31.9
83659,-22.23333333,-54.98333333,452,22.3,17.5,29.1
83704,-22.3,-53.81666666,369.2,23.2,18.3,29.9
83513,-18.9886111,-56.62249999,89,25.1,19.7,32.3
83565,-19.75,-51.18333333,331.25,24.3,19,31
83702,-22.55222222,-55.71555555,650,NA,NA,28
83618,-20.78333333,-51.7,313,24.5,19.2,31.3
83405,-16.05,-57.68333333,118,25.7,20.5,32.6
