Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AL;2701902;Chã Preta;959091,05;1518409,4;1344741,6;1209225,28;1195855,84;1641420;3313031,7;2359577,84;4814141,33;5480893,22;9781084,83;
AL;2702009;Coité do Nóia;1748277,79;1500180,7;2098643,06;2618186,92;2816852,58;3009410,07;3818875,02;3945592,86;6069217,58;5685933,16;7121818,6;
AL;2702108;Colônia Leopoldina;3957774,95;3968144,48;4574377,46;5099514,89;5615738,71;6702627,61;8089765,95;10788152,67;13112364,64;2354272,44;10405999,72;
AL;2702207;Coqueiro Seco;1003064,88;1226983,54;2078870,55;2391981,88;4496663,66;5231974,3;5811414,64;7145589,73;11244153,3;5084771,15;18882204,48;
AL;2702306;Coruripe;17937459,21;12021922,52;10600352,56;7819636,9;11532601,12;12165696,22;11753151,13;20128439,43;31972161,74;42293874,51;49460733,92;
AL;2702355;Craíbas;1957694,05;263609,16;2631408,93;2505631,47;3438805,71;3872588,03;8688152,98;12153146,63;13551443,59;37753093,85;42406975,23;
AL;2702405;Delmiro Gouveia;10695268,67;10327457,64;16234996,46;9854582,49;11908923,42;10457986,46;14111192,93;18905480,15;37093085,31;56496651,54;47623203,57;
AL;2702504;Dois Riachos;2887278,54;2667906,19;3200960,47;3344332,71;5548433,26;5884413,2;7596221,36;8378487,25;16583212,32;9983180,29;6792103,65;
AL;2702553;Estrela de Alagoas;4653748,07;6282522,32;7152541,5;10518991,2;7546916,14;3910327,32;7715647,04;8513225,35;7449817,56;9541800,84;14159860,28;
AL;2702603;Feira Grande;2770939,68;7059763,8;3451613,6;3257825,41;5056782,68;3982239,23;5513969,5;4256776,43;5632674,84;9260701,01;;
AL;2702702;Feliz Deserto;2235640,69;2631990,9;1584051,34;2710245,95;3359627,93;3287212,45;4767792,62;6221891,74;9546208,81;11756014,94;12724337,69;
AL;2702801;Flexeiras;;;;;;0;4310628,27;5130336,98;5899661,9;10855570,89;12786575,27;
AL;2702900;Girau do Ponciano;3666209,84;4555929,92;3337404,07;3765439,87;8315980,68;6059467,6;6592809,7;5687324,53;11747009,64;15717909,26;48418758,97;
AL;2703007;Ibateguara;2069610,34;2702820,6;6517208,42;3182248,05;3311520,11;3942682,77;5972764,34;5668356,29;14482180,02;7485582,86;15919334,47;
AL;2703106;Igaci;2832103,45;5034093,72;4198248,84;4083849,69;5104825,82;3964458,94;5514719,41;8176047,61;18603911,67;17906181,03;14649665,32;
AL;2703205;Igreja Nova;3344656,88;3071091,59;3287316,91;4524242,21;4000559,85;7733891,2;7677029,09;5718621,04;9635055,99;16765575,94;19392672,72;
AL;2703304;Inhapi;6042156,32;7643956,63;1151663,3;5423052,95;6422154,55;3676114,02;6625956,87;5249178,74;4686008,51;5751429,23;7850566,91;
AL;2703403;Jacaré dos Homens;2047493,66;2603594,66;2632089,44;2149423,17;1953848,04;2096661,69;2623086,6;4312451,49;6162753,75;5702027,82;6833278,48;
AL;2703502;Jacuípe;1305150,01;917447,85;1635180,35;2520270,16;1340140,34;1229351,77;1298213,79;3727040,99;8281760,52;10587187,84;5237160,35;
AL;2703601;Japaratinga;1140625,61;1350576,71;;1817624,97;1637003,25;0;1989928,55;4499226,11;5985901,76;5562380,21;7593723,29;
AL;2703700;Jaramataia;0;50343;;2248215,81;3138493,46;3131897,4;3690570,88;1857386,9;4918816,53;6118571,01;5884480,39;
AL;2703759;Jequiá da Praia;4476321,13;5213215,95;6458356,45;5223941,85;4835209,89;5210784,09;9910846,24;0;2085160,89;1292076,81;8080628,85;
AL;2703809;Joaquim Gomes;58242,97;541564,91;;1046042,65;1123631,56;1601786,85;2090612,86;152660,32;3367120,38;1249360,63;;
AL;2703908;Jundiá;1104541,23;800238,94;634246,54;1151016,57;777260,49;813277,56;1240014,97;487482,33;1426253,89;3021844,62;8180310,86;
AL;2704005;Junqueiro;;0;0;0;0;0;5229776,27;4230825,78;12923761,18;10259039,73;10880627,26;
AL;2704104;Lagoa da Canoa;1914646,99;2755809,29;1912799,62;3525721,88;3877585,84;3815579,16;4132301,5;3195503,56;5087133,53;7992330,7;10902183,48;
AL;2704203;Limoeiro de Anadia;5028461,84;4283935,04;5399979,96;4973821,9;6081725,64;5708519,97;9971422,28;10797010,96;13439523,34;16473920,89;17531552,1;
AL;2704302;Maceió;209401118,67;199064058,99;232156318,72;212631926,61;93763643,16;116042810,24;189700858,74;167958096,8;248350308,31;490354494,82;771059990,26;
AL;2704401;Major Isidoro;3050646,13;3178375,39;4287408,96;4744385,53;4756207,36;6867194,53;4926110,24;5971613,3;6866433,79;7222970,62;13662518,65;
AL;2704500;Maragogi;9943434,37;13130735,63;11933575,36;11361919,61;9565152,33;12551473,48;13743413,37;13636387,54;15942268;30365240,75;18576585,42;
